f201/1	../H310.txt	2.20	1.20	4.00e-03	37.76	89.82	84.25	77.82	69.56
f201/2	../H310.txt	2.20	1.20	5.00e-03	27.73	80.27	74.45	67.77	59.27
f201/3	../H310.txt	2.20	1.20	6.00e-03	22.46	71.73	65.75	58.97	50.65
f201/4	../H310.txt	2.20	1.20	8.00e-03	18.72	62.46	56.79	50.55	43.16
f201/5	../H310.txt	2.20	1.20	1.00e-02	16.57	57.21	51.86	45.95	38.91
f201/6	../H310.txt	2.20	1.20	1.50e-02	13.39	49.81	44.60	38.73	31.72
f201/7	../H310.txt	2.20	1.20	2.00e-02	11.82	44.78	39.41	33.35	26.17
f201/8	../H310.txt	2.20	1.20	3.00e-02	10.63	37.32	31.79	25.78	19.27
f201/9	../H310.txt	2.20	1.20	4.00e-02	10.14	32.71	27.47	22.07	16.53
f201/10	../H310.txt	2.20	1.20	5.00e-02	9.87	29.95	25.08	20.16	15.21
f205/1	../H305.txt	2.20	1.20	4.00e-03	38.90	90.49	84.94	78.54	70.31
f205/2	../H305.txt	2.20	1.20	5.00e-03	34.06	85.11	79.47	72.99	64.77
f205/3	../H305.txt	2.20	1.20	6.00e-03	25.11	75.69	69.78	63.03	54.59
f205/4	../H305.txt	2.20	1.20	8.00e-03	19.84	64.86	59.00	52.53	44.86
f205/5	../H305.txt	2.20	1.20	1.00e-02	17.41	58.85	53.35	47.30	40.15
f205/6	../H305.txt	2.20	1.20	1.50e-02	13.96	50.94	45.71	39.85	32.86
f205/7	../H305.txt	2.20	1.20	2.00e-02	12.21	45.95	40.61	34.59	27.45
f205/8	../H305.txt	2.20	1.20	3.00e-02	10.85	38.58	33.03	26.94	20.21
f205/9	../H305.txt	2.20	1.20	4.00e-02	10.32	33.83	28.47	22.89	17.13
f205/10	../H305.txt	2.20	1.20	5.00e-02	10.02	30.90	25.89	20.79	15.65
f231/1	../H310.txt	2.20	1.23	4.00e-03	35.56	88.59	82.99	76.53	68.23
f231/2	../H310.txt	2.20	1.23	5.00e-03	24.33	76.20	70.27	63.47	54.90
f231/3	../H310.txt	2.20	1.23	6.00e-03	21.31	69.49	63.54	56.87	48.81
f231/4	../H310.txt	2.20	1.23	8.00e-03	18.18	61.27	55.73	49.63	42.39
f231/5	../H310.txt	2.20	1.23	1.00e-02	16.20	56.48	51.22	45.37	38.40
f231/6	../H310.txt	2.20	1.23	1.50e-02	13.20	49.41	44.21	38.35	31.34
f231/7	../H310.txt	2.20	1.23	2.00e-02	11.73	44.42	39.05	32.98	25.81
f231/8	../H310.txt	2.20	1.23	3.00e-02	10.60	37.01	31.49	25.53	19.11
f231/9	../H310.txt	2.20	1.23	4.00e-02	10.14	32.49	27.29	21.94	16.48
f231/10	../H310.txt	2.20	1.23	5.00e-02	9.86	29.80	24.97	20.10	15.20
f241/1	../H310.txt	2.20	1.24	4.00e-03	33.76	87.49	81.86	75.35	67.00
f241/2	../H310.txt	2.20	1.24	5.00e-03	23.72	75.26	69.31	62.50	53.96
f241/3	../H310.txt	2.20	1.24	6.00e-03	21.01	68.86	62.93	56.31	48.33
f241/4	../H310.txt	2.20	1.24	8.00e-03	18.02	60.93	55.43	49.37	42.18
f241/5	../H310.txt	2.20	1.24	1.00e-02	16.09	56.28	51.03	45.20	38.24
f241/6	../H310.txt	2.20	1.24	1.50e-02	13.15	49.28	44.09	38.23	31.22
f241/7	../H310.txt	2.20	1.24	2.00e-02	11.70	44.30	38.93	32.86	25.70
f241/8	../H310.txt	2.20	1.24	3.00e-02	10.60	36.92	31.41	25.46	19.06
f241/9	../H310.txt	2.20	1.24	4.00e-02	10.13	32.42	27.24	21.91	16.47
f241/10	../H310.txt	2.20	1.24	5.00e-02	9.86	29.76	24.94	20.09	15.20
f250/1	../H320.txt	2.50	1.25	4.00e-03	38.67	90.52	84.49	77.54	68.68
f250/2	../H320.txt	2.50	1.25	5.00e-03	35.13	85.99	79.88	72.87	64.06
f250/3	../H320.txt	2.50	1.25	6.00e-03	30.97	81.40	75.17	68.07	59.22
f250/4	../H320.txt	2.50	1.25	8.00e-03	21.54	68.94	62.45	55.20	46.54
f250/5	../H320.txt	2.50	1.25	1.00e-02	17.93	60.98	54.79	47.99	40.00
f250/6	../H320.txt	2.50	1.25	1.50e-02	13.96	51.18	45.36	38.83	31.06
f250/7	../H320.txt	2.50	1.25	2.00e-02	12.41	45.38	39.44	32.76	24.95
f250/8	../H320.txt	2.50	1.25	3.00e-02	11.31	37.87	31.92	25.56	18.81
f250/9	../H320.txt	2.50	1.25	4.00e-02	10.84	33.64	28.06	22.34	16.55
f250/10	../H320.txt	2.50	1.25	5.00e-02	10.56	31.15	25.93	20.66	15.43
f253/1	../H330.txt	2.50	1.25	4.00e-03	37.28	89.62	83.56	76.58	67.68
f253/2	../H330.txt	2.50	1.25	5.00e-03	32.37	84.13	77.96	70.87	61.96
f253/3	../H330.txt	2.50	1.25	6.00e-03	24.34	75.06	68.62	61.30	52.27
f253/4	../H330.txt	2.50	1.25	8.00e-03	18.55	63.16	56.94	50.10	42.02
f253/5	../H330.txt	2.50	1.25	1.00e-02	15.99	57.00	51.14	44.65	36.91
f253/6	../H330.txt	2.50	1.25	1.50e-02	12.90	48.39	42.58	36.00	28.15
f253/7	../H330.txt	2.50	1.25	2.00e-02	11.76	42.63	36.64	29.96	22.31
f253/8	../H330.txt	2.50	1.25	3.00e-02	10.89	35.39	29.62	23.59	17.37
f253/9	../H330.txt	2.50	1.25	4.00e-02	10.48	31.59	26.30	20.94	15.59
f253/10	../H330.txt	2.50	1.25	5.00e-02	10.23	29.42	24.49	19.55	14.66
f255/1	../H325.txt	2.50	1.25	4.00e-03	38.04	90.11	84.06	77.10	68.23
f255/2	../H325.txt	2.50	1.25	5.00e-03	34.04	85.27	79.13	72.10	63.25
f255/3	../H325.txt	2.50	1.25	6.00e-03	28.27	79.24	72.94	65.74	56.79
f255/4	../H325.txt	2.50	1.25	8.00e-03	19.88	65.90	59.49	52.41	44.05
f255/5	../H325.txt	2.50	1.25	1.00e-02	16.90	58.86	52.85	46.23	38.40
f255/6	../H325.txt	2.50	1.25	1.50e-02	13.40	49.77	43.97	37.43	29.62
f255/7	../H325.txt	2.50	1.25	2.00e-02	12.07	44.01	38.04	31.35	23.60
f255/8	../H325.txt	2.50	1.25	3.00e-02	11.09	36.61	30.74	24.53	18.05
f255/9	../H325.txt	2.50	1.25	4.00e-02	10.65	32.58	27.14	21.61	16.05
f255/10	../H325.txt	2.50	1.25	5.00e-02	10.39	30.26	25.18	20.08	15.03
f332/1	../H332.txt	2.50	1.25	4.00e-03	36.92	89.39	83.33	76.34	67.43
f332/2	../H332.txt	2.50	1.25	5.00e-03	31.31	83.38	77.17	70.06	61.11
f332/3	../H332.txt	2.50	1.25	6.00e-03	23.11	73.31	66.85	59.51	50.54
f332/4	../H332.txt	2.50	1.25	8.00e-03	18.08	62.18	56.04	49.29	41.29
f332/5	../H332.txt	2.50	1.25	1.00e-02	15.66	56.31	50.51	44.05	36.33
f332/6	../H332.txt	2.50	1.25	1.50e-02	12.72	47.84	42.01	35.43	27.56
f332/7	../H332.txt	2.50	1.25	2.00e-02	11.65	42.07	36.08	29.41	21.82
f332/8	../H332.txt	2.50	1.25	3.00e-02	10.81	34.91	29.19	23.24	17.12
f332/9	../H332.txt	2.50	1.25	4.00e-02	10.41	31.20	25.98	20.70	15.41
f332/10	../H332.txt	2.50	1.25	5.00e-02	10.17	29.10	24.23	19.35	14.52
f335/1	../H335.txt	2.50	1.25	4.00e-03	36.29	88.99	82.92	75.91	66.98
f335/2	../H335.txt	2.50	1.25	5.00e-03	28.65	81.25	74.97	67.76	58.69
