 3.060e+00 5.6906e-02 5.6906e-02 [ 1.4513e-02 1.0033e-02 2.2020e-02 2.3802e-03 1.3106e-03 3.6531e-03 1.2439e-03 1.7515e-03 ] 9.4309e-01
 3.173e+00 6.1323e-02 6.1323e-02 [ 1.4363e-02 1.0964e-02 2.4721e-02 2.6278e-03 1.4414e-03 3.9989e-03 1.3543e-03 1.8528e-03 ] 9.3868e-01
 3.287e+00 6.6130e-02 6.6130e-02 [ 1.4196e-02 1.1956e-02 2.7704e-02 2.8956e-03 1.5824e-03 4.3687e-03 1.4715e-03 1.9564e-03 ] 9.3387e-01
 3.400e+00 7.1358e-02 7.1358e-02 [ 1.4012e-02 1.3012e-02 3.0994e-02 3.1848e-03 1.7341e-03 4.7640e-03 1.5959e-03 2.0625e-03 ] 9.2864e-01
 3.513e+00 7.7044e-02 7.7044e-02 [ 1.3813e-02 1.4135e-02 3.4617e-02 3.4969e-03 1.8972e-03 5.1862e-03 1.7279e-03 2.1711e-03 ] 9.2296e-01
 3.627e+00 8.3220e-02 8.3220e-02 [ 1.3600e-02 1.5328e-02 3.8600e-02 3.8331e-03 2.0724e-03 5.6365e-03 1.8678e-03 2.2825e-03 ] 9.1678e-01
 3.740e+00 8.9923e-02 8.9923e-02 [ 1.3374e-02 1.6593e-02 4.2972e-02 4.1948e-03 2.2604e-03 6.1164e-03 2.0158e-03 2.3967e-03 ] 9.1008e-01
 3.853e+00 9.7186e-02 9.7186e-02 [ 1.3136e-02 1.7932e-02 4.7759e-02 4.5833e-03 2.4618e-03 6.6270e-03 2.1724e-03 2.5139e-03 ] 9.0281e-01
 3.967e+00 1.0504e-01 1.0504e-01 [ 1.2887e-02 1.9347e-02 5.2989e-02 4.9998e-03 2.6772e-03 7.1694e-03 2.3378e-03 2.6342e-03 ] 8.9496e-01
 4.080e+00 1.1352e-01 1.1352e-01 [ 1.2628e-02 2.0838e-02 5.8687e-02 5.4452e-03 2.9072e-03 7.7447e-03 2.5121e-03 2.7576e-03 ] 8.8648e-01
 4.193e+00 1.2265e-01 1.2265e-01 [ 1.2359e-02 2.2406e-02 6.4876e-02 5.9204e-03 3.1522e-03 8.3534e-03 2.6956e-03 2.8842e-03 ] 8.7735e-01
 4.307e+00 1.3244e-01 1.3244e-01 [ 1.2080e-02 2.4048e-02 7.1575e-02 6.4261e-03 3.4124e-03 8.9960e-03 2.8882e-03 3.0140e-03 ] 8.6756e-01
 4.420e+00 1.4291e-01 1.4291e-01 [ 1.1792e-02 2.5762e-02 7.8800e-02 6.9624e-03 3.6881e-03 9.6724e-03 3.0899e-03 3.1469e-03 ] 8.5709e-01
 4.533e+00 1.5407e-01 1.5407e-01 [ 1.1495e-02 2.7545e-02 8.6559e-02 7.5292e-03 3.9793e-03 1.0382e-02 3.3005e-03 3.2826e-03 ] 8.4593e-01
 4.647e+00 1.6591e-01 1.6591e-01 [ 1.1189e-02 2.9390e-02 9.4852e-02 8.1259e-03 4.2855e-03 1.1124e-02 3.5196e-03 3.4211e-03 ] 8.3409e-01
 4.760e+00 1.7839e-01 1.7839e-01 [ 1.0874e-02 3.1289e-02 1.0367e-01 8.7512e-03 4.6063e-03 1.1897e-02 3.7466e-03 3.5618e-03 ] 8.2161e-01
