 0.000e+00 0.0000e+00 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 ] 1.0000e+00
 1.133e-01 1.6842e-03 1.6842e-03 [ 1.6450e-03 3.6740e-05 9.9603e-07 2.5363e-09 8.2322e-09 1.0105e-08 1.4770e-08 3.4080e-08 6.2896e-08 4.9441e-08 6.3578e-08 3.1674e-08 1.4606e-07 2.1327e-07 8.5860e-07 ] 9.9832e-01
 2.267e-01 3.7569e-03 3.7569e-03 [ 3.6301e-03 1.1682e-04 4.1017e-06 1.0177e-08 3.3047e-08 4.0520e-08 5.9176e-08 1.3650e-07 2.5167e-07 1.9795e-07 2.5455e-07 1.2682e-07 5.8455e-07 8.5305e-07 3.3476e-06 ] 9.9624e-01
 3.400e-01 5.5988e-03 5.5988e-03 [ 5.2807e-03 2.9601e-04 9.0400e-06 2.3006e-08 7.4796e-08 9.1542e-08 1.3350e-07 3.0781e-07 5.6657e-07 4.4608e-07 5.7361e-07 2.8582e-07 1.3163e-06 1.9196e-06 7.3404e-06 ] 9.9440e-01
 4.533e-01 7.4084e-03 7.4084e-03 [ 6.8643e-03 5.0474e-04 1.6337e-05 4.1181e-08 1.3406e-07 1.6366e-07 2.3822e-07 5.4886e-07 1.0080e-06 7.9470e-07 1.0219e-06 5.0924e-07 2.3426e-06 3.4127e-06 1.2720e-05 ] 9.9259e-01
 5.667e-01 9.1832e-03 9.1832e-03 [ 8.3384e-03 7.8398e-04 2.5358e-05 6.4889e-08 2.1166e-07 2.5755e-07 3.7396e-07 8.6086e-07 1.5764e-06 1.2450e-06 1.6009e-06 7.9791e-07 3.6653e-06 5.3325e-06 1.9376e-05 ] 9.9082e-01
 6.800e-01 1.0917e-02 1.0917e-02 [ 9.7077e-03 1.1222e-03 3.6753e-05 9.4416e-08 3.0866e-07 3.7410e-07 5.4155e-07 1.2453e-06 2.2725e-06 1.7984e-06 2.3126e-06 1.1528e-06 5.2866e-06 7.6785e-06 2.7208e-05 ] 9.8908e-01
 7.933e-01 1.2605e-02 1.2605e-02 [ 1.0977e-02 1.5101e-03 5.0071e-05 1.3006e-07 4.2636e-07 5.1436e-07 7.4198e-07 1.7040e-06 3.0971e-06 2.4568e-06 3.1592e-06 1.5752e-06 7.2089e-06 1.0450e-05 3.6120e-05 ] 9.8740e-01
 9.067e-01 1.4241e-02 1.4241e-02 [ 1.2141e-02 1.9472e-03 6.5619e-05 1.7223e-07 5.6633e-07 6.7962e-07 9.7642e-07 2.2391e-06 4.0513e-06 3.2222e-06 4.1436e-06 2.0664e-06 9.4352e-06 1.3647e-05 4.6026e-05 ] 9.8576e-01
 1.020e+00 1.5821e-02 1.5821e-02 [ 1.3199e-02 2.4300e-03 8.3301e-05 2.2136e-07 7.3042e-07 8.7134e-07 1.2462e-06 2.8530e-06 5.1363e-06 4.0968e-06 5.2687e-06 2.6280e-06 1.1969e-05 1.7267e-05 5.6843e-05 ] 9.8418e-01
 1.133e+00 1.7339e-02 1.7339e-02 [ 1.4150e-02 2.9533e-03 1.0318e-04 2.7799e-07 9.2079e-07 1.0912e-06 1.5529e-06 3.5485e-06 6.3539e-06 5.0833e-06 6.5383e-06 3.2619e-06 1.4814e-05 2.1310e-05 6.8496e-05 ] 9.8266e-01
 1.247e+00 1.8792e-02 1.8792e-02 [ 1.4995e-02 3.5122e-03 1.2529e-04 3.4270e-07 1.1399e-06 1.3413e-06 1.8982e-06 4.3285e-06 7.7059e-06 6.1847e-06 7.9562e-06 3.9700e-06 1.7974e-05 2.5774e-05 8.0915e-05 ] 9.8121e-01
 1.360e+00 2.0174e-02 2.0174e-02 [ 1.5734e-02 4.1018e-03 1.4966e-04 4.1617e-07 1.3907e-06 1.6236e-06 2.2841e-06 5.1966e-06 9.1948e-06 7.4041e-06 9.5270e-06 4.7546e-06 2.1454e-05 3.0657e-05 9.4037e-05 ] 9.7983e-01
 1.473e+00 2.1481e-02 2.1481e-02 [ 1.6369e-02 4.7171e-03 1.7631e-04 4.9918e-07 1.6762e-06 1.9407e-06 2.7127e-06 6.1565e-06 1.0824e-05 8.7451e-06 1.1256e-05 5.6182e-06 2.5260e-05 3.5956e-05 1.0780e-04 ] 9.7852e-01
