 1.927e+00 2.2119e-02 2.2119e-02 [ 1.6101e-02 5.1334e-03 7.9495e-04 2.2537e-05 2.9957e-05 2.8702e-06 1.0758e-06 1.0814e-06 1.2077e-06 1.1028e-06 2.5218e-06 1.7421e-06 6.4027e-06 6.3240e-06 1.3061e-05 ] 9.7788e-01
 2.040e+00 2.2801e-02 2.2801e-02 [ 1.6232e-02 5.5827e-03 8.8590e-04 2.5286e-05 3.3638e-05 3.2213e-06 1.2048e-06 1.2075e-06 1.3353e-06 1.2303e-06 2.8208e-06 1.9491e-06 7.1460e-06 7.0460e-06 1.4273e-05 ] 9.7720e-01
 2.153e+00 2.3416e-02 2.3416e-02 [ 1.6297e-02 6.0264e-03 9.8082e-04 2.8197e-05 3.7537e-05 3.5928e-06 1.3417e-06 1.3393e-06 1.4671e-06 1.3634e-06 3.1357e-06 2.1671e-06 7.9252e-06 7.7997e-06 1.5503e-05 ] 9.7658e-01
 2.267e+00 2.3965e-02 2.3965e-02 [ 1.6301e-02 6.4617e-03 1.0795e-03 3.1267e-05 4.1657e-05 3.9855e-06 1.4855e-06 1.4775e-06 1.6023e-06 1.5027e-06 3.4664e-06 2.3961e-06 8.7394e-06 8.5839e-06 1.6747e-05 ] 9.7603e-01
 2.380e+00 2.4451e-02 2.4451e-02 [ 1.6248e-02 6.8863e-03 1.1818e-03 3.4497e-05 4.6000e-05 4.3993e-06 1.6370e-06 1.6214e-06 1.7410e-06 1.6475e-06 3.8128e-06 2.6358e-06 9.5878e-06 9.3974e-06 1.8004e-05 ] 9.7555e-01
 2.493e+00 2.4876e-02 2.4876e-02 [ 1.6143e-02 7.2982e-03 1.2875e-03 3.7888e-05 5.0566e-05 4.8346e-06 1.7956e-06 1.7714e-06 1.8827e-06 1.7981e-06 4.1750e-06 2.8863e-06 1.0470e-05 1.0239e-05 1.9270e-05 ] 9.7512e-01
 2.607e+00 2.5241e-02 2.5241e-02 [ 1.5989e-02 7.6955e-03 1.3964e-03 4.1440e-05 5.5359e-05 5.2916e-06 1.9619e-06 1.9272e-06 2.0276e-06 1.9543e-06 4.5529e-06 3.1476e-06 1.1385e-05 1.1108e-05 2.0544e-05 ] 9.7476e-01
 2.720e+00 2.5551e-02 2.5551e-02 [ 1.5791e-02 8.0769e-03 1.5084e-03 4.5153e-05 6.0381e-05 5.7707e-06 2.1357e-06 2.0889e-06 2.1752e-06 2.1160e-06 4.9466e-06 3.4197e-06 1.2333e-05 1.2002e-05 2.1825e-05 ] 9.7445e-01
 2.833e+00 2.5807e-02 2.5807e-02 [ 1.5554e-02 8.4412e-03 1.6232e-03 4.9028e-05 6.5633e-05 6.2724e-06 2.3172e-06 2.2565e-06 2.3258e-06 2.2833e-06 5.3563e-06 3.7025e-06 1.3313e-05 1.2921e-05 2.3111e-05 ] 9.7419e-01
 2.947e+00 2.6013e-02 2.6013e-02 [ 1.5281e-02 8.7875e-03 1.7407e-03 5.3066e-05 7.1120e-05 6.7971e-06 2.5067e-06 2.4301e-06 2.4791e-06 2.4561e-06 5.7821e-06 3.9961e-06 1.4324e-05 1.3865e-05 2.4402e-05 ] 9.7399e-01
