 0.000e+00 0.0000e+00 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 1.0000e+00
 1.133e-01 2.8426e-03 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 2.8426e-03 [ 2.7216e-03 6.0136e-05 6.0938e-05 ] 9.9716e-01
 2.267e-01 5.6602e-03 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 5.6602e-03 [ 5.1840e-03 2.4000e-04 2.3620e-04 ] 9.9434e-01
 3.400e-01 8.4772e-03 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 8.4772e-03 [ 7.4246e-03 5.3775e-04 5.1484e-04 ] 9.9152e-01
 4.533e-01 1.1272e-02 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 1.1272e-02 [ 9.4361e-03 9.4994e-04 8.8614e-04 ] 9.8873e-01
 5.667e-01 1.4031e-02 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 1.4031e-02 [ 1.1221e-02 1.4713e-03 1.3394e-03 ] 9.8597e-01
 6.800e-01 1.6737e-02 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 1.6737e-02 [ 1.2779e-02 2.0943e-03 1.8638e-03 ] 9.8326e-01
 7.933e-01 1.9371e-02 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 1.9371e-02 [ 1.4113e-02 2.8096e-03 2.4484e-03 ] 9.8063e-01
 9.067e-01 2.1911e-02 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 2.1911e-02 [ 1.5224e-02 3.6054e-03 3.0819e-03 ] 9.7809e-01
 1.020e+00 2.4334e-02 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 2.4334e-02 [ 1.6114e-02 4.4677e-03 3.7526e-03 ] 9.7567e-01
 1.133e+00 2.6617e-02 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 2.6617e-02 [ 1.6787e-02 5.3808e-03 4.4490e-03 ] 9.7338e-01
 1.247e+00 2.8737e-02 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 2.8737e-02 [ 1.7250e-02 6.3273e-03 5.1591e-03 ] 9.7126e-01
 1.360e+00 3.0671e-02 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 3.0671e-02 [ 1.7511e-02 7.2886e-03 5.8713e-03 ] 9.6933e-01
 1.473e+00 3.2399e-02 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 3.2399e-02 [ 1.7579e-02 8.2454e-03 6.5740e-03 ] 9.6760e-01
 1.587e+00 3.3902e-02 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 3.3902e-02 [ 1.7467e-02 9.1783e-03 7.2562e-03 ] 9.6610e-01
 1.700e+00 3.5166e-02 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 3.5166e-02 [ 1.7190e-02 1.0068e-02 7.9075e-03 ] 9.6483e-01
 1.813e+00 3.6180e-02 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 3.6180e-02 [ 1.6764e-02 1.0898e-02 8.5183e-03 ] 9.6382e-01
 1.927e+00 3.6938e-02 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 3.6938e-02 [ 1.6207e-02 1.1650e-02 9.0804e-03 ] 9.6306e-01
 2.040e+00 3.7437e-02 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 3.7437e-02 [ 1.5539e-02 1.2312e-02 9.5865e-03 ] 9.6256e-01
 2.153e+00 3.7680e-02 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 3.7680e-02 [ 1.4778e-02 1.2871e-02 1.0031e-02 ] 9.6232e-01
