 2.607e+00 9.1010e-02 9.1010e-02 [ 1.7631e-02 5.5938e-03 3.5727e-03 6.2828e-03 3.2643e-03 7.1454e-03 2.9842e-03 3.6818e-03 2.1082e-02 1.9772e-02 ] 9.0899e-01
 2.720e+00 1.0109e-01 1.0109e-01 [ 1.7898e-02 6.2752e-03 4.1009e-03 7.2715e-03 3.7729e-03 8.2665e-03 3.4629e-03 4.2148e-03 2.3821e-02 2.2006e-02 ] 8.9891e-01
 2.833e+00 1.1221e-01 1.1221e-01 [ 1.8155e-02 7.0160e-03 4.6929e-03 8.3907e-03 4.3477e-03 9.5348e-03 4.0067e-03 4.8105e-03 2.6832e-02 2.4421e-02 ] 8.8779e-01
 2.947e+00 1.2444e-01 1.2444e-01 [ 1.8404e-02 7.8184e-03 5.3541e-03 9.6531e-03 4.9951e-03 1.0965e-02 4.6224e-03 5.4739e-03 3.0133e-02 2.7025e-02 ] 8.7556e-01
 3.060e+00 1.3787e-01 1.3787e-01 [ 1.8645e-02 8.6843e-03 6.0898e-03 1.1071e-02 5.7212e-03 1.2570e-02 5.3167e-03 6.2101e-03 3.3739e-02 2.9823e-02 ] 8.6213e-01
 3.173e+00 1.5256e-01 1.5256e-01 [ 1.8878e-02 9.6146e-03 6.9048e-03 1.2658e-02 6.5321e-03 1.4364e-02 6.0962e-03 7.0234e-03 3.7663e-02 3.2822e-02 ] 8.4744e-01
 3.287e+00 1.6855e-01 1.6855e-01 [ 1.9099e-02 1.0609e-02 7.8032e-03 1.4423e-02 7.4330e-03 1.6360e-02 6.9669e-03 7.9176e-03 4.1913e-02 3.6023e-02 ] 8.3145e-01
 3.400e+00 1.8588e-01 1.8588e-01 [ 1.9309e-02 1.1667e-02 8.7881e-03 1.6377e-02 8.4283e-03 1.8567e-02 7.9339e-03 8.8956e-03 4.6494e-02 3.9424e-02 ] 8.1412e-01
 3.513e+00 2.0457e-01 2.0457e-01 [ 1.9502e-02 1.2785e-02 9.8610e-03 1.8525e-02 9.5209e-03 2.0991e-02 9.0012e-03 9.9587e-03 5.1403e-02 4.3020e-02 ] 7.9543e-01
 3.627e+00 2.2458e-01 2.2458e-01 [ 1.9677e-02 1.3958e-02 1.1022e-02 2.0869e-02 1.0712e-02 2.3636e-02 1.0170e-02 1.1106e-02 5.6632e-02 4.6799e-02 ] 7.7542e-01
 3.740e+00 2.4586e-01 2.4586e-01 [ 1.9827e-02 1.5179e-02 1.2267e-02 2.3408e-02 1.1999e-02 2.6497e-02 1.1441e-02 1.2336e-02 6.2159e-02 5.0747e-02 ] 7.5414e-01
 3.853e+00 2.6830e-01 2.6830e-01 [ 1.9948e-02 1.6440e-02 1.3592e-02 2.6131e-02 1.3379e-02 2.9565e-02 1.2810e-02 1.3641e-02 6.7955e-02 5.4838e-02 ] 7.3170e-01
 3.967e+00 2.9174e-01 2.9174e-01 [ 2.0033e-02 1.7728e-02 1.4988e-02 2.9024e-02 1.4841e-02 3.2821e-02 1.4268e-02 1.5014e-02 7.3977e-02 5.9044e-02 ] 7.0826e-01
 4.080e+00 3.1597e-01 3.1597e-01 [ 2.0076e-02 1.9030e-02 1.6442e-02 3.2060e-02 1.6375e-02 3.6238e-02 1.5805e-02 1.6442e-02 8.0171e-02 6.3327e-02 ] 6.8403e-01
 4.193e+00 3.4071e-01 3.4071e-01 [ 2.0071e-02 2.0329e-02 1.7937e-02 3.5208e-02 1.7963e-02 3.9777e-02 1.7403e-02 1.7909e-02 8.6467e-02 6.7642e-02 ] 6.5929e-01
 4.307e+00 3.6563e-01 3.6563e-01 [ 2.0010e-02 2.1606e-02 1.9453e-02 3.8424e-02 1.9584e-02 4.3390e-02 1.9042e-02 1.9395e-02 9.2785e-02 7.1937e-02 ] 6.3437e-01
 4.420e+00 3.9034e-01 3.9034e-01 [ 1.9888e-02 2.2842e-02 2.0967e-02 4.1657e-02 2.1211e-02 4.7020e-02 2.0694e-02 2.0878e-02 9.9031e-02 7.6155e-02 ] 6.0966e-01
 4.533e+00 4.1443e-01 4.1443e-01 [ 1.9700e-02 2.4015e-02 2.2451e-02 4.4847e-02 2.2814e-02 5.0600e-02 2.2328e-02 2.2332e-02 1.0510e-01 8.0235e-02 ] 5.8557e-01
 4.647e+00 4.3741e-01 4.3741e-01 [ 1.9440e-02 2.5102e-02 2.3874e-02 4.7928e-02 2.4361e-02 5.4055e-02 2.3912e-02 2.3727e-02 1.1090e-01 8.4112e-02 ] 5.6259e-01
 4.760e+00 4.5881e-01 4.5881e-01 [ 1.9107e-02 2.6083e-02 2.5208e-02 5.0829e-02 2.5817e-02 5.7308e-02 2.5407e-02 2.5034e-02 1.1630e-01 8.7720e-02 ] 5.4119e-01
 4.873e+00 4.7816e-01 4.7816e-01 [ 1.8700e-02 2.6937e-02 2.6419e-02 5.3481e-02 2.7147e-02 6.0279e-02 2.6776e-02 2.6225e-02 1.2119e-01 9.0999e-02 ] 5.2184e-01
 4.987e+00 4.9499e-01 4.9499e-01 [ 1.8218e-02 2.7646e-02 2.7480e-02 5.5813e-02 2.8315e-02 6.2891e-02 2.7983e-02 2.7269e-02 1.2549e-01 9.3889e-02 ] 5.0501e-01
 5.100e+00 5.0890e-01 5.0890e-01 [ 1.7664e-02 2.8195e-02 2.8362e-02 5.7762e-02 2.9291e-02 6.5074e-02 2.8994e-02 2.8142e-02 1.2908e-01 9.6337e-02 ] 4.9110e-01
 5.213e+00 5.1954e-01 5.1954e-01 [ 1.7044e-02 2.8570e-02 2.9042e-02 5.9272e-02 3.0047e-02 6.6765e-02 2.9779e-02 2.8820e-02 1.3190e-01 9.8301e-02 ] 4.8046e-01
 5.327e+00 5.2664e-01 5.2664e-01 [ 1.6361e-02 2.8765e-02 2.9502e-02 6.0301e-02 3.0562e-02 6.7916e-02 3.0315e-02 2.9287e-02 1.3388e-01 9.9743e-02 ] 4.7336e-01
 5.440e+00 5.3000e-01 5.3000e-01 [ 1.5625e-02 2.8773e-02 2.9730e-02 6.0818e-02 3.0821e-02 6.8494e-02 3.0585e-02 2.9530e-02 1.3498e-01 1.0064e-01 ] 4.7000e-01
 5.553e+00 5.2954e-01 5.2954e-01 [ 1.4843e-02 2.8595e-02 2.9719e-02 6.0809e-02 3.0816e-02 6.8482e-02 3.0582e-02 2.9543e-02 1.3517e-01 1.0098e-01 ] 4.7046e-01
 5.667e+00 5.2527e-01 5.2527e-01 [ 1.4024e-02 2.8233e-02 2.9470e-02 6.0272e-02 3.0548e-02 6.7881e-02 3.0306e-02 2.9326e-02 1.3446e-01 1.0075e-01 ] 4.7473e-01
 5.780e+00 5.1730e-01 5.1730e-01 [ 1.3178e-02 2.7696e-02 2.8990e-02 5.9227e-02 3.0024e-02 6.6709e-02 2.9765e-02 2.8885e-02 1.3285e-01 9.9972e-02 ] 4.8270e-01
 5.893e+00 5.0583e-01 5.0583e-01 [ 1.2315e-02 2.6993e-02 2.8293e-02 5.7703e-02 2.9262e-02 6.5002e-02 2.8977e-02 2.8232e-02 1.3040e-01 9.8654e-02 ] 4.9417e-01
 6.007e+00 4.9115e-01 4.9115e-01 [ 1.1444e-02 2.6141e-02 2.7397e-02 5.5746e-02 2.8282e-02 6.2809e-02 2.7966e-02 2.7386e-02 1.2716e-01 9.6829e-02 ] 5.0885e-01
 6.120e+00 4.7364e-01 4.7364e-01 [ 1.0577e-02 2.5155e-02 2.6326e-02 5.3411e-02 2.7112e-02 6.0193e-02 2.6761e-02 2.6367e-02 1.2320e-01 9.4535e-02 ] 5.2636e-01
 6.233e+00 4.5371e-01 4.5371e-01 [ 9.7224e-03 2.4056e-02 2.5109e-02 5.0764e-02 2.5785e-02 5.7225e-02 2.5396e-02 2.5203e-02 1.1863e-01 9.1821e-02 ] 5.4629e-01
 6.347e+00 4.3183e-01 4.3183e-01 [ 8.8884e-03 2.2865e-02 2.3775e-02 4.7874e-02 2.4335e-02 5.3984e-02 2.3909e-02 2.3922e-02 1.1353e-01 8.8742e-02 ] 5.6817e-01
 6.460e+00 4.0847e-01 4.0847e-01 [ 8.0832e-03 2.1604e-02 2.2354e-02 4.4811e-02 2.2797e-02 5.0547e-02 2.2337e-02 2.2553e-02 1.0802e-01 8.5359e-02 ] 5.9153e-01
 6.573e+00 3.8412e-01 3.8412e-01 [ 7.3132e-03 2.0296e-02 2.0879e-02 4.1645e-02 2.1206e-02 4.6994e-02 2.0716e-02 2.1126e-02 1.0221e-01 8.1734e-02 ] 6.1588e-01
 6.687e+00 3.5924e-01 3.5924e-01 [ 6.5839e-03 1.8962e-02 1.9378e-02 3.8442e-02 1.9594e-02 4.3396e-02 1.9080e-02 1.9669e-02 9.6207e-02 7.7931e-02 ] 6.4076e-01
 6.800e+00 3.3426e-01 3.3426e-01 [ 5.8993e-03 1.7623e-02 1.7877e-02 3.5259e-02 1.7990e-02 3.9820e-02 1.7460e-02 1.8207e-02 9.0108e-02 7.4012e-02 ] 6.6574e-01
 6.913e+00 3.0954e-01 3.0954e-01 [ 5.2621e-03 1.6298e-02 1.6401e-02 3.2148e-02 1.6421e-02 3.6322e-02 1.5881e-02 1.6764e-02 8.4008e-02 7.0035e-02 ] 6.9046e-01
 7.027e+00 2.8542e-01 2.8542e-01 [ 4.6738e-03 1.5001e-02 1.4969e-02 2.9151e-02 1.4907e-02 3.2949e-02 1.4364e-02 1.5359e-02 7.7990e-02 6.6053e-02 ] 7.1458e-01
 7.140e+00 2.6215e-01 2.6215e-01 [ 4.1346e-03 1.3747e-02 1.3596e-02 2.6298e-02 1.3465e-02 2.9738e-02 1.2925e-02 1.4008e-02 7.2121e-02 6.2113e-02 ] 7.3785e-01
 7.253e+00 2.3993e-01 2.3993e-01 [ 3.6439e-03 1.2546e-02 1.2295e-02 2.3614e-02 1.2106e-02 2.6715e-02 1.1575e-02 1.2722e-02 6.6459e-02 5.8254e-02 ] 7.6007e-01
 7.367e+00 2.1892e-01 2.1892e-01 [ 3.2002e-03 1.1406e-02 1.1075e-02 2.1114e-02 1.0838e-02 2.3897e-02 1.0323e-02 1.1511e-02 6.1045e-02 5.4509e-02 ] 7.8108e-01
 7.480e+00 1.9920e-01 1.9920e-01 [ 2.8015e-03 1.0333e-02 9.9385e-03 1.8806e-02 9.6663e-03 2.1294e-02 9.1703e-03 1.0379e-02 5.5913e-02 5.0903e-02 ] 8.0080e-01
 7.593e+00 1.8084e-01 1.8084e-01 [ 2.4450e-03 9.3299e-03 8.8897e-03 1.6693e-02 8.5914e-03 1.8909e-02 8.1185e-03 9.3301e-03 5.1081e-02 4.7456e-02 ] 8.1916e-01
