 2.040e+00 2.4678e-02 2.4678e-02 [ 9.8208e-03 3.7697e-03 2.5880e-03 1.1288e-03 1.2030e-03 8.9184e-04 1.5091e-03 6.8037e-04 6.3071e-04 6.0400e-04 1.8513e-03 ] 0.0000e+00 [ 0.0000e+00 ] 9.7532e-01
 2.153e+00 2.4731e-02 2.4731e-02 [ 9.5575e-03 3.7619e-03 2.5014e-03 1.1351e-03 1.2601e-03 9.4243e-04 1.5997e-03 7.2411e-04 6.5846e-04 6.3334e-04 1.9571e-03 ] 0.0000e+00 [ 0.0000e+00 ] 9.7527e-01
 2.267e+00 2.4691e-02 2.4691e-02 [ 9.2651e-03 3.7339e-03 2.4115e-03 1.1350e-03 1.3092e-03 9.8871e-04 1.6840e-03 7.6475e-04 6.8399e-04 6.6027e-04 2.0548e-03 ] 0.0000e+00 [ 0.0000e+00 ] 9.7531e-01
 2.380e+00 2.4574e-02 2.4574e-02 [ 8.9517e-03 3.6900e-03 2.3215e-03 1.1296e-03 1.3500e-03 1.0305e-03 1.7616e-03 8.0207e-04 7.0746e-04 6.8487e-04 2.1443e-03 ] 0.0000e+00 [ 0.0000e+00 ] 9.7543e-01
 2.493e+00 2.4393e-02 2.4393e-02 [ 8.6245e-03 3.6341e-03 2.2339e-03 1.1199e-03 1.3829e-03 1.0676e-03 1.8324e-03 8.3596e-04 7.2899e-04 7.0723e-04 2.2253e-03 ] 0.0000e+00 [ 0.0000e+00 ] 9.7561e-01
 2.607e+00 2.4162e-02 2.4162e-02 [ 8.2902e-03 3.5698e-03 2.1504e-03 1.1066e-03 1.4080e-03 1.1000e-03 1.8963e-03 8.6640e-04 7.4874e-04 7.2748e-04 2.2980e-03 ] 0.0000e+00 [ 0.0000e+00 ] 9.7584e-01
 2.720e+00 2.3892e-02 2.3892e-02 [ 7.9546e-03 3.5000e-03 2.0721e-03 1.0905e-03 1.4256e-03 1.1278e-03 1.9533e-03 8.9340e-04 7.6681e-04 7.4573e-04 2.3624e-03 ] 0.0000e+00 [ 0.0000e+00 ] 9.7611e-01
 2.833e+00 2.3594e-02 2.3594e-02 [ 7.6223e-03 3.4275e-03 1.9996e-03 1.0724e-03 1.4365e-03 1.1511e-03 2.0034e-03 9.1707e-04 7.8333e-04 7.6212e-04 2.4189e-03 ] 0.0000e+00 [ 0.0000e+00 ] 9.7641e-01
 2.947e+00 2.3276e-02 2.3276e-02 [ 7.2974e-03 3.3543e-03 1.9334e-03 1.0528e-03 1.4410e-03 1.1699e-03 2.0469e-03 9.3752e-04 7.9837e-04 7.7675e-04 2.4678e-03 ] 0.0000e+00 [ 0.0000e+00 ] 9.7672e-01
 3.060e+00 2.2945e-02 2.2945e-02 [ 6.9827e-03 3.2822e-03 1.8734e-03 1.0322e-03 1.4399e-03 1.1845e-03 2.0839e-03 9.5494e-04 8.1203e-04 7.8974e-04 2.5094e-03 ] 0.0000e+00 [ 0.0000e+00 ] 9.7706e-01
 3.173e+00 2.2606e-02 2.2606e-02 [ 6.6804e-03 3.2126e-03 1.8195e-03 1.0110e-03 1.4338e-03 1.1950e-03 2.1147e-03 9.6949e-04 8.2436e-04 8.0120e-04 2.5444e-03 ] 0.0000e+00 [ 0.0000e+00 ] 9.7739e-01
 3.287e+00 2.2265e-02 2.2265e-02 [ 6.3919e-03 3.1464e-03 1.7715e-03 9.8958e-04 1.4233e-03 1.2018e-03 2.1396e-03 9.8138e-04 8.3541e-04 8.1122e-04 2.5730e-03 ] 0.0000e+00 [ 0.0000e+00 ] 9.7774e-01
 3.400e+00 2.1924e-02 2.1924e-02 [ 6.1180e-03 3.0844e-03 1.7290e-03 9.6827e-04 1.4090e-03 1.2050e-03 2.1588e-03 9.9080e-04 8.4523e-04 8.1989e-04 2.5958e-03 ] 0.0000e+00 [ 0.0000e+00 ] 9.7808e-01
 3.513e+00 2.1587e-02 2.1587e-02 [ 5.8590e-03 3.0271e-03 1.6918e-03 9.4727e-04 1.3916e-03 1.2049e-03 2.1728e-03 9.9795e-04 8.5386e-04 8.2729e-04 2.6133e-03 ] 0.0000e+00 [ 0.0000e+00 ] 9.7841e-01
 3.627e+00 2.1254e-02 2.1254e-02 [ 5.6147e-03 2.9747e-03 1.6592e-03 9.2678e-04 1.3717e-03 1.2019e-03 2.1818e-03 1.0030e-03 8.6132e-04 8.3348e-04 2.6258e-03 ] 0.0000e+00 [ 0.0000e+00 ] 9.7875e-01
