 1.700e+00 2.6885e-02 2.6885e-02 [ 9.9601e-03 5.0186e-03 1.1787e-03 1.2283e-03 1.0723e-03 9.9840e-04 9.4036e-04 1.3622e-03 1.1239e-03 5.7632e-04 9.9077e-04 1.0207e-03 4.8724e-04 4.4819e-04 4.7866e-04 ] 0.0000e+00 [ 0.0000e+00 ] 9.7312e-01
 1.813e+00 2.7260e-02 2.7260e-02 [ 9.7524e-03 5.0775e-03 1.1376e-03 1.1967e-03 1.0631e-03 1.0299e-03 1.0146e-03 1.4802e-03 1.2386e-03 6.2005e-04 1.0329e-03 1.0992e-03 5.2972e-04 4.8090e-04 5.0641e-04 ] 0.0000e+00 [ 0.0000e+00 ] 9.7274e-01
 1.927e+00 2.7457e-02 2.7457e-02 [ 9.4889e-03 5.0864e-03 1.0905e-03 1.1567e-03 1.0459e-03 1.0523e-03 1.0816e-03 1.5920e-03 1.3498e-03 6.6058e-04 1.0688e-03 1.1718e-03 5.6971e-04 5.1098e-04 5.3135e-04 ] 0.0000e+00 [ 0.0000e+00 ] 9.7254e-01
 2.040e+00 2.7500e-02 2.7500e-02 [ 9.1802e-03 5.0530e-03 1.0402e-03 1.1112e-03 1.0227e-03 1.0664e-03 1.1407e-03 1.6965e-03 1.4558e-03 6.9768e-04 1.0992e-03 1.2381e-03 6.0681e-04 5.3826e-04 5.5353e-04 ] 0.0000e+00 [ 0.0000e+00 ] 9.7250e-01
 2.153e+00 2.7412e-02 2.7412e-02 [ 8.8372e-03 4.9848e-03 9.8904e-04 1.0628e-03 9.9537e-04 1.0731e-03 1.1911e-03 1.7927e-03 1.5556e-03 7.3123e-04 1.1250e-03 1.2977e-03 6.4073e-04 5.6270e-04 5.7302e-04 ] 0.0000e+00 [ 0.0000e+00 ] 9.7259e-01
 2.267e+00 2.7215e-02 2.7215e-02 [ 8.4703e-03 4.8894e-03 9.3867e-04 1.0134e-03 9.6544e-04 1.0733e-03 1.2328e-03 1.8800e-03 1.6479e-03 7.6121e-04 1.1467e-03 1.3505e-03 6.7124e-04 5.8429e-04 5.8996e-04 ] 0.0000e+00 [ 0.0000e+00 ] 9.7278e-01
 2.380e+00 2.6931e-02 2.6931e-02 [ 8.0895e-03 4.7737e-03 8.9034e-04 9.6464e-04 9.3411e-04 1.0679e-03 1.2655e-03 1.9578e-03 1.7321e-03 7.8765e-04 1.1650e-03 1.3966e-03 6.9826e-04 6.0309e-04 6.0450e-04 ] 0.0000e+00 [ 0.0000e+00 ] 9.7307e-01
 2.493e+00 2.6578e-02 2.6578e-02 [ 7.7035e-03 4.6438e-03 8.4482e-04 9.1758e-04 9.0233e-04 1.0577e-03 1.2896e-03 2.0259e-03 1.8074e-03 8.1067e-04 1.1806e-03 1.4362e-03 7.2176e-04 6.1920e-04 6.1680e-04 ] 0.0000e+00 [ 0.0000e+00 ] 9.7342e-01
 2.607e+00 2.6174e-02 2.6174e-02 [ 7.3199e-03 4.5053e-03 8.0260e-04 8.7299e-04 8.7081e-04 1.0437e-03 1.3054e-03 2.0841e-03 1.8737e-03 8.3043e-04 1.1939e-03 1.4696e-03 7.4179e-04 6.3276e-04 6.2705e-04 ] 0.0000e+00 [ 0.0000e+00 ] 9.7383e-01
 2.720e+00 2.5733e-02 2.5733e-02 [ 6.9448e-03 4.3627e-03 7.6391e-04 8.3134e-04 8.4008e-04 1.0265e-03 1.3135e-03 2.1324e-03 1.9307e-03 8.4711e-04 1.2052e-03 1.4970e-03 7.5847e-04 6.4393e-04 6.3542e-04 ] 0.0000e+00 [ 0.0000e+00 ] 9.7427e-01
