[ 1.6413e+00 1.6413e+00 1.6413e+00 1.6413e+00 1.6413e+00 ] -1.00000e+00 1.00000e+00 2.22822e+00
[ 1.5259e+00 1.5259e+00 1.5259e+00 1.5259e+00 1.5259e+00 ] -9.52280e-01 1.03383e+00 2.22822e+00
[ 1.3877e+00 1.3877e+00 1.3877e+00 1.3877e+00 1.3877e+00 ] -8.89351e-01 1.07266e+00 2.23405e+00
[ 1.2458e+00 1.2458e+00 1.2458e+00 1.2458e+00 1.2458e+00 ] -8.17017e-01 1.10965e+00 2.24512e+00
[ 1.0729e+00 1.0729e+00 1.0729e+00 1.0729e+00 1.0729e+00 ] -7.15944e-01 1.14868e+00 2.26080e+00
[ 8.6987e-01 8.6987e-01 8.6987e-01 8.6987e-01 8.6987e-01 ] -5.70748e-01 1.18151e+00 2.28034e+00
[ 6.6203e-01 6.6203e-01 6.6203e-01 6.6203e-01 6.6203e-01 ] -3.66356e-01 1.18771e+00 2.30274e+00
[ 5.0197e-01 5.0197e-01 5.0197e-01 5.0197e-01 5.0197e-01 ] -9.58140e-02 1.13729e+00 2.32684e+00
[ 4.4372e-01 4.4372e-01 4.4372e-01 4.4372e-01 4.4372e-01 ] 2.25081e-01 1.01089e+00 2.35143e+00
[ 4.9223e-01 4.9223e-01 4.9223e-01 4.9223e-01 4.9223e-01 ] 5.46765e-01 8.30598e-01 2.37547e+00
[ 5.9016e-01 5.9016e-01 5.9016e-01 5.9016e-01 5.9016e-01 ] 8.05455e-01 6.56846e-01 2.39826e+00
[ 6.7586e-01 6.7586e-01 6.7586e-01 6.7586e-01 6.7586e-01 ] 9.69972e-01 5.35972e-01 2.41943e+00
[ 7.2890e-01 7.2890e-01 7.2890e-01 7.2890e-01 7.2890e-01 ] 1.05505e+00 4.70799e-01 2.43887e+00
[ 7.5646e-01 7.5646e-01 7.5646e-01 7.5646e-01 7.5646e-01 ] 1.09160e+00 4.42294e-01 2.45662e+00
[ 7.6969e-01 7.6969e-01 7.6969e-01 7.6969e-01 7.6969e-01 ] 1.10346e+00 4.32979e-01 2.47277e+00
[ 7.7587e-01 7.7587e-01 7.7587e-01 7.7587e-01 7.7587e-01 ] 1.10402e+00 4.32542e-01 2.48742e+00
[ 7.7877e-01 7.7877e-01 7.7877e-01 7.7877e-01 7.7877e-01 ] 1.09981e+00 4.35854e-01 2.50072e+00
[ 7.8018e-01 7.8018e-01 7.8018e-01 7.8018e-01 7.8018e-01 ] 1.09382e+00 4.40551e-01 2.51276e+00
[ 7.8090e-01 7.8090e-01 7.8090e-01 7.8090e-01 7.8090e-01 ] 1.08740e+00 4.45583e-01 2.52366e+00
[ 7.8130e-01 7.8130e-01 7.8130e-01 7.8130e-01 7.8130e-01 ] 1.08111e+00 4.50501e-01 2.53353e+00
[ 7.8154e-01 7.8154e-01 7.8154e-01 7.8154e-01 7.8154e-01 ] 1.07519e+00 4.55127e-01 2.54246e+00
[ 7.8170e-01 7.8170e-01 7.8170e-01 7.8170e-01 7.8170e-01 ] 1.06971e+00 4.59401e-01 2.55054e+00
[ 7.8182e-01 7.8182e-01 7.8182e-01 7.8182e-01 7.8182e-01 ] 1.06468e+00 4.63317e-01 2.55784e+00
[ 7.8191e-01 7.8191e-01 7.8191e-01 7.8191e-01 7.8191e-01 ] 1.06009e+00 4.66888e-01 2.56444e+00
[ 7.8198e-01 7.8198e-01 7.8198e-01 7.8198e-01 7.8198e-01 ] 1.05590e+00 4.70139e-01 2.57040e+00
[ 7.8204e-01 7.8204e-01 7.8204e-01 7.8204e-01 7.8204e-01 ] 1.05209e+00 4.73095e-01 2.57579e+00
[ 7.8208e-01 7.8208e-01 7.8208e-01 7.8208e-01 7.8208e-01 ] 1.04862e+00 4.75783e-01 2.58066e+00
[ 7.8210e-01 7.8210e-01 7.8210e-01 7.8210e-01 7.8210e-01 ] 1.04546e+00 4.78226e-01 2.58505e+00
[ 7.8212e-01 7.8212e-01 7.8212e-01 7.8212e-01 7.8212e-01 ] 1.04259e+00 4.80449e-01 2.58902e+00
[ 7.8212e-01 7.8212e-01 7.8212e-01 7.8212e-01 7.8212e-01 ] 1.03997e+00 4.82471e-01 2.59260e+00
[ 7.8212e-01 7.8212e-01 7.8212e-01 7.8212e-01 7.8212e-01 ] 1.03759e+00 4.84312e-01 2.59583e+00
[ 7.8210e-01 7.8210e-01 7.8210e-01 7.8210e-01 7.8210e-01 ] 1.03541e+00 4.85990e-01 2.59874e+00
[ 7.8208e-01 7.8208e-01 7.8208e-01 7.8208e-01 7.8208e-01 ] 1.03343e+00 4.87521e-01 2.60137e+00
[ 7.8204e-01 7.8204e-01 7.8204e-01 7.8204e-01 7.8204e-01 ] 1.03161e+00 4.88919e-01 2.60374e+00
[ 7.8200e-01 7.8200e-01 7.8200e-01 7.8200e-01 7.8200e-01 ] 1.02995e+00 4.90198e-01 2.60587e+00
[ 7.8195e-01 7.8195e-01 7.8195e-01 7.8195e-01 7.8195e-01 ] 1.02843e+00 4.91370e-01 2.60780e+00
[ 7.8189e-01 7.8189e-01 7.8189e-01 7.8189e-01 7.8189e-01 ] 1.02704e+00 4.92445e-01 2.60953e+00
[ 7.8182e-01 7.8182e-01 7.8182e-01 7.8182e-01 7.8182e-01 ] 1.02575e+00 4.93433e-01 2.61109e+00
[ 7.8175e-01 7.8175e-01 7.8175e-01 7.8175e-01 7.8175e-01 ] 1.02457e+00 4.94343e-01 2.61250e+00
[ 7.8166e-01 7.8166e-01 7.8166e-01 7.8166e-01 7.8166e-01 ] 1.02347e+00 4.95184e-01 2.61377e+00
[ 7.8158e-01 7.8158e-01 7.8158e-01 7.8158e-01 7.8158e-01 ] 1.02246e+00 4.95962e-01 2.61490e+00
