 0.000e+00 0.0000e+00 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 1.0000e+00
 1.133e-01 2.8426e-03 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 9.4754e-04 [ 9.0719e-04 2.0045e-05 2.0313e-05 ] 1.8951e-03 [ 1.8144e-03 4.0091e-05 4.0625e-05 ] 9.9716e-01
 2.267e-01 5.6602e-03 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 1.8867e-03 [ 1.7280e-03 8.0000e-05 7.8734e-05 ] 3.7734e-03 [ 3.4560e-03 1.6000e-04 1.5747e-04 ] 9.9434e-01
 3.400e-01 8.4772e-03 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 2.8257e-03 [ 2.4749e-03 1.7925e-04 1.7161e-04 ] 5.6514e-03 [ 4.9497e-03 3.5850e-04 3.4323e-04 ] 9.9152e-01
 4.533e-01 1.1272e-02 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 3.7574e-03 [ 3.1454e-03 3.1665e-04 2.9538e-04 ] 7.5148e-03 [ 6.2907e-03 6.3329e-04 5.9076e-04 ] 9.8873e-01
 5.667e-01 1.4031e-02 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 4.6771e-03 [ 3.7402e-03 4.9042e-04 4.4647e-04 ] 9.3542e-03 [ 7.4804e-03 9.8084e-04 8.9294e-04 ] 9.8597e-01
 6.800e-01 1.6737e-02 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 5.5791e-03 [ 4.2597e-03 6.9811e-04 6.2128e-04 ] 1.1158e-02 [ 8.5194e-03 1.3962e-03 1.2426e-03 ] 9.8326e-01
 7.933e-01 1.9371e-02 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 6.4570e-03 [ 4.7043e-03 9.3654e-04 8.1614e-04 ] 1.2914e-02 [ 9.4086e-03 1.8731e-03 1.6323e-03 ] 9.8063e-01
 9.067e-01 2.1911e-02 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 7.3036e-03 [ 5.0745e-03 1.2018e-03 1.0273e-03 ] 1.4607e-02 [ 1.0149e-02 2.4036e-03 2.0546e-03 ] 9.7809e-01
 1.020e+00 2.4334e-02 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 8.1113e-03 [ 5.3712e-03 1.4892e-03 1.2509e-03 ] 1.6223e-02 [ 1.0742e-02 2.9785e-03 2.5017e-03 ] 9.7567e-01
 1.133e+00 2.6617e-02 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 8.8724e-03 [ 5.5958e-03 1.7936e-03 1.4830e-03 ] 1.7745e-02 [ 1.1192e-02 3.5872e-03 2.9660e-03 ] 9.7338e-01
 1.247e+00 2.8737e-02 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 9.5790e-03 [ 5.7502e-03 2.1091e-03 1.7197e-03 ] 1.9158e-02 [ 1.1500e-02 4.2182e-03 3.4394e-03 ] 9.7126e-01
 1.360e+00 3.0671e-02 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 1.0224e-02 [ 5.8370e-03 2.4295e-03 1.9571e-03 ] 2.0447e-02 [ 1.1674e-02 4.8591e-03 3.9142e-03 ] 9.6933e-01
 1.473e+00 3.2399e-02 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 1.0800e-02 [ 5.8597e-03 2.7485e-03 2.1913e-03 ] 2.1599e-02 [ 1.1719e-02 5.4969e-03 4.3827e-03 ] 9.6760e-01
 1.587e+00 3.3902e-02 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 1.1301e-02 [ 5.8225e-03 3.0594e-03 2.4187e-03 ] 2.2601e-02 [ 1.1645e-02 6.1189e-03 4.8375e-03 ] 9.6610e-01
 1.700e+00 3.5166e-02 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 1.1722e-02 [ 5.7301e-03 3.3561e-03 2.6358e-03 ] 2.3444e-02 [ 1.1460e-02 6.7122e-03 5.2716e-03 ] 9.6483e-01
 1.813e+00 3.6180e-02 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 ] 1.2060e-02 [ 5.5880e-03 3.6325e-03 2.8394e-03 ] 2.4120e-02 [ 1.1176e-02 7.2651e-03 5.6789e-03 ] 9.6382e-01
