 1.927e+00 2.4163e-02 2.4163e-02 [ 1.0117e-02 3.7815e-03 8.4342e-04 9.5718e-04 8.0808e-04 8.1228e-04 1.4550e-03 4.6944e-04 1.5065e-03 1.6201e-03 8.4797e-04 3.3653e-04 6.0758e-04 ] 0.0000e+00 [ 0.0000e+00 ] 9.7584e-01
 2.040e+00 2.4323e-02 2.4323e-02 [ 9.8940e-03 3.7562e-03 8.1237e-04 9.3929e-04 8.0335e-04 8.3324e-04 1.5553e-03 5.0145e-04 1.6236e-03 1.7008e-03 9.0360e-04 3.5689e-04 6.4256e-04 ] 0.0000e+00 [ 0.0000e+00 ] 9.7568e-01
 2.153e+00 2.4374e-02 2.4374e-02 [ 9.6307e-03 3.7085e-03 7.8025e-04 9.1647e-04 7.9480e-04 8.4867e-04 1.6471e-03 5.3177e-04 1.7351e-03 1.7745e-03 9.5529e-04 3.7579e-04 6.7467e-04 ] 0.0000e+00 [ 0.0000e+00 ] 9.7563e-01
 2.267e+00 2.4332e-02 2.4332e-02 [ 9.3360e-03 3.6439e-03 7.4827e-04 8.9030e-04 7.8338e-04 8.5905e-04 1.7293e-03 5.6024e-04 1.8401e-03 1.8416e-03 1.0028e-03 3.9319e-04 7.0384e-04 ] 0.0000e+00 [ 0.0000e+00 ] 9.7567e-01
 2.380e+00 2.4214e-02 2.4214e-02 [ 9.0184e-03 3.5670e-03 7.1729e-04 8.6213e-04 7.6989e-04 8.6492e-04 1.8016e-03 5.8673e-04 1.9380e-03 1.9023e-03 1.0461e-03 4.0907e-04 7.3008e-04 ] 0.0000e+00 [ 0.0000e+00 ] 9.7579e-01
 2.493e+00 2.4033e-02 2.4033e-02 [ 8.6857e-03 3.4820e-03 6.8792e-04 8.3307e-04 7.5502e-04 8.6679e-04 1.8636e-03 6.1113e-04 2.0283e-03 1.9573e-03 1.0851e-03 4.2344e-04 7.5344e-04 ] 0.0000e+00 [ 0.0000e+00 ] 9.7597e-01
 2.607e+00 2.3803e-02 2.3803e-02 [ 8.3452e-03 3.3924e-03 6.6051e-04 8.0399e-04 7.3929e-04 8.6519e-04 1.9152e-03 6.3335e-04 2.1105e-03 2.0069e-03 1.1198e-03 4.3634e-04 7.7401e-04 ] 0.0000e+00 [ 0.0000e+00 ] 9.7620e-01
 2.720e+00 2.3535e-02 2.3535e-02 [ 8.0031e-03 3.3012e-03 6.3526e-04 7.7555e-04 7.2312e-04 8.6061e-04 1.9566e-03 6.5333e-04 2.1845e-03 2.0515e-03 1.1505e-03 4.4781e-04 7.9194e-04 ] 0.0000e+00 [ 0.0000e+00 ] 9.7647e-01
 2.833e+00 2.3240e-02 2.3240e-02 [ 7.6647e-03 3.2105e-03 6.1225e-04 7.4823e-04 7.0684e-04 8.5352e-04 1.9882e-03 6.7103e-04 2.2502e-03 2.0916e-03 1.1773e-03 4.5789e-04 8.0738e-04 ] 0.0000e+00 [ 0.0000e+00 ] 9.7676e-01
 2.947e+00 2.2925e-02 2.2925e-02 [ 7.3342e-03 3.1222e-03 5.9146e-04 7.2237e-04 6.9070e-04 8.4435e-04 2.0105e-03 6.8644e-04 2.3078e-03 2.1275e-03 1.2003e-03 4.6666e-04 8.2050e-04 ] 0.0000e+00 [ 0.0000e+00 ] 9.7708e-01
 3.060e+00 2.2598e-02 2.2598e-02 [ 7.0149e-03 3.0377e-03 5.7281e-04 6.9819e-04 6.7486e-04 8.3350e-04 2.0241e-03 6.9957e-04 2.3574e-03 2.1596e-03 1.2199e-03 4.7419e-04 8.3147e-04 ] 0.0000e+00 [ 0.0000e+00 ] 9.7740e-01
 3.173e+00 2.2264e-02 2.2264e-02 [ 6.7090e-03 2.9579e-03 5.5619e-04 6.7578e-04 6.5947e-04 8.2131e-04 2.0296e-03 7.1044e-04 2.3992e-03 2.1881e-03 1.2363e-03 4.8053e-04 8.4048e-04 ] 0.0000e+00 [ 0.0000e+00 ] 9.7774e-01
 3.287e+00 2.1928e-02 2.1928e-02 [ 6.4183e-03 2.8836e-03 5.4146e-04 6.5518e-04 6.4460e-04 8.0809e-04 2.0279e-03 7.1909e-04 2.4337e-03 2.2133e-03 1.2497e-03 4.8579e-04 8.4771e-04 ] 0.0000e+00 [ 0.0000e+00 ] 9.7807e-01
 3.400e+00 2.1593e-02 2.1593e-02 [ 6.1433e-03 2.8150e-03 5.2845e-04 6.3638e-04 6.3032e-04 7.9411e-04 2.0198e-03 7.2559e-04 2.4611e-03 2.2355e-03 1.2603e-03 4.9002e-04 8.5331e-04 ] 0.0000e+00 [ 0.0000e+00 ] 9.7841e-01
 3.513e+00 2.1261e-02 2.1261e-02 [ 5.8845e-03 2.7523e-03 5.1703e-04 6.1932e-04 6.1667e-04 7.7961e-04 2.0058e-03 7.3001e-04 2.4818e-03 2.2548e-03 1.2685e-03 4.9331e-04 8.5745e-04 ] 0.0000e+00 [ 0.0000e+00 ] 9.7874e-01
 3.627e+00 2.0934e-02 2.0934e-02 [ 5.6416e-03 2.6956e-03 5.0702e-04 6.0391e-04 6.0365e-04 7.6479e-04 1.9869e-03 7.3246e-04 2.4963e-03 2.2713e-03 1.2745e-03 4.9572e-04 8.6028e-04 ] 0.0000e+00 [ 0.0000e+00 ] 9.7907e-01
 3.740e+00 2.0613e-02 2.0613e-02 [ 5.4141e-03 2.6447e-03 4.9830e-04 5.9005e-04 5.9127e-04 7.4981e-04 1.9638e-03 7.3304e-04 2.5051e-03 2.2853e-03 1.2784e-03 4.9735e-04 8.6193e-04 ] 0.0000e+00 [ 0.0000e+00 ] 9.7939e-01
 3.853e+00 2.0299e-02 2.0299e-02 [ 5.2012e-03 2.5993e-03 4.9070e-04 5.7761e-04 5.7953e-04 7.3482e-04 1.9371e-03 7.3187e-04 2.5085e-03 2.2968e-03 1.2805e-03 4.9824e-04 8.6253e-04 ] 0.0000e+00 [ 0.0000e+00 ] 9.7970e-01
 3.967e+00 1.9991e-02 1.9991e-02 [ 5.0020e-03 2.5592e-03 4.8411e-04 5.6649e-04 5.6842e-04 7.1994e-04 1.9074e-03 7.2907e-04 2.5070e-03 2.3059e-03 1.2810e-03 4.9848e-04 8.6219e-04 ] 0.0000e+00 [ 0.0000e+00 ] 9.8001e-01
 4.080e+00 1.9690e-02 1.9690e-02 [ 4.8154e-03 2.5240e-03 4.7839e-04 5.5656e-04 5.5791e-04 7.0526e-04 1.8754e-03 7.2478e-04 2.5009e-03 2.3127e-03 1.2800e-03 4.9812e-04 8.6100e-04 ] 0.0000e+00 [ 0.0000e+00 ] 9.8031e-01
 4.193e+00 1.9396e-02 1.9396e-02 [ 4.6404e-03 2.4933e-03 4.7345e-04 5.4770e-04 5.4798e-04 6.9086e-04 1.8416e-03 7.1912e-04 2.4908e-03 2.3173e-03 1.2776e-03 4.9722e-04 8.5907e-04 ] 0.0000e+00 [ 0.0000e+00 ] 9.8060e-01
 4.307e+00 1.9109e-02 1.9109e-02 [ 4.4759e-03 2.4666e-03 4.6918e-04 5.3979e-04 5.3862e-04 6.7680e-04 1.8064e-03 7.1225e-04 2.4771e-03 2.3198e-03 1.2742e-03 4.9584e-04 8.5647e-04 ] 0.0000e+00 [ 0.0000e+00 ] 9.8089e-01
 4.420e+00 1.8828e-02 1.8828e-02 [ 4.3210e-03 2.4438e-03 4.6548e-04 5.3274e-04 5.2979e-04 6.6312e-04 1.7703e-03 7.0429e-04 2.4599e-03 2.3202e-03 1.2697e-03 4.9404e-04 8.5327e-04 ] 0.0000e+00 [ 0.0000e+00 ] 9.8117e-01
 4.533e+00 1.8552e-02 1.8552e-02 [ 4.1747e-03 2.4242e-03 4.6228e-04 5.2644e-04 5.2147e-04 6.4986e-04 1.7336e-03 6.9538e-04 2.4399e-03 2.3186e-03 1.2642e-03 4.9185e-04 8.4953e-04 ] 0.0000e+00 [ 0.0000e+00 ] 9.8145e-01
 4.647e+00 1.8282e-02 1.8282e-02 [ 4.0362e-03 2.4076e-03 4.5951e-04 5.2079e-04 5.1362e-04 6.3704e-04 1.6967e-03 6.8566e-04 2.4171e-03 2.3151e-03 1.2580e-03 4.8933e-04 8.4532e-04 ] 0.0000e+00 [ 0.0000e+00 ] 9.8172e-01
 4.760e+00 1.8017e-02 1.8017e-02 [ 3.9045e-03 2.3937e-03 4.5708e-04 5.1572e-04 5.0623e-04 6.2468e-04 1.6599e-03 6.7524e-04 2.3921e-03 2.3097e-03 1.2510e-03 4.8651e-04 8.4068e-04 ] 0.0000e+00 [ 0.0000e+00 ] 9.8198e-01
 4.873e+00 1.7757e-02 1.7757e-02 [ 3.7790e-03 2.3820e-03 4.5496e-04 5.1114e-04 4.9926e-04 6.1279e-04 1.6233e-03 6.6426e-04 2.3650e-03 2.3025e-03 1.2433e-03 4.8343e-04 8.3566e-04 ] 0.0000e+00 [ 0.0000e+00 ] 9.8224e-01
 4.987e+00 1.7501e-02 1.7501e-02 [ 3.6591e-03 2.3724e-03 4.5309e-04 5.0699e-04 4.9269e-04 6.0137e-04 1.5872e-03 6.5282e-04 2.3362e-03 2.2937e-03 1.2351e-03 4.8012e-04 8.3030e-04 ] 0.0000e+00 [ 0.0000e+00 ] 9.8250e-01
