[ 2.5355e-01 -1.5471e+00 -2.8496e+00 -9.4016e-01 ] [ -1.1717e-02 -2.1240e+00 -1.5396e+00 2.3129e-01 -3.8014e-01 5.6827e-04 -6.2905e-01 ] 4.76767e-01 2.56914e-01 -5.29693e+00
[ 2.5539e-01 -1.5459e+00 -2.8492e+00 -9.3844e-01 ] [ -9.8196e-03 -2.1232e+00 -1.5387e+00 2.3315e-01 -3.7839e-01 2.6159e-03 -6.2730e-01 ] 4.81032e-01 2.53962e-01 -5.30068e+00
[ 2.5561e-01 -1.5454e+00 -2.8485e+00 -9.3797e-01 ] [ -9.5305e-03 -2.1226e+00 -1.5383e+00 2.3337e-01 -3.7804e-01 2.9297e-03 -6.2689e-01 ] 4.82766e-01 2.53218e-01 -5.30056e+00
[ 2.5426e-01 -1.5455e+00 -2.8475e+00 -9.3868e-01 ] [ -1.0792e-02 -2.1222e+00 -1.5382e+00 2.3202e-01 -3.7904e-01 1.5658e-03 -6.2777e-01 ] 4.81995e-01 2.54618e-01 -5.29653e+00
[ 2.5137e-01 -1.5461e+00 -2.8462e+00 -9.4056e-01 ] [ -1.3582e-02 -2.1219e+00 -1.5384e+00 2.2913e-01 -3.8135e-01 -1.4580e-03 -6.2993e-01 ] 4.78667e-01 2.58154e-01 -5.28856e+00
[ 2.4696e-01 -1.5473e+00 -2.8445e+00 -9.4361e-01 ] [ -1.7892e-02 -2.1218e+00 -1.5390e+00 2.2471e-01 -3.8497e-01 -6.1384e-03 -6.3335e-01 ] 4.72690e-01 2.63844e-01 -5.27661e+00
[ 2.4105e-01 -1.5490e+00 -2.8424e+00 -9.4782e-01 ] [ -2.3707e-02 -2.1217e+00 -1.5399e+00 2.1878e-01 -3.8990e-01 -1.2470e-02 -6.3803e-01 ] 4.63959e-01 2.71711e-01 -5.26064e+00
[ 2.3368e-01 -1.5512e+00 -2.8400e+00 -9.5319e-01 ] [ -3.1002e-02 -2.1217e+00 -1.5410e+00 2.1138e-01 -3.9609e-01 -2.0433e-02 -6.4396e-01 ] 4.52369e-01 2.81770e-01 -5.24062e+00
[ 2.2491e-01 -1.5538e+00 -2.8370e+00 -9.5967e-01 ] [ -3.9721e-02 -2.1217e+00 -1.5423e+00 2.0257e-01 -4.0351e-01 -2.9983e-02 -6.5109e-01 ] 4.37832e-01 2.94013e-01 -5.21652e+00
[ 2.1485e-01 -1.5569e+00 -2.8336e+00 -9.6721e-01 ] [ -4.9779e-02 -2.1217e+00 -1.5436e+00 1.9245e-01 -4.1207e-01 -4.1040e-02 -6.5934e-01 ] 4.20293e-01 3.08399e-01 -5.18833e+00
