 1.927e+00 2.1070e-02 1.6307e-03 [ 1.6254e-03 5.3484e-06 4.0838e-09 1.0405e-09 1.7272e-09 5.9137e-10 1.0539e-09 1.4992e-09 8.3090e-10 ] 1.9440e-02 [ 1.0964e-02 2.5731e-03 3.2356e-03 2.6670e-03 ] 9.7893e-01
 2.040e+00 2.0598e-02 1.6314e-03 [ 1.6248e-03 6.6789e-06 4.2927e-09 1.0989e-09 1.8787e-09 6.3724e-10 1.1128e-09 1.6087e-09 8.9008e-10 ] 1.8966e-02 [ 1.0547e-02 2.5775e-03 3.1694e-03 2.6718e-03 ] 9.7940e-01
 2.153e+00 2.0037e-02 1.6314e-03 [ 1.6231e-03 8.2878e-06 4.5152e-09 1.1549e-09 2.0280e-09 6.8173e-10 1.1689e-09 1.7153e-09 9.4890e-10 ] 1.8405e-02 [ 1.0087e-02 2.5651e-03 3.0926e-03 2.6606e-03 ] 9.7996e-01
 2.267e+00 1.9413e-02 1.6307e-03 [ 1.6205e-03 1.0222e-05 4.7577e-09 1.2090e-09 2.1746e-09 7.2476e-10 1.2226e-09 1.8189e-09 1.0077e-09 ] 1.7782e-02 [ 9.5966e-03 2.5391e-03 3.0098e-03 2.6366e-03 ] 9.8059e-01
 2.380e+00 1.8749e-02 1.6295e-03 [ 1.6169e-03 1.2532e-05 5.0267e-09 1.2621e-09 2.3182e-09 7.6632e-10 1.2744e-09 1.9200e-09 1.0668e-09 ] 1.7119e-02 [ 9.0893e-03 2.5027e-03 2.9247e-03 2.6024e-03 ] 9.8125e-01
 2.493e+00 1.8064e-02 1.6276e-03 [ 1.6123e-03 1.5276e-05 5.3286e-09 1.3147e-09 2.4585e-09 8.0644e-10 1.3247e-09 2.0191e-09 1.1268e-09 ] 1.6436e-02 [ 8.5765e-03 2.4587e-03 2.8402e-03 2.5608e-03 ] 9.8194e-01
 2.607e+00 1.7374e-02 1.6253e-03 [ 1.6068e-03 1.8516e-05 5.6701e-09 1.3676e-09 2.5957e-09 8.4522e-10 1.3741e-09 2.1168e-09 1.1882e-09 ] 1.5749e-02 [ 8.0675e-03 2.4093e-03 2.7583e-03 2.5138e-03 ] 9.8263e-01
 2.720e+00 1.6693e-02 1.6226e-03 [ 1.6002e-03 2.2317e-05 6.0578e-09 1.4215e-09 2.7301e-09 8.8282e-10 1.4229e-09 2.2138e-09 1.2516e-09 ] 1.5070e-02 [ 7.5702e-03 2.3567e-03 2.6803e-03 2.4632e-03 ] 9.8331e-01
 2.833e+00 1.6030e-02 1.6194e-03 [ 1.5926e-03 2.6751e-05 6.4991e-09 1.4772e-09 2.8620e-09 9.1940e-10 1.4717e-09 2.3108e-09 1.3176e-09 ] 1.4411e-02 [ 7.0903e-03 2.3024e-03 2.6073e-03 2.4107e-03 ] 9.8397e-01
 2.947e+00 1.5393e-02 1.6158e-03 [ 1.5839e-03 3.1891e-05 7.0016e-09 1.5354e-09 2.9922e-09 9.5517e-10 1.5208e-09 2.4088e-09 1.3870e-09 ] 1.3777e-02 [ 6.6322e-03 2.2479e-03 2.5396e-03 2.3574e-03 ] 9.8461e-01
 3.060e+00 1.4786e-02 1.6119e-03 [ 1.5741e-03 3.7814e-05 7.5734e-09 1.5967e-09 3.1213e-09 9.9036e-10 1.5705e-09 2.5085e-09 1.4604e-09 ] 1.3174e-02 [ 6.1987e-03 2.1939e-03 2.4775e-03 2.3043e-03 ] 9.8521e-01
 3.173e+00 1.4213e-02 1.6076e-03 [ 1.5630e-03 4.4599e-05 8.2237e-09 1.6621e-09 3.2503e-09 1.0252e-09 1.6213e-09 2.6109e-09 1.5386e-09 ] 1.2605e-02 [ 5.7912e-03 2.1414e-03 2.4209e-03 2.2520e-03 ] 9.8579e-01
 3.287e+00 1.3675e-02 1.6030e-03 [ 1.5507e-03 5.2325e-05 8.9626e-09 1.7323e-09 3.3802e-09 1.0599e-09 1.6734e-09 2.7169e-09 1.6225e-09 ] 1.2072e-02 [ 5.4103e-03 2.0907e-03 2.3696e-03 2.2012e-03 ] 9.8633e-01
 3.400e+00 1.3171e-02 1.5980e-03 [ 1.5369e-03 6.1070e-05 9.8010e-09 1.8079e-09 3.5120e-09 1.0948e-09 1.7271e-09 2.8276e-09 1.7130e-09 ] 1.1573e-02 [ 5.0558e-03 2.0422e-03 2.3232e-03 2.1523e-03 ] 9.8683e-01
 3.513e+00 1.2702e-02 1.5926e-03 [ 1.5217e-03 7.0910e-05 1.0752e-08 1.8899e-09 3.6470e-09 1.1301e-09 1.7828e-09 2.9438e-09 1.8109e-09 ] 1.1110e-02 [ 4.7268e-03 1.9959e-03 2.2814e-03 2.1054e-03 ] 9.8730e-01
 3.627e+00 1.2266e-02 1.5869e-03 [ 1.5049e-03 8.1918e-05 1.1828e-08 1.9792e-09 3.7864e-09 1.1661e-09 1.8407e-09 3.0667e-09 1.9172e-09 ] 1.0679e-02 [ 4.4222e-03 1.9520e-03 2.2437e-03 2.0608e-03 ] 9.8773e-01
 3.740e+00 1.1859e-02 1.5807e-03 [ 1.4865e-03 9.4160e-05 1.3046e-08 2.0765e-09 3.9315e-09 1.2030e-09 1.9010e-09 3.1974e-09 2.0331e-09 ] 1.0279e-02 [ 4.1403e-03 1.9104e-03 2.2097e-03 2.0184e-03 ] 9.8814e-01
 3.853e+00 1.1482e-02 1.5741e-03 [ 1.4664e-03 1.0770e-04 1.4424e-08 2.1828e-09 4.0839e-09 1.2412e-09 1.9641e-09 3.3369e-09 2.1597e-09 ] 9.9076e-03 [ 3.8796e-03 1.8709e-03 2.1788e-03 1.9783e-03 ] 9.8852e-01
 3.967e+00 1.1130e-02 1.5671e-03 [ 1.4445e-03 1.2258e-04 1.5982e-08 2.2991e-09 4.2451e-09 1.2808e-09 2.0303e-09 3.4864e-09 2.2981e-09 ] 9.5627e-03 [ 3.6383e-03 1.8333e-03 2.1506e-03 1.9404e-03 ] 9.8887e-01
 4.080e+00 1.0802e-02 1.5597e-03 [ 1.4208e-03 1.3884e-04 1.7742e-08 2.4265e-09 4.4167e-09 1.3222e-09 2.0997e-09 3.6473e-09 2.4498e-09 ] 9.2419e-03 [ 3.4148e-03 1.7976e-03 2.1248e-03 1.9047e-03 ] 9.8920e-01
 4.193e+00 1.0495e-02 1.5518e-03 [ 1.3953e-03 1.5652e-04 1.9730e-08 2.5663e-09 4.6005e-09 1.3658e-09 2.1728e-09 3.8209e-09 2.6162e-09 ] 8.9428e-03 [ 3.2075e-03 1.7634e-03 2.1008e-03 1.8710e-03 ] 9.8951e-01
 4.307e+00 1.0207e-02 1.5435e-03 [ 1.3678e-03 1.7563e-04 2.1975e-08 2.7195e-09 4.7984e-09 1.4118e-09 2.2499e-09 4.0086e-09 2.7989e-09 ] 8.6632e-03 [ 3.0149e-03 1.7307e-03 2.0783e-03 1.8393e-03 ] 9.8979e-01
 4.420e+00 9.9357e-03 1.5347e-03 [ 1.3385e-03 1.9618e-04 2.4512e-08 2.8876e-09 5.0124e-09 1.4605e-09 2.3313e-09 4.2121e-09 2.9998e-09 ] 8.4010e-03 [ 2.8356e-03 1.6992e-03 2.0570e-03 1.8093e-03 ] 9.9006e-01
 4.533e+00 9.6800e-03 1.5255e-03 [ 1.3073e-03 2.1814e-04 2.7377e-08 3.0722e-09 5.2448e-09 1.5125e-09 2.4174e-09 4.4330e-09 3.2206e-09 ] 8.1545e-03 [ 2.6683e-03 1.6688e-03 2.0366e-03 1.7809e-03 ] 9.9032e-01
 4.647e+00 9.4379e-03 1.5159e-03 [ 1.2743e-03 2.4149e-04 3.0614e-08 3.2748e-09 5.4979e-09 1.5680e-09 2.5087e-09 4.6732e-09 3.4635e-09 ] 7.9220e-03 [ 2.5118e-03 1.6393e-03 2.0169e-03 1.7540e-03 ] 9.9056e-01
