z [nm]	Overall	L		1	2	3	4		M		1	2	3	4	5	6	7	8	9		H		1	2	3	4		Solvent
8.95E+00	3.04E-02	1.72E-03	[	2.45E-06	7.76E-05	8.56E-04	7.81E-04	]	7.60E-03	[	4.26E-08	1.15E-04	3.17E-03	8.21E-04	1.75E-03	7.54E-04	3.51E-04	3.73E-04	2.62E-04	]	2.11E-02	[	2.36E-07	2.00E-04	1.18E-02	9.15E-03	]	9.70E-01
9.07E+00	3.09E-02	1.62E-03	[	1.98E-06	6.85E-05	8.03E-04	7.50E-04	]	7.74E-03	[	3.05E-08	1.02E-04	3.15E-03	8.47E-04	1.82E-03	7.89E-04	3.67E-04	3.89E-04	2.73E-04	]	2.16E-02	[	1.74E-07	1.77E-04	1.19E-02	9.53E-03	]	9.69E-01
9.18E+00	3.14E-02	1.53E-03	[	1.60E-06	6.03E-05	7.53E-04	7.19E-04	]	7.88E-03	[	2.18E-08	9.02E-05	3.12E-03	8.72E-04	1.90E-03	8.26E-04	3.84E-04	4.07E-04	2.84E-04	]	2.20E-02	[	1.29E-07	1.56E-04	1.19E-02	9.93E-03	]	9.69E-01
9.29E+00	3.19E-02	1.45E-03	[	1.29E-06	5.30E-05	7.04E-04	6.88E-04	]	8.02E-03	[	1.54E-08	7.94E-05	3.08E-03	8.97E-04	1.97E-03	8.64E-04	4.02E-04	4.24E-04	2.95E-04	]	2.25E-02	[	9.42E-08	1.37E-04	1.20E-02	1.03E-02	]	9.68E-01
9.41E+00	3.25E-02	1.36E-03	[	1.04E-06	4.65E-05	6.58E-04	6.58E-04	]	8.16E-03	[	1.09E-08	6.97E-05	3.04E-03	9.20E-04	2.05E-03	9.03E-04	4.20E-04	4.43E-04	3.07E-04	]	2.29E-02	[	6.88E-08	1.20E-04	1.21E-02	1.07E-02	]	9.68E-01
9.52E+00	3.30E-02	1.28E-03	[	8.29E-07	4.07E-05	6.13E-04	6.28E-04	]	8.30E-03	[	7.64E-09	6.10E-05	3.00E-03	9.44E-04	2.13E-03	9.44E-04	4.39E-04	4.62E-04	3.18E-04	]	2.34E-02	[	4.99E-08	1.05E-04	1.21E-02	1.12E-02	]	9.67E-01
9.63E+00	3.35E-02	1.21E-03	[	6.61E-07	3.56E-05	5.71E-04	5.99E-04	]	8.44E-03	[	5.34E-09	5.33E-05	2.96E-03	9.66E-04	2.20E-03	9.85E-04	4.59E-04	4.81E-04	3.30E-04	]	2.39E-02	[	3.61E-08	9.17E-05	1.22E-02	1.16E-02	]	9.67E-01
9.75E+00	3.40E-02	1.13E-03	[	5.26E-07	3.10E-05	5.31E-04	5.71E-04	]	8.57E-03	[	3.71E-09	4.64E-05	2.91E-03	9.87E-04	2.28E-03	1.03E-03	4.79E-04	5.01E-04	3.42E-04	]	2.43E-02	[	2.60E-08	7.97E-05	1.22E-02	1.20E-02	]	9.66E-01
9.86E+00	3.45E-02	1.06E-03	[	4.18E-07	2.70E-05	4.92E-04	5.43E-04	]	8.71E-03	[	2.56E-09	4.03E-05	2.86E-03	1.01E-03	2.36E-03	1.07E-03	4.99E-04	5.21E-04	3.55E-04	]	2.48E-02	[	1.86E-08	6.90E-05	1.22E-02	1.24E-02	]	9.65E-01
9.97E+00	3.50E-02	9.96E-04	[	3.30E-07	2.34E-05	4.56E-04	5.16E-04	]	8.84E-03	[	1.76E-09	3.49E-05	2.80E-03	1.03E-03	2.44E-03	1.11E-03	5.20E-04	5.42E-04	3.67E-04	]	2.52E-02	[	1.32E-08	5.96E-05	1.23E-02	1.29E-02	]	9.65E-01
1.01E+01	3.56E-02	9.32E-04	[	2.61E-07	2.03E-05	4.22E-04	4.90E-04	]	8.97E-03	[	1.20E-09	3.01E-05	2.75E-03	1.04E-03	2.51E-03	1.16E-03	5.41E-04	5.63E-04	3.80E-04	]	2.56E-02	[	9.39E-09	5.13E-05	1.23E-02	1.33E-02	]	9.64E-01
1.02E+01	3.61E-02	8.72E-04	[	2.05E-07	1.75E-05	3.90E-04	4.64E-04	]	9.10E-03	[	8.19E-10	2.59E-05	2.69E-03	1.06E-03	2.59E-03	1.20E-03	5.63E-04	5.84E-04	3.92E-04	]	2.61E-02	[	6.63E-09	4.40E-05	1.23E-02	1.38E-02	]	9.64E-01
1.03E+01	3.65E-02	8.15E-04	[	1.61E-07	1.51E-05	3.60E-04	4.39E-04	]	9.23E-03	[	5.54E-10	2.22E-05	2.62E-03	1.07E-03	2.66E-03	1.25E-03	5.85E-04	6.05E-04	4.05E-04	]	2.65E-02	[	4.65E-09	3.76E-05	1.23E-02	1.42E-02	]	9.63E-01
1.04E+01	3.70E-02	7.60E-04	[	1.26E-07	1.30E-05	3.32E-04	4.15E-04	]	9.35E-03	[	3.73E-10	1.90E-05	2.56E-03	1.08E-03	2.74E-03	1.30E-03	6.07E-04	6.27E-04	4.17E-04	]	2.69E-02	[	3.26E-09	3.21E-05	1.22E-02	1.46E-02	]	9.63E-01
1.05E+01	3.75E-02	7.09E-04	[	9.78E-08	1.12E-05	3.05E-04	3.92E-04	]	9.46E-03	[	2.49E-10	1.62E-05	2.49E-03	1.10E-03	2.81E-03	1.34E-03	6.29E-04	6.49E-04	4.30E-04	]	2.73E-02	[	2.27E-09	2.73E-05	1.22E-02	1.50E-02	]	9.63E-01
1.07E+01	3.79E-02	6.60E-04	[	7.60E-08	9.63E-06	2.80E-04	3.70E-04	]	9.57E-03	[	1.66E-10	1.38E-05	2.43E-03	1.10E-03	2.88E-03	1.39E-03	6.52E-04	6.70E-04	4.43E-04	]	2.77E-02	[	1.57E-09	2.31E-05	1.22E-02	1.55E-02	]	9.62E-01
1.08E+01	3.83E-02	6.14E-04	[	5.88E-08	8.25E-06	2.57E-04	3.48E-04	]	9.68E-03	[	1.10E-10	1.17E-05	2.36E-03	1.11E-03	2.94E-03	1.43E-03	6.74E-04	6.92E-04	4.55E-04	]	2.80E-02	[	1.08E-09	1.95E-05	1.21E-02	1.59E-02	]	9.62E-01
1.09E+01	3.87E-02	5.70E-04	[	4.54E-08	7.05E-06	2.36E-04	3.27E-04	]	9.77E-03	[	7.24E-11	9.92E-06	2.29E-03	1.12E-03	3.00E-03	1.48E-03	6.96E-04	7.13E-04	4.67E-04	]	2.83E-02	[	7.43E-10	1.65E-05	1.20E-02	1.63E-02	]	9.61E-01
1.10E+01	3.90E-02	5.30E-04	[	3.49E-08	6.02E-06	2.16E-04	3.08E-04	]	9.86E-03	[	4.75E-11	8.37E-06	2.22E-03	1.12E-03	3.06E-03	1.52E-03	7.18E-04	7.34E-04	4.79E-04	]	2.86E-02	[	5.08E-10	1.38E-05	1.20E-02	1.66E-02	]	9.61E-01
1.11E+01	3.93E-02	4.91E-04	[	2.68E-08	5.13E-06	1.97E-04	2.89E-04	]	9.95E-03	[	3.09E-11	7.04E-06	2.15E-03	1.12E-03	3.12E-03	1.57E-03	7.40E-04	7.55E-04	4.90E-04	]	2.89E-02	[	3.45E-10	1.16E-05	1.19E-02	1.70E-02	]	9.61E-01
1.12E+01	3.96E-02	4.55E-04	[	2.05E-08	4.36E-06	1.80E-04	2.70E-04	]	1.00E-02	[	2.01E-11	5.90E-06	2.08E-03	1.12E-03	3.17E-03	1.61E-03	7.61E-04	7.75E-04	5.02E-04	]	2.91E-02	[	2.34E-10	9.65E-06	1.18E-02	1.74E-02	]	9.60E-01
1.13E+01	3.98E-02	4.21E-04	[	1.56E-08	3.70E-06	1.64E-04	2.53E-04	]	1.01E-02	[	1.29E-11	4.93E-06	2.01E-03	1.12E-03	3.21E-03	1.66E-03	7.82E-04	7.94E-04	5.12E-04	]	2.93E-02	[	1.58E-10	8.03E-06	1.16E-02	1.77E-02	]	9.60E-01
1.15E+01	4.00E-02	3.90E-04	[	1.18E-08	3.14E-06	1.50E-04	2.37E-04	]	1.01E-02	[	8.29E-12	4.11E-06	1.93E-03	1.11E-03	3.25E-03	1.70E-03	8.02E-04	8.13E-04	5.23E-04	]	2.95E-02	[	1.06E-10	6.66E-06	1.15E-02	1.80E-02	]	9.60E-01
1.16E+01	4.01E-02	3.60E-04	[	8.95E-09	2.65E-06	1.36E-04	2.21E-04	]	1.02E-02	[	5.29E-12	3.41E-06	1.86E-03	1.10E-03	3.29E-03	1.74E-03	8.22E-04	8.31E-04	5.32E-04	]	2.96E-02	[	7.07E-11	5.51E-06	1.14E-02	1.83E-02	]	9.60E-01
1.17E+01	4.02E-02	3.32E-04	[	6.74E-09	2.24E-06	1.24E-04	2.06E-04	]	1.02E-02	[	3.36E-12	2.83E-06	1.79E-03	1.09E-03	3.32E-03	1.78E-03	8.40E-04	8.48E-04	5.41E-04	]	2.97E-02	[	4.70E-11	4.54E-06	1.12E-02	1.85E-02	]	9.60E-01
1.18E+01	4.03E-02	3.06E-04	[	5.07E-09	1.89E-06	1.13E-04	1.92E-04	]	1.02E-02	[	2.12E-12	2.34E-06	1.72E-03	1.08E-03	3.34E-03	1.82E-03	8.58E-04	8.64E-04	5.50E-04	]	2.97E-02	[	3.11E-11	3.73E-06	1.10E-02	1.87E-02	]	9.60E-01
1.19E+01	4.03E-02	2.82E-04	[	3.79E-09	1.59E-06	1.02E-04	1.78E-04	]	1.02E-02	[	1.33E-12	1.92E-06	1.65E-03	1.07E-03	3.36E-03	1.85E-03	8.75E-04	8.79E-04	5.58E-04	]	2.97E-02	[	2.05E-11	3.06E-06	1.08E-02	1.89E-02	]	9.60E-01
1.20E+01	4.02E-02	2.60E-04	[	2.83E-09	1.33E-06	9.25E-05	1.66E-04	]	1.02E-02	[	8.31E-13	1.58E-06	1.58E-03	1.05E-03	3.37E-03	1.88E-03	8.90E-04	8.93E-04	5.65E-04	]	2.97E-02	[	1.35E-11	2.50E-06	1.06E-02	1.91E-02	]	9.60E-01
1.21E+01	4.01E-02	2.39E-04	[	2.10E-09	1.11E-06	8.37E-05	1.54E-04	]	1.02E-02	[	5.16E-13	1.29E-06	1.51E-03	1.04E-03	3.38E-03	1.92E-03	9.05E-04	9.06E-04	5.71E-04	]	2.96E-02	[	8.79E-12	2.03E-06	1.04E-02	1.92E-02	]	9.60E-01
1.22E+01	3.99E-02	2.19E-04	[	1.56E-09	9.32E-07	7.57E-05	1.43E-04	]	1.02E-02	[	3.19E-13	1.05E-06	1.45E-03	1.02E-03	3.38E-03	1.94E-03	9.18E-04	9.17E-04	5.76E-04	]	2.95E-02	[	5.72E-12	1.65E-06	1.02E-02	1.93E-02	]	9.60E-01
1.24E+01	3.97E-02	2.01E-04	[	1.15E-09	7.77E-07	6.83E-05	1.32E-04	]	1.02E-02	[	1.96E-13	8.54E-07	1.38E-03	1.00E-03	3.37E-03	1.97E-03	9.30E-04	9.27E-04	5.81E-04	]	2.93E-02	[	3.70E-12	1.33E-06	9.97E-03	1.94E-02	]	9.60E-01
1.25E+01	3.94E-02	1.84E-04	[	8.43E-10	6.47E-07	6.17E-05	1.22E-04	]	1.01E-02	[	1.20E-13	6.91E-07	1.32E-03	9.79E-04	3.35E-03	1.99E-03	9.40E-04	9.35E-04	5.85E-04	]	2.91E-02	[	2.39E-12	1.08E-06	9.72E-03	1.94E-02	]	9.61E-01
1.26E+01	3.91E-02	1.69E-04	[	6.17E-10	5.37E-07	5.56E-05	1.13E-04	]	1.00E-02	[	7.28E-14	5.58E-07	1.25E-03	9.57E-04	3.34E-03	2.01E-03	9.49E-04	9.42E-04	5.87E-04	]	2.89E-02	[	1.53E-12	8.66E-07	9.47E-03	1.94E-02	]	9.61E-01
1.27E+01	3.87E-02	1.54E-04	[	4.50E-10	4.45E-07	5.00E-05	1.04E-04	]	9.96E-03	[	4.41E-14	4.49E-07	1.19E-03	9.34E-04	3.31E-03	2.03E-03	9.56E-04	9.47E-04	5.89E-04	]	2.86E-02	[	9.78E-13	6.94E-07	9.22E-03	1.93E-02	]	9.61E-01
1.28E+01	3.82E-02	1.41E-04	[	3.27E-10	3.68E-07	4.50E-05	9.58E-05	]	9.87E-03	[	2.65E-14	3.60E-07	1.13E-03	9.09E-04	3.28E-03	2.05E-03	9.62E-04	9.51E-04	5.91E-04	]	2.82E-02	[	6.22E-13	5.55E-07	8.95E-03	1.93E-02	]	9.62E-01
1.29E+01	3.77E-02	1.29E-04	[	2.37E-10	3.04E-07	4.04E-05	8.81E-05	]	9.76E-03	[	1.59E-14	2.87E-07	1.07E-03	8.84E-04	3.24E-03	2.06E-03	9.66E-04	9.53E-04	5.91E-04	]	2.78E-02	[	3.93E-13	4.42E-07	8.68E-03	1.92E-02	]	9.62E-01
1.30E+01	3.72E-02	1.18E-04	[	1.70E-10	2.50E-07	3.63E-05	8.10E-05	]	9.65E-03	[	9.45E-15	2.29E-07	1.01E-03	8.57E-04	3.20E-03	2.07E-03	9.68E-04	9.54E-04	5.90E-04	]	2.74E-02	[	2.48E-13	3.52E-07	8.40E-03	1.90E-02	]	9.63E-01
1.32E+01	3.66E-02	1.07E-04	[	1.22E-10	2.05E-07	3.25E-05	7.44E-05	]	9.52E-03	[	5.60E-15	1.81E-07	9.58E-04	8.30E-04	3.15E-03	2.07E-03	9.69E-04	9.53E-04	5.89E-04	]	2.70E-02	[	1.55E-13	2.79E-07	8.12E-03	1.89E-02	]	9.63E-01
1.33E+01	3.60E-02	9.75E-05	[	8.75E-11	1.68E-07	2.91E-05	6.82E-05	]	9.38E-03	[	3.30E-15	1.43E-07	9.04E-04	8.03E-04	3.10E-03	2.07E-03	9.69E-04	9.50E-04	5.86E-04	]	2.65E-02	[	9.70E-14	2.20E-07	7.84E-03	1.87E-02	]	9.64E-01
1.34E+01	3.53E-02	8.87E-05	[	6.23E-11	1.37E-07	2.60E-05	6.25E-05	]	9.24E-03	[	1.93E-15	1.13E-07	8.53E-04	7.75E-04	3.04E-03	2.07E-03	9.66E-04	9.47E-04	5.83E-04	]	2.60E-02	[	6.03E-14	1.73E-07	7.55E-03	1.84E-02	]	9.65E-01
1.35E+01	3.46E-02	8.05E-05	[	4.42E-11	1.12E-07	2.32E-05	5.72E-05	]	9.08E-03	[	1.13E-15	8.87E-08	8.02E-04	7.46E-04	2.98E-03	2.07E-03	9.63E-04	9.41E-04	5.79E-04	]	2.54E-02	[	3.73E-14	1.36E-07	7.26E-03	1.82E-02	]	9.65E-01
1.36E+01	3.39E-02	7.31E-05	[	3.12E-11	9.10E-08	2.07E-05	5.23E-05	]	8.91E-03	[	6.55E-16	6.93E-08	7.54E-04	7.18E-04	2.91E-03	2.06E-03	9.57E-04	9.35E-04	5.75E-04	]	2.49E-02	[	2.30E-14	1.06E-07	6.97E-03	1.79E-02	]	9.66E-01
1.37E+01	3.31E-02	6.63E-05	[	2.19E-11	7.38E-08	1.85E-05	4.77E-05	]	8.74E-03	[	3.78E-16	5.40E-08	7.08E-04	6.89E-04	2.84E-03	2.05E-03	9.51E-04	9.27E-04	5.69E-04	]	2.43E-02	[	1.41E-14	8.31E-08	6.69E-03	1.76E-02	]	9.67E-01
1.38E+01	3.23E-02	6.00E-05	[	1.54E-11	5.96E-08	1.64E-05	4.35E-05	]	8.55E-03	[	2.17E-16	4.19E-08	6.63E-04	6.61E-04	2.77E-03	2.03E-03	9.43E-04	9.18E-04	5.63E-04	]	2.37E-02	[	8.60E-15	6.47E-08	6.40E-03	1.73E-02	]	9.68E-01
1.39E+01	3.15E-02	5.43E-05	[	1.07E-11	4.81E-08	1.46E-05	3.96E-05	]	8.37E-03	[	1.24E-16	3.24E-08	6.20E-04	6.32E-04	2.70E-03	2.02E-03	9.33E-04	9.07E-04	5.57E-04	]	2.31E-02	[	5.22E-15	5.02E-08	6.12E-03	1.69E-02	]	9.69E-01
1.41E+01	3.06E-02	4.91E-05	[	7.44E-12	3.86E-08	1.30E-05	3.61E-05	]	8.17E-03	[	7.07E-17	2.50E-08	5.80E-04	6.04E-04	2.62E-03	2.00E-03	9.23E-04	8.96E-04	5.50E-04	]	2.24E-02	[	3.16E-15	3.88E-08	5.84E-03	1.66E-02	]	9.69E-01
1.42E+01	2.98E-02	4.43E-05	[	5.15E-12	3.10E-08	1.15E-05	3.28E-05	]	7.97E-03	[	4.00E-17	1.92E-08	5.40E-04	5.76E-04	2.54E-03	1.97E-03	9.11E-04	8.84E-04	5.42E-04	]	2.18E-02	[	1.90E-15	2.99E-08	5.57E-03	1.62E-02	]	9.70E-01
1.43E+01	2.89E-02	3.99E-05	[	3.55E-12	2.47E-08	1.02E-05	2.97E-05	]	7.77E-03	[	2.26E-17	1.47E-08	5.03E-04	5.49E-04	2.46E-03	1.95E-03	8.98E-04	8.70E-04	5.34E-04	]	2.11E-02	[	1.14E-15	2.30E-08	5.30E-03	1.58E-02	]	9.71E-01
1.44E+01	2.80E-02	3.60E-05	[	2.43E-12	1.97E-08	8.99E-06	2.70E-05	]	7.56E-03	[	1.26E-17	1.12E-08	4.68E-04	5.22E-04	2.38E-03	1.92E-03	8.85E-04	8.56E-04	5.26E-04	]	2.05E-02	[	6.79E-16	1.76E-08	5.03E-03	1.54E-02	]	9.72E-01
1.45E+01	2.72E-02	3.24E-05	[	1.66E-12	1.57E-08	7.94E-06	2.44E-05	]	7.35E-03	[	7.06E-18	8.49E-09	4.34E-04	4.95E-04	2.30E-03	1.89E-03	8.70E-04	8.42E-04	5.17E-04	]	1.98E-02	[	4.03E-16	1.35E-08	4.77E-03	1.50E-02	]	9.73E-01
1.46E+01	2.63E-02	2.91E-05	[	1.13E-12	1.24E-08	6.99E-06	2.21E-05	]	7.13E-03	[	3.92E-18	6.42E-09	4.02E-04	4.69E-04	2.22E-03	1.86E-03	8.54E-04	8.26E-04	5.08E-04	]	1.91E-02	[	2.38E-16	1.03E-08	4.52E-03	1.46E-02	]	9.74E-01
1.47E+01	2.54E-02	2.61E-05	[	7.66E-13	9.80E-09	6.15E-06	2.00E-05	]	6.92E-03	[	2.17E-18	4.83E-09	3.72E-04	4.44E-04	2.13E-03	1.82E-03	8.38E-04	8.10E-04	4.98E-04	]	1.85E-02	[	1.40E-16	7.82E-09	4.28E-03	1.42E-02	]	9.75E-01
1.49E+01	2.45E-02	2.34E-05	[	5.16E-13	7.71E-09	5.40E-06	1.80E-05	]	6.70E-03	[	1.19E-18	3.63E-09	3.44E-04	4.19E-04	2.05E-03	1.79E-03	8.21E-04	7.94E-04	4.88E-04	]	1.78E-02	[	8.20E-17	5.92E-09	4.04E-03	1.38E-02	]	9.75E-01
1.50E+01	2.37E-02	2.10E-05	[	3.47E-13	6.05E-09	4.74E-06	1.63E-05	]	6.49E-03	[	6.53E-19	2.71E-09	3.17E-04	3.95E-04	1.97E-03	1.75E-03	8.04E-04	7.77E-04	4.79E-04	]	1.72E-02	[	4.78E-17	4.47E-09	3.81E-03	1.33E-02	]	9.76E-01
1.51E+01	2.28E-02	1.88E-05	[	2.32E-13	4.73E-09	4.15E-06	1.46E-05	]	6.27E-03	[	3.56E-19	2.02E-09	2.91E-04	3.72E-04	1.89E-03	1.71E-03	7.86E-04	7.60E-04	4.69E-04	]	1.65E-02	[	2.77E-17	3.37E-09	3.59E-03	1.29E-02	]	9.77E-01
1.52E+01	2.20E-02	1.68E-05	[	1.55E-13	3.69E-09	3.63E-06	1.32E-05	]	6.06E-03	[	1.93E-19	1.50E-09	2.68E-04	3.50E-04	1.81E-03	1.67E-03	7.68E-04	7.42E-04	4.58E-04	]	1.59E-02	[	1.60E-17	2.53E-09	3.38E-03	1.25E-02	]	9.78E-01
1.53E+01	2.11E-02	1.50E-05	[	1.02E-13	2.86E-09	3.17E-06	1.18E-05	]	5.85E-03	[	1.04E-19	1.11E-09	2.45E-04	3.29E-04	1.73E-03	1.62E-03	7.49E-04	7.25E-04	4.48E-04	]	1.53E-02	[	9.21E-18	1.90E-09	3.18E-03	1.21E-02	]	9.79E-01
1.54E+01	2.03E-02	1.34E-05	[	6.77E-14	2.22E-09	2.76E-06	1.06E-05	]	5.64E-03	[	5.60E-20	8.14E-10	2.25E-04	3.08E-04	1.65E-03	1.58E-03	7.30E-04	7.07E-04	4.38E-04	]	1.47E-02	[	5.27E-18	1.42E-09	2.98E-03	1.17E-02	]	9.80E-01
1.55E+01	1.95E-02	1.19E-05	[	4.45E-14	1.71E-09	2.40E-06	9.51E-06	]	5.43E-03	[	3.00E-20	5.97E-10	2.05E-04	2.88E-04	1.58E-03	1.53E-03	7.11E-04	6.89E-04	4.27E-04	]	1.41E-02	[	3.00E-18	1.05E-09	2.80E-03	1.13E-02	]	9.81E-01
1.56E+01	1.87E-02	1.06E-05	[	2.92E-14	1.32E-09	2.08E-06	8.51E-06	]	5.23E-03	[	1.60E-20	4.36E-10	1.87E-04	2.70E-04	1.50E-03	1.49E-03	6.92E-04	6.71E-04	4.17E-04	]	1.35E-02	[	1.70E-18	7.83E-10	2.62E-03	1.09E-02	]	9.81E-01
1.58E+01	1.79E-02	9.41E-06	[	1.90E-14	1.01E-09	1.80E-06	7.61E-06	]	5.03E-03	[	8.48E-21	3.17E-10	1.70E-04	2.52E-04	1.43E-03	1.44E-03	6.72E-04	6.53E-04	4.07E-04	]	1.29E-02	[	9.61E-19	5.80E-10	2.45E-03	1.05E-02	]	9.82E-01
1.59E+01	1.72E-02	8.35E-06	[	1.24E-14	7.70E-10	1.56E-06	6.79E-06	]	4.83E-03	[	4.48E-21	2.30E-10	1.55E-04	2.34E-04	1.36E-03	1.40E-03	6.53E-04	6.36E-04	3.97E-04	]	1.24E-02	[	5.40E-19	4.28E-10	2.29E-03	1.01E-02	]	9.83E-01
1.60E+01	1.65E-02	7.40E-06	[	7.99E-15	5.86E-10	1.35E-06	6.06E-06	]	4.64E-03	[	2.36E-21	1.66E-10	1.40E-04	2.18E-04	1.29E-03	1.35E-03	6.34E-04	6.18E-04	3.86E-04	]	1.18E-02	[	3.02E-19	3.15E-10	2.14E-03	9.69E-03	]	9.84E-01
1.61E+01	1.58E-02	6.56E-06	[	5.15E-15	4.45E-10	1.16E-06	5.40E-06	]	4.45E-03	[	1.23E-21	1.19E-10	1.27E-04	2.03E-04	1.22E-03	1.30E-03	6.15E-04	6.00E-04	3.76E-04	]	1.13E-02	[	1.68E-19	2.31E-10	1.99E-03	9.32E-03	]	9.84E-01
1.62E+01	1.51E-02	5.80E-06	[	3.30E-15	3.36E-10	9.97E-07	4.80E-06	]	4.27E-03	[	6.43E-22	8.54E-11	1.15E-04	1.88E-04	1.16E-03	1.26E-03	5.95E-04	5.83E-04	3.66E-04	]	1.08E-02	[	9.34E-20	1.69E-10	1.85E-03	8.96E-03	]	9.85E-01
1.63E+01	1.44E-02	5.12E-06	[	2.11E-15	2.53E-10	8.56E-07	4.26E-06	]	4.09E-03	[	3.34E-22	6.09E-11	1.04E-04	1.74E-04	1.10E-03	1.21E-03	5.76E-04	5.66E-04	3.56E-04	]	1.03E-02	[	5.16E-20	1.23E-10	1.72E-03	8.60E-03	]	9.86E-01
1.64E+01	1.38E-02	4.52E-06	[	1.34E-15	1.90E-10	7.33E-07	3.78E-06	]	3.91E-03	[	1.73E-22	4.33E-11	9.32E-05	1.61E-04	1.04E-03	1.17E-03	5.58E-04	5.49E-04	3.46E-04	]	9.86E-03	[	2.84E-20	8.97E-11	1.60E-03	8.26E-03	]	9.86E-01
1.66E+01	1.32E-02	3.98E-06	[	8.50E-16	1.42E-10	6.27E-07	3.35E-06	]	3.74E-03	[	8.90E-23	3.06E-11	8.37E-05	1.49E-04	9.81E-04	1.12E-03	5.39E-04	5.32E-04	3.37E-04	]	9.41E-03	[	1.55E-20	6.51E-11	1.49E-03	7.93E-03	]	9.87E-01
1.67E+01	1.26E-02	3.50E-06	[	5.37E-16	1.06E-10	5.35E-07	2.97E-06	]	3.58E-03	[	4.56E-23	2.16E-11	7.50E-05	1.37E-04	9.26E-04	1.08E-03	5.21E-04	5.16E-04	3.27E-04	]	8.98E-03	[	8.46E-21	4.71E-11	1.38E-03	7.60E-03	]	9.87E-01
1.68E+01	1.20E-02	3.08E-06	[	3.37E-16	7.88E-11	4.55E-07	2.62E-06	]	3.42E-03	[	2.33E-23	1.52E-11	6.72E-05	1.26E-04	8.73E-04	1.03E-03	5.03E-04	4.99E-04	3.18E-04	]	8.57E-03	[	4.59E-21	3.40E-11	1.28E-03	7.29E-03	]	9.88E-01
1.69E+01	1.14E-02	2.70E-06	[	2.11E-16	5.84E-11	3.87E-07	2.31E-06	]	3.26E-03	[	1.19E-23	1.06E-11	6.00E-05	1.16E-04	8.22E-04	9.89E-04	4.85E-04	4.83E-04	3.08E-04	]	8.17E-03	[	2.48E-21	2.44E-11	1.18E-03	6.98E-03	]	9.89E-01
1.70E+01	1.09E-02	2.37E-06	[	1.32E-16	4.31E-11	3.28E-07	2.04E-06	]	3.11E-03	[	6.01E-24	7.40E-12	5.35E-05	1.07E-04	7.74E-04	9.46E-04	4.67E-04	4.68E-04	2.99E-04	]	7.79E-03	[	1.34E-21	1.75E-11	1.09E-03	6.69E-03	]	9.89E-01
1.71E+01	1.04E-02	2.07E-06	[	8.18E-17	3.17E-11	2.78E-07	1.80E-06	]	2.97E-03	[	3.03E-24	5.14E-12	4.76E-05	9.77E-05	7.28E-04	9.05E-04	4.50E-04	4.52E-04	2.90E-04	]	7.42E-03	[	7.16E-22	1.25E-11	1.01E-03	6.41E-03	]	9.90E-01
1.72E+01	9.90E-03	1.81E-06	[	5.06E-17	2.32E-11	2.35E-07	1.58E-06	]	2.83E-03	[	1.52E-24	3.56E-12	4.23E-05	8.95E-05	6.83E-04	8.64E-04	4.34E-04	4.37E-04	2.81E-04	]	7.07E-03	[	3.82E-22	8.93E-12	9.33E-04	6.13E-03	]	9.90E-01
1.73E+01	9.43E-03	1.58E-06	[	3.12E-17	1.69E-11	1.98E-07	1.39E-06	]	2.70E-03	[	7.64E-25	2.45E-12	3.75E-05	8.18E-05	6.41E-04	8.25E-04	4.17E-04	4.22E-04	2.73E-04	]	6.73E-03	[	2.03E-22	6.35E-12	8.61E-04	5.87E-03	]	9.91E-01
1.75E+01	8.98E-03	1.38E-06	[	1.91E-17	1.23E-11	1.67E-07	1.21E-06	]	2.57E-03	[	3.81E-25	1.68E-12	3.32E-05	7.47E-05	6.01E-04	7.86E-04	4.01E-04	4.08E-04	2.64E-04	]	6.41E-03	[	1.08E-22	4.50E-12	7.93E-04	5.62E-03	]	9.91E-01
1.76E+01	8.55E-03	1.20E-06	[	1.17E-17	8.95E-12	1.40E-07	1.06E-06	]	2.44E-03	[	1.89E-25	1.15E-12	2.93E-05	6.81E-05	5.64E-04	7.49E-04	3.85E-04	3.94E-04	2.56E-04	]	6.10E-03	[	5.67E-23	3.18E-12	7.30E-04	5.37E-03	]	9.91E-01
1.77E+01	8.14E-03	1.05E-06	[	7.13E-18	6.47E-12	1.17E-07	9.29E-07	]	2.33E-03	[	9.37E-26	7.85E-13	2.58E-05	6.20E-05	5.27E-04	7.12E-04	3.70E-04	3.80E-04	2.47E-04	]	5.81E-03	[	2.98E-23	2.24E-12	6.72E-04	5.14E-03	]	9.92E-01
1.78E+01	7.74E-03	9.09E-07	[	4.32E-18	4.66E-12	9.80E-08	8.11E-07	]	2.21E-03	[	4.62E-26	5.33E-13	2.27E-05	5.63E-05	4.93E-04	6.77E-04	3.55E-04	3.66E-04	2.39E-04	]	5.53E-03	[	1.56E-23	1.58E-12	6.18E-04	4.91E-03	]	9.92E-01
1.79E+01	7.36E-03	7.89E-07	[	2.61E-18	3.34E-12	8.18E-08	7.07E-07	]	2.10E-03	[	2.27E-26	3.61E-13	2.00E-05	5.11E-05	4.61E-04	6.43E-04	3.41E-04	3.53E-04	2.32E-04	]	5.26E-03	[	8.13E-24	1.11E-12	5.68E-04	4.69E-03	]	9.93E-01
