z [nm]	Overall	L		1	2	3	4		M		1	2	3	4	5	6	7	8	9		H		1	2	3	4		Solvent
1.13E+00	3.14E-02	1.86E-02	[	9.25E-03	2.39E-03	4.72E-03	2.24E-03	]	3.57E-03	[	2.65E-03	4.08E-04	3.37E-04	3.56E-05	5.37E-05	3.38E-05	1.53E-05	1.82E-05	1.53E-05	]	9.25E-03	[	5.98E-03	1.74E-03	1.24E-03	2.95E-04	]	9.69E-01
1.25E+00	3.31E-02	1.96E-02	[	9.50E-03	2.64E-03	5.03E-03	2.45E-03	]	3.72E-03	[	2.67E-03	4.73E-04	3.73E-04	4.07E-05	6.35E-05	3.87E-05	1.80E-05	2.12E-05	1.76E-05	]	9.71E-03	[	6.02E-03	1.90E-03	1.44E-03	3.48E-04	]	9.67E-01
1.36E+00	3.43E-02	2.04E-02	[	9.63E-03	2.85E-03	5.24E-03	2.64E-03	]	3.85E-03	[	2.67E-03	5.39E-04	4.05E-04	4.57E-05	7.37E-05	4.34E-05	2.07E-05	2.42E-05	1.98E-05	]	1.01E-02	[	5.99E-03	2.05E-03	1.63E-03	4.02E-04	]	9.66E-01
1.47E+00	3.51E-02	2.08E-02	[	9.63E-03	3.02E-03	5.38E-03	2.79E-03	]	3.95E-03	[	2.65E-03	6.05E-04	4.34E-04	5.04E-05	8.40E-05	4.80E-05	2.33E-05	2.73E-05	2.20E-05	]	1.04E-02	[	5.90E-03	2.17E-03	1.83E-03	4.58E-04	]	9.65E-01
1.59E+00	3.56E-02	2.10E-02	[	9.52E-03	3.16E-03	5.45E-03	2.90E-03	]	4.02E-03	[	2.61E-03	6.70E-04	4.60E-04	5.49E-05	9.44E-05	5.23E-05	2.60E-05	3.03E-05	2.41E-05	]	1.06E-02	[	5.75E-03	2.27E-03	2.02E-03	5.15E-04	]	9.64E-01
1.70E+00	3.58E-02	2.10E-02	[	9.31E-03	3.25E-03	5.46E-03	2.99E-03	]	4.08E-03	[	2.55E-03	7.35E-04	4.83E-04	5.91E-05	1.05E-04	5.64E-05	2.86E-05	3.31E-05	2.61E-05	]	1.07E-02	[	5.56E-03	2.35E-03	2.20E-03	5.72E-04	]	9.64E-01
1.81E+00	3.57E-02	2.08E-02	[	9.01E-03	3.31E-03	5.43E-03	3.04E-03	]	4.11E-03	[	2.48E-03	7.98E-04	5.04E-04	6.31E-05	1.15E-04	6.03E-05	3.10E-05	3.59E-05	2.79E-05	]	1.08E-02	[	5.34E-03	2.43E-03	2.38E-03	6.29E-04	]	9.64E-01
1.93E+00	3.54E-02	2.04E-02	[	8.64E-03	3.34E-03	5.37E-03	3.07E-03	]	4.13E-03	[	2.39E-03	8.59E-04	5.24E-04	6.67E-05	1.25E-04	6.40E-05	3.34E-05	3.85E-05	2.97E-05	]	1.08E-02	[	5.09E-03	2.49E-03	2.55E-03	6.85E-04	]	9.65E-01
2.04E+00	3.49E-02	1.99E-02	[	8.22E-03	3.35E-03	5.28E-03	3.08E-03	]	4.14E-03	[	2.30E-03	9.20E-04	5.44E-04	7.02E-05	1.35E-04	6.74E-05	3.57E-05	4.10E-05	3.13E-05	]	1.08E-02	[	4.82E-03	2.54E-03	2.71E-03	7.40E-04	]	9.65E-01
2.15E+00	3.43E-02	1.93E-02	[	7.76E-03	3.33E-03	5.17E-03	3.07E-03	]	4.14E-03	[	2.19E-03	9.79E-04	5.63E-04	7.34E-05	1.44E-04	7.07E-05	3.78E-05	4.33E-05	3.28E-05	]	1.08E-02	[	4.54E-03	2.59E-03	2.87E-03	7.94E-04	]	9.66E-01
2.27E+00	3.35E-02	1.87E-02	[	7.27E-03	3.29E-03	5.05E-03	3.04E-03	]	4.12E-03	[	2.08E-03	1.04E-03	5.83E-04	7.64E-05	1.53E-04	7.39E-05	3.98E-05	4.55E-05	3.42E-05	]	1.08E-02	[	4.26E-03	2.63E-03	3.02E-03	8.47E-04	]	9.66E-01
2.38E+00	3.28E-02	1.79E-02	[	6.77E-03	3.24E-03	4.93E-03	3.01E-03	]	4.11E-03	[	1.97E-03	1.09E-03	6.04E-04	7.92E-05	1.62E-04	7.69E-05	4.16E-05	4.75E-05	3.54E-05	]	1.07E-02	[	3.98E-03	2.67E-03	3.17E-03	8.99E-04	]	9.67E-01
2.49E+00	3.20E-02	1.72E-02	[	6.27E-03	3.17E-03	4.81E-03	2.96E-03	]	4.09E-03	[	1.85E-03	1.15E-03	6.26E-04	8.19E-05	1.70E-04	7.98E-05	4.34E-05	4.94E-05	3.66E-05	]	1.07E-02	[	3.71E-03	2.71E-03	3.31E-03	9.50E-04	]	9.68E-01
2.61E+00	3.12E-02	1.65E-02	[	5.78E-03	3.10E-03	4.69E-03	2.91E-03	]	4.07E-03	[	1.74E-03	1.20E-03	6.50E-04	8.45E-05	1.79E-04	8.26E-05	4.50E-05	5.12E-05	3.77E-05	]	1.06E-02	[	3.45E-03	2.75E-03	3.45E-03	9.99E-04	]	9.69E-01
2.72E+00	3.04E-02	1.58E-02	[	5.31E-03	3.02E-03	4.58E-03	2.85E-03	]	4.05E-03	[	1.63E-03	1.25E-03	6.76E-04	8.71E-05	1.86E-04	8.53E-05	4.65E-05	5.29E-05	3.88E-05	]	1.06E-02	[	3.20E-03	2.78E-03	3.59E-03	1.05E-03	]	9.70E-01
