 0.000e+00       -nan       -nan [       -nan 0.0000e+00 0.0000e+00 0.0000e+00 ]       -nan [       -nan       -nan       -nan       -nan       -nan       -nan       -nan ] 5.4216e-01
 1.133e-01       -nan        inf [        inf 9.3190e-13 1.6999e-12 6.4833e-09 ]       -nan [       -nan       -nan       -nan       -nan       -nan       -nan       -nan ] 5.8837e-01
 2.267e-01       -nan       -nan [       -nan 1.3256e-11 2.3338e-11 2.7844e-08 ]       -nan [       -nan       -nan       -nan       -nan       -nan       -nan       -nan ] 7.1555e-01
 3.400e-01       -nan       -nan [       -nan 1.5889e-10 2.6836e-10 1.1147e-07 ]       -nan [       -nan       -nan       -nan       -nan       -nan       -nan       -nan ] 9.9159e-01
 4.533e-01       -nan       -nan [       -nan 1.7832e-09 2.8845e-09 5.1253e-07 ]       -nan [       -nan       -nan       -nan       -nan       -nan       -nan       -nan ] 1.6940e+00
 5.667e-01       -nan       -nan [       -nan 1.7932e-08 2.7747e-08 2.8298e-06 ]       -nan [       -nan       -nan       -nan       -nan       -nan       -nan       -nan ] 3.8722e+00
 6.800e-01       -nan       -nan [       -nan 1.4489e-07 2.1413e-07 1.5951e-05 ]       -nan [       -nan       -nan       -nan       -nan       -nan       -nan       -nan ] 1.1420e+01
 7.933e-01       -nan       -nan [       -nan 7.5928e-07 1.0702e-06 6.5709e-05 ]       -nan [       -nan       -nan       -nan       -nan       -nan       -nan       -nan ] 2.6944e+01
 9.067e-01       -nan       -nan [       -nan 1.8063e-06 2.4373e-06 1.2773e-04 ]       -nan [       -nan       -nan       -nan       -nan       -nan       -nan       -nan ] 1.7740e+01
 1.020e+00       -nan       -nan [       -nan 1.5553e-06 2.0620e-06 9.0008e-05 ]       -nan [       -nan       -nan       -nan       -nan       -nan       -nan       -nan ] 3.1437e+00
 1.133e+00       -nan       -nan [       -nan 1.0831e-06 1.4727e-06 4.5103e-05 ]       -nan [       -nan       -nan       -nan       -nan       -nan       -nan       -nan ] 1.8997e+00
 1.247e+00       -nan       -nan [       -nan 1.9347e-06 2.7078e-06 4.4458e-05 ]       -nan [       -nan       -nan       -nan       -nan       -nan       -nan       -nan ] 1.0765e+01
 1.360e+00       -nan       -nan [       -nan 7.1092e-06 9.8708e-06 8.8719e-05 ]       -nan [       -nan       -nan       -nan       -nan       -nan       -nan       -nan ] 7.8781e+01
 1.473e+00       -nan       -nan [       -nan 2.7095e-05 3.6365e-05 2.0451e-04 ]       -nan [       -nan       -nan       -nan       -nan       -nan       -nan       -nan ] 2.2479e+02
 1.587e+00       -nan       -nan [       -nan 8.9345e-05 1.1432e-04 4.2306e-04 ]       -nan [       -nan       -nan       -nan       -nan       -nan       -nan       -nan ] 2.5295e+02
