 1.473e+00 2.8614e-02 1.5260e-02 [ 9.5902e-03 1.6299e-03 2.1936e-03 1.8464e-03 ] 1.9153e-03 [ 1.9062e-03 8.4162e-06 1.9768e-07 7.4609e-08 1.5248e-07 5.3738e-08 1.0256e-07 1.2491e-07 6.2210e-08 ] 1.1439e-02 [ 2.0622e-03 7.9202e-04 8.7321e-04 7.7116e-03 ] 9.7139e-01
 1.587e+00 2.9978e-02 1.5523e-02 [ 9.5946e-03 1.7319e-03 2.2536e-03 1.9428e-03 ] 1.9243e-03 [ 1.9130e-03 1.0422e-05 2.0948e-07 8.1950e-08 1.7396e-07 6.1017e-08 1.1333e-07 1.4058e-07 6.8808e-08 ] 1.2531e-02 [ 1.9765e-03 8.1818e-04 9.5068e-04 8.7858e-03 ] 9.7002e-01
 1.700e+00 3.1184e-02 1.5646e-02 [ 9.5210e-03 1.8164e-03 2.2883e-03 2.0199e-03 ] 1.9318e-03 [ 1.9180e-03 1.2807e-05 2.1983e-07 8.8971e-08 1.9599e-07 6.8428e-08 1.2382e-07 1.5630e-07 7.5298e-08 ] 1.3606e-02 [ 1.8711e-03 8.3400e-04 1.0210e-03 9.8801e-03 ] 9.6882e-01
 1.813e+00 3.2234e-02 1.5641e-02 [ 9.3759e-03 1.8841e-03 2.3020e-03 2.0789e-03 ] 1.9377e-03 [ 1.9211e-03 1.5632e-05 2.2896e-07 9.5637e-08 2.1833e-07 7.5897e-08 1.3399e-07 1.7190e-07 8.1635e-08 ] 1.4655e-02 [ 1.7511e-03 8.4053e-04 1.0833e-03 1.0980e-02 ] 9.6777e-01
 1.927e+00 3.3134e-02 1.5523e-02 [ 9.1670e-03 1.9358e-03 2.2988e-03 2.1214e-03 ] 1.9422e-03 [ 1.9222e-03 1.8960e-05 2.3716e-07 1.0193e-07 2.4076e-07 8.3353e-08 1.4381e-07 1.8725e-07 8.7778e-08 ] 1.5669e-02 [ 1.6212e-03 8.3894e-04 1.1370e-03 1.2071e-02 ] 9.6687e-01
 2.040e+00 3.3891e-02 1.5308e-02 [ 8.9030e-03 1.9728e-03 2.2826e-03 2.1492e-03 ] 1.9453e-03 [ 1.9213e-03 2.2864e-05 2.4471e-07 1.0786e-07 2.6306e-07 9.0731e-08 1.5325e-07 2.0224e-07 9.3696e-08 ] 1.6638e-02 [ 1.4858e-03 8.3044e-04 1.1818e-03 1.3140e-02 ] 9.6611e-01
 2.153e+00 3.4511e-02 1.5011e-02 [ 8.5928e-03 1.9968e-03 2.2570e-03 2.1643e-03 ] 1.9470e-03 [ 1.9184e-03 2.7417e-05 2.5188e-07 1.1343e-07 2.8503e-07 9.7969e-08 1.6232e-07 2.1675e-07 9.9366e-08 ] 1.7553e-02 [ 1.3489e-03 8.1618e-04 1.2175e-03 1.4171e-02 ] 9.6549e-01
 2.267e+00 3.5002e-02 1.4648e-02 [ 8.2457e-03 2.0094e-03 2.2249e-03 2.1685e-03 ] 1.9474e-03 [ 1.9134e-03 3.2701e-05 2.5894e-07 1.1865e-07 3.0648e-07 1.0501e-07 1.7100e-07 2.3071e-07 1.0477e-07 ] 1.8406e-02 [ 1.2138e-03 7.9720e-04 1.2443e-03 1.5151e-02 ] 9.6500e-01
 2.380e+00 3.5371e-02 1.4236e-02 [ 7.8709e-03 2.0120e-03 2.1888e-03 2.1637e-03 ] 1.9464e-03 [ 1.9062e-03 3.8798e-05 2.6612e-07 1.2356e-07 3.2723e-07 1.1182e-07 1.7932e-07 2.4405e-07 1.0990e-07 ] 1.9189e-02 [ 1.0832e-03 7.7444e-04 1.2622e-03 1.6069e-02 ] 9.6463e-01
 2.493e+00 3.5624e-02 1.3786e-02 [ 7.4771e-03 2.0064e-03 2.1508e-03 2.1516e-03 ] 1.9441e-03 [ 1.8969e-03 4.5794e-05 2.7367e-07 1.2818e-07 3.4715e-07 1.1834e-07 1.8727e-07 2.5670e-07 1.1475e-07 ] 1.9894e-02 [ 9.5917e-04 7.4872e-04 1.2718e-03 1.6914e-02 ] 9.6438e-01
 2.607e+00 3.5766e-02 1.3312e-02 [ 7.0723e-03 1.9938e-03 2.1124e-03 2.1336e-03 ] 1.9405e-03 [ 1.8853e-03 5.3772e-05 2.8176e-07 1.3254e-07 3.6611e-07 1.2454e-07 1.9486e-07 2.6864e-07 1.1931e-07 ] 2.0513e-02 [ 8.4321e-04 7.2070e-04 1.2733e-03 1.7676e-02 ] 9.6423e-01
 2.720e+00 3.5802e-02 1.2825e-02 [ 6.6636e-03 1.9757e-03 2.0746e-03 2.1111e-03 ] 1.9357e-03 [ 1.8713e-03 6.2818e-05 2.9060e-07 1.3668e-07 3.8403e-07 1.3039e-07 2.0210e-07 2.7983e-07 1.2361e-07 ] 2.1042e-02 [ 7.3625e-04 6.9098e-04 1.2673e-03 1.8347e-02 ] 9.6420e-01
 2.833e+00 3.5739e-02 1.2334e-02 [ 6.2571e-03 1.9530e-03 2.0382e-03 2.0852e-03 ] 1.9297e-03 [ 1.8550e-03 7.3014e-05 3.0034e-07 1.4062e-07 4.0085e-07 1.3588e-07 2.0900e-07 2.9027e-07 1.2764e-07 ] 2.1476e-02 [ 6.3878e-04 6.6002e-04 1.2543e-03 1.8922e-02 ] 9.6426e-01
