[ 1.1038e+00 1.1038e+00 1.1038e+00 1.1038e+00 1.1038e+00 ] -1.00000e+00 9.99998e-01 -1.88459e+00
[ 1.0282e+00 1.0282e+00 1.0282e+00 1.0282e+00 1.0282e+00 ] -9.53813e-01 1.01475e+00 -1.88459e+00
[ 9.6036e-01 9.6036e-01 9.6036e-01 9.6036e-01 9.6036e-01 ] -9.08174e-01 1.02662e+00 -1.88854e+00
[ 9.1026e-01 9.1026e-01 9.1026e-01 9.1026e-01 9.1026e-01 ] -8.70728e-01 1.03444e+00 -1.89600e+00
[ 8.6570e-01 8.6570e-01 8.6570e-01 8.6570e-01 8.6570e-01 ] -8.34017e-01 1.04049e+00 -1.90663e+00
[ 8.2276e-01 8.2276e-01 8.2276e-01 8.2276e-01 8.2276e-01 ] -7.95134e-01 1.04521e+00 -1.92013e+00
[ 7.7887e-01 7.7887e-01 7.7887e-01 7.7887e-01 7.7887e-01 ] -7.51473e-01 1.04855e+00 -1.93621e+00
[ 7.3269e-01 7.3269e-01 7.3269e-01 7.3269e-01 7.3269e-01 ] -7.00656e-01 1.04990e+00 -1.95458e+00
[ 6.8422e-01 6.8422e-01 6.8422e-01 6.8422e-01 6.8422e-01 ] -6.40622e-01 1.04818e+00 -1.97489e+00
[ 6.3497e-01 6.3497e-01 6.3497e-01 6.3497e-01 6.3497e-01 ] -5.69869e-01 1.04181e+00 -1.99678e+00
[ 5.8794e-01 5.8794e-01 5.8794e-01 5.8794e-01 5.8794e-01 ] -4.87870e-01 1.02894e+00 -2.01983e+00
[ 5.4710e-01 5.4710e-01 5.4710e-01 5.4710e-01 5.4710e-01 ] -3.95566e-01 1.00796e+00 -2.04361e+00
[ 5.1640e-01 5.1640e-01 5.1640e-01 5.1640e-01 5.1640e-01 ] -2.95771e-01 9.78224e-01 -2.06766e+00
[ 4.9837e-01 4.9837e-01 4.9837e-01 4.9837e-01 4.9837e-01 ] -1.93199e-01 9.40730e-01 -2.09155e+00
[ 4.9310e-01 4.9310e-01 4.9310e-01 4.9310e-01 4.9310e-01 ] -9.38322e-02 8.98350e-01 -2.11489e+00
[ 4.9818e-01 4.9818e-01 4.9818e-01 4.9818e-01 4.9818e-01 ] -3.67559e-03 8.55220e-01 -2.13733e+00
[ 5.0977e-01 5.0977e-01 5.0977e-01 5.0977e-01 5.0977e-01 ] 7.26745e-02 8.15509e-01 -2.15864e+00
[ 5.2402e-01 5.2402e-01 5.2402e-01 5.2402e-01 5.2402e-01 ] 1.32951e-01 7.82246e-01 -2.17865e+00
[ 5.3808e-01 5.3808e-01 5.3808e-01 5.3808e-01 5.3808e-01 ] 1.77257e-01 7.56783e-01 -2.19725e+00
[ 5.5039e-01 5.5039e-01 5.5039e-01 5.5039e-01 5.5039e-01 ] 2.07392e-01 7.38994e-01 -2.21441e+00
[ 5.6040e-01 5.6040e-01 5.6040e-01 5.6040e-01 5.6040e-01 ] 2.25971e-01 7.27844e-01 -2.23014e+00
[ 5.6819e-01 5.6819e-01 5.6819e-01 5.6819e-01 5.6819e-01 ] 2.35698e-01 7.21951e-01 -2.24448e+00
[ 5.7411e-01 5.7411e-01 5.7411e-01 5.7411e-01 5.7411e-01 ] 2.38968e-01 7.19962e-01 -2.25750e+00
[ 5.7854e-01 5.7854e-01 5.7854e-01 5.7854e-01 5.7854e-01 ] 2.37708e-01 7.20728e-01 -2.26926e+00
[ 5.8185e-01 5.8185e-01 5.8185e-01 5.8185e-01 5.8185e-01 ] 2.33388e-01 7.23353e-01 -2.27986e+00
[ 5.8433e-01 5.8433e-01 5.8433e-01 5.8433e-01 5.8433e-01 ] 2.27085e-01 7.27169e-01 -2.28937e+00
[ 5.8619e-01 5.8619e-01 5.8619e-01 5.8619e-01 5.8619e-01 ] 2.19570e-01 7.31699e-01 -2.29789e+00
[ 5.8760e-01 5.8760e-01 5.8760e-01 5.8760e-01 5.8760e-01 ] 2.11388e-01 7.36606e-01 -2.30549e+00
[ 5.8868e-01 5.8868e-01 5.8868e-01 5.8868e-01 5.8868e-01 ] 2.02915e-01 7.41658e-01 -2.31226e+00
[ 5.8950e-01 5.8950e-01 5.8950e-01 5.8950e-01 5.8950e-01 ] 1.94413e-01 7.46698e-01 -2.31827e+00
[ 5.9014e-01 5.9014e-01 5.9014e-01 5.9014e-01 5.9014e-01 ] 1.86057e-01 7.51623e-01 -2.32360e+00
[ 5.9063e-01 5.9063e-01 5.9063e-01 5.9063e-01 5.9063e-01 ] 1.77965e-01 7.56366e-01 -2.32830e+00
[ 5.9100e-01 5.9100e-01 5.9100e-01 5.9100e-01 5.9100e-01 ] 1.70211e-01 7.60884e-01 -2.33244e+00
[ 5.9128e-01 5.9128e-01 5.9128e-01 5.9128e-01 5.9128e-01 ] 1.62841e-01 7.65156e-01 -2.33607e+00
[ 5.9149e-01 5.9149e-01 5.9149e-01 5.9149e-01 5.9149e-01 ] 1.55881e-01 7.69168e-01 -2.33926e+00
[ 5.9163e-01 5.9163e-01 5.9163e-01 5.9163e-01 5.9163e-01 ] 1.49340e-01 7.72921e-01 -2.34203e+00
[ 5.9173e-01 5.9173e-01 5.9173e-01 5.9173e-01 5.9173e-01 ] 1.43219e-01 7.76416e-01 -2.34444e+00
[ 5.9178e-01 5.9178e-01 5.9178e-01 5.9178e-01 5.9178e-01 ] 1.37508e-01 7.79662e-01 -2.34653e+00
[ 5.9180e-01 5.9180e-01 5.9180e-01 5.9180e-01 5.9180e-01 ] 1.32196e-01 7.82669e-01 -2.34832e+00
[ 5.9178e-01 5.9178e-01 5.9178e-01 5.9178e-01 5.9178e-01 ] 1.27266e-01 7.85448e-01 -2.34986e+00
[ 5.9174e-01 5.9174e-01 5.9174e-01 5.9174e-01 5.9174e-01 ] 1.22700e-01 7.88014e-01 -2.35116e+00
[ 5.9168e-01 5.9168e-01 5.9168e-01 5.9168e-01 5.9168e-01 ] 1.18476e-01 7.90378e-01 -2.35227e+00
[ 5.9159e-01 5.9159e-01 5.9159e-01 5.9159e-01 5.9159e-01 ] 1.14575e-01 7.92555e-01 -2.35319e+00
[ 5.9149e-01 5.9149e-01 5.9149e-01 5.9149e-01 5.9149e-01 ] 1.10975e-01 7.94558e-01 -2.35395e+00
[ 5.9138e-01 5.9138e-01 5.9138e-01 5.9138e-01 5.9138e-01 ] 1.07655e-01 7.96400e-01 -2.35457e+00
[ 5.9125e-01 5.9125e-01 5.9125e-01 5.9125e-01 5.9125e-01 ] 1.04593e-01 7.98094e-01 -2.35507e+00
[ 5.9111e-01 5.9111e-01 5.9111e-01 5.9111e-01 5.9111e-01 ] 1.01771e-01 7.99652e-01 -2.35545e+00
[ 5.9096e-01 5.9096e-01 5.9096e-01 5.9096e-01 5.9096e-01 ] 9.91674e-02 8.01086e-01 -2.35574e+00
[ 5.9080e-01 5.9080e-01 5.9080e-01 5.9080e-01 5.9080e-01 ] 9.67643e-02 8.02407e-01 -2.35594e+00
[ 5.9064e-01 5.9064e-01 5.9064e-01 5.9064e-01 5.9064e-01 ] 9.45438e-02 8.03626e-01 -2.35607e+00
[ 5.9047e-01 5.9047e-01 5.9047e-01 5.9047e-01 5.9047e-01 ] 9.24888e-02 8.04751e-01 -2.35614e+00
[ 5.9029e-01 5.9029e-01 5.9029e-01 5.9029e-01 5.9029e-01 ] 9.05836e-02 8.05793e-01 -2.35614e+00
[ 5.9011e-01 5.9011e-01 5.9011e-01 5.9011e-01 5.9011e-01 ] 8.88133e-02 8.06760e-01 -2.35609e+00
[ 5.8992e-01 5.8992e-01 5.8992e-01 5.8992e-01 5.8992e-01 ] 8.71638e-02 8.07659e-01 -2.35600e+00
[ 5.8973e-01 5.8973e-01 5.8973e-01 5.8973e-01 5.8973e-01 ] 8.56223e-02 8.08498e-01 -2.35587e+00
[ 5.8954e-01 5.8954e-01 5.8954e-01 5.8954e-01 5.8954e-01 ] 8.41768e-02 8.09284e-01 -2.35571e+00
[ 5.8935e-01 5.8935e-01 5.8935e-01 5.8935e-01 5.8935e-01 ] 8.28164e-02 8.10023e-01 -2.35551e+00
[ 5.8915e-01 5.8915e-01 5.8915e-01 5.8915e-01 5.8915e-01 ] 8.15307e-02 8.10721e-01 -2.35529e+00
[ 5.8895e-01 5.8895e-01 5.8895e-01 5.8895e-01 5.8895e-01 ] 8.03107e-02 8.11382e-01 -2.35505e+00
[ 5.8875e-01 5.8875e-01 5.8875e-01 5.8875e-01 5.8875e-01 ] 7.91478e-02 8.12012e-01 -2.35478e+00
[ 5.8854e-01 5.8854e-01 5.8854e-01 5.8854e-01 5.8854e-01 ] 7.80342e-02 8.12614e-01 -2.35450e+00
[ 5.8833e-01 5.8833e-01 5.8833e-01 5.8833e-01 5.8833e-01 ] 7.69632e-02 8.13193e-01 -2.35420e+00
[ 5.8812e-01 5.8812e-01 5.8812e-01 5.8812e-01 5.8812e-01 ] 7.59283e-02 8.13752e-01 -2.35388e+00
[ 5.8791e-01 5.8791e-01 5.8791e-01 5.8791e-01 5.8791e-01 ] 7.49239e-02 8.14294e-01 -2.35355e+00
[ 5.8770e-01 5.8770e-01 5.8770e-01 5.8770e-01 5.8770e-01 ] 7.39450e-02 8.14821e-01 -2.35321e+00
[ 5.8749e-01 5.8749e-01 5.8749e-01 5.8749e-01 5.8749e-01 ] 7.29871e-02 8.15337e-01 -2.35286e+00
[ 5.8727e-01 5.8727e-01 5.8727e-01 5.8727e-01 5.8727e-01 ] 7.20463e-02 8.15843e-01 -2.35250e+00
[ 5.8705e-01 5.8705e-01 5.8705e-01 5.8705e-01 5.8705e-01 ] 7.11191e-02 8.16342e-01 -2.35213e+00
[ 5.8683e-01 5.8683e-01 5.8683e-01 5.8683e-01 5.8683e-01 ] 7.02026e-02 8.16834e-01 -2.35175e+00
[ 5.8661e-01 5.8661e-01 5.8661e-01 5.8661e-01 5.8661e-01 ] 6.92942e-02 8.17322e-01 -2.35137e+00
[ 5.8639e-01 5.8639e-01 5.8639e-01 5.8639e-01 5.8639e-01 ] 6.83919e-02 8.17806e-01 -2.35098e+00
[ 5.8617e-01 5.8617e-01 5.8617e-01 5.8617e-01 5.8617e-01 ] 6.74941e-02 8.18287e-01 -2.35058e+00
[ 5.8594e-01 5.8594e-01 5.8594e-01 5.8594e-01 5.8594e-01 ] 6.65994e-02 8.18766e-01 -2.35018e+00
[ 5.8572e-01 5.8572e-01 5.8572e-01 5.8572e-01 5.8572e-01 ] 6.57071e-02 8.19244e-01 -2.34977e+00
[ 5.8549e-01 5.8549e-01 5.8549e-01 5.8549e-01 5.8549e-01 ] 6.48169e-02 8.19720e-01 -2.34936e+00
[ 5.8526e-01 5.8526e-01 5.8526e-01 5.8526e-01 5.8526e-01 ] 6.39287e-02 8.20195e-01 -2.34894e+00
[ 5.8503e-01 5.8503e-01 5.8503e-01 5.8503e-01 5.8503e-01 ] 6.30432e-02 8.20667e-01 -2.34852e+00
[ 5.8480e-01 5.8480e-01 5.8480e-01 5.8480e-01 5.8480e-01 ] 6.21613e-02 8.21138e-01 -2.34809e+00
[ 5.8457e-01 5.8457e-01 5.8457e-01 5.8457e-01 5.8457e-01 ] 6.12847e-02 8.21605e-01 -2.34766e+00
[ 5.8434e-01 5.8434e-01 5.8434e-01 5.8434e-01 5.8434e-01 ] 6.04153e-02 8.22069e-01 -2.34723e+00
