 0.000e+00 0.0000e+00 0.0000e+00 [ 0.0000e+00 ] 1.0000e+00
 1.133e-01 5.4065e-02 5.4065e-02 [ 5.4065e-02 ] 9.4594e-01
 2.267e-01 1.0158e-01 1.0158e-01 [ 1.0158e-01 ] 8.9842e-01
 3.400e-01 1.4564e-01 1.4564e-01 [ 1.4564e-01 ] 8.5436e-01
 4.533e-01 1.8644e-01 1.8644e-01 [ 1.8644e-01 ] 8.1356e-01
 5.667e-01 2.2433e-01 2.2433e-01 [ 2.2433e-01 ] 7.7567e-01
 6.800e-01 2.5945e-01 2.5945e-01 [ 2.5945e-01 ] 7.4055e-01
 7.933e-01 2.9177e-01 2.9177e-01 [ 2.9177e-01 ] 7.0823e-01
 9.067e-01 3.2123e-01 3.2123e-01 [ 3.2123e-01 ] 6.7877e-01
 1.020e+00 3.4776e-01 3.4776e-01 [ 3.4776e-01 ] 6.5224e-01
 1.133e+00 3.7135e-01 3.7135e-01 [ 3.7135e-01 ] 6.2865e-01
 1.247e+00 3.9204e-01 3.9204e-01 [ 3.9204e-01 ] 6.0796e-01
 1.360e+00 4.0995e-01 4.0995e-01 [ 4.0995e-01 ] 5.9005e-01
 1.473e+00 4.2525e-01 4.2525e-01 [ 4.2525e-01 ] 5.7475e-01
 1.587e+00 4.3815e-01 4.3815e-01 [ 4.3815e-01 ] 5.6185e-01
 1.700e+00 4.4890e-01 4.4890e-01 [ 4.4890e-01 ] 5.5110e-01
 1.813e+00 4.5774e-01 4.5774e-01 [ 4.5774e-01 ] 5.4226e-01
 1.927e+00 4.6492e-01 4.6492e-01 [ 4.6492e-01 ] 5.3508e-01
 2.040e+00 4.7069e-01 4.7069e-01 [ 4.7069e-01 ] 5.2931e-01
 2.153e+00 4.7525e-01 4.7525e-01 [ 4.7525e-01 ] 5.2475e-01
 2.267e+00 4.7879e-01 4.7879e-01 [ 4.7879e-01 ] 5.2121e-01
 2.380e+00 4.8149e-01 4.8149e-01 [ 4.8149e-01 ] 5.1851e-01
 2.493e+00 4.8349e-01 4.8349e-01 [ 4.8349e-01 ] 5.1651e-01
 2.607e+00 4.8491e-01 4.8491e-01 [ 4.8491e-01 ] 5.1509e-01
 2.720e+00 4.8586e-01 4.8586e-01 [ 4.8586e-01 ] 5.1414e-01
 2.833e+00 4.8643e-01 4.8643e-01 [ 4.8643e-01 ] 5.1357e-01
 2.947e+00 4.8669e-01 4.8669e-01 [ 4.8669e-01 ] 5.1331e-01
 3.060e+00 4.8671e-01 4.8671e-01 [ 4.8671e-01 ] 5.1329e-01
 3.173e+00 4.8652e-01 4.8652e-01 [ 4.8652e-01 ] 5.1348e-01
 3.287e+00 4.8618e-01 4.8618e-01 [ 4.8618e-01 ] 5.1382e-01
 3.400e+00 4.8572e-01 4.8572e-01 [ 4.8572e-01 ] 5.1428e-01
 3.513e+00 4.8517e-01 4.8517e-01 [ 4.8517e-01 ] 5.1483e-01
 3.627e+00 4.8454e-01 4.8454e-01 [ 4.8454e-01 ] 5.1546e-01
 3.740e+00 4.8387e-01 4.8387e-01 [ 4.8387e-01 ] 5.1613e-01
 3.853e+00 4.8315e-01 4.8315e-01 [ 4.8315e-01 ] 5.1685e-01
 3.967e+00 4.8241e-01 4.8241e-01 [ 4.8241e-01 ] 5.1759e-01
 4.080e+00 4.8166e-01 4.8166e-01 [ 4.8166e-01 ] 5.1834e-01
 4.193e+00 4.8090e-01 4.8090e-01 [ 4.8090e-01 ] 5.1910e-01
 4.307e+00 4.8014e-01 4.8014e-01 [ 4.8014e-01 ] 5.1986e-01
 4.420e+00 4.7939e-01 4.7939e-01 [ 4.7939e-01 ] 5.2061e-01
 4.533e+00 4.7865e-01 4.7865e-01 [ 4.7865e-01 ] 5.2135e-01
 4.647e+00 4.7791e-01 4.7791e-01 [ 4.7791e-01 ] 5.2209e-01
 4.760e+00 4.7719e-01 4.7719e-01 [ 4.7719e-01 ] 5.2281e-01
 4.873e+00 4.7649e-01 4.7649e-01 [ 4.7649e-01 ] 5.2351e-01
 4.987e+00 4.7580e-01 4.7580e-01 [ 4.7580e-01 ] 5.2420e-01
 5.100e+00 4.7514e-01 4.7514e-01 [ 4.7514e-01 ] 5.2486e-01
 5.213e+00 4.7448e-01 4.7448e-01 [ 4.7448e-01 ] 5.2552e-01
 5.327e+00 4.7385e-01 4.7385e-01 [ 4.7385e-01 ] 5.2615e-01
 5.440e+00 4.7324e-01 4.7324e-01 [ 4.7324e-01 ] 5.2676e-01
 5.553e+00 4.7264e-01 4.7264e-01 [ 4.7264e-01 ] 5.2736e-01
 5.667e+00 4.7206e-01 4.7206e-01 [ 4.7206e-01 ] 5.2794e-01
 5.780e+00 4.7150e-01 4.7150e-01 [ 4.7150e-01 ] 5.2850e-01
 5.893e+00 4.7095e-01 4.7095e-01 [ 4.7095e-01 ] 5.2905e-01
 6.007e+00 4.7042e-01 4.7042e-01 [ 4.7042e-01 ] 5.2958e-01
 6.120e+00 4.6991e-01 4.6991e-01 [ 4.6991e-01 ] 5.3009e-01
 6.233e+00 4.6940e-01 4.6940e-01 [ 4.6940e-01 ] 5.3060e-01
 6.347e+00 4.6892e-01 4.6892e-01 [ 4.6892e-01 ] 5.3108e-01
 6.460e+00 4.6844e-01 4.6844e-01 [ 4.6844e-01 ] 5.3156e-01
 6.573e+00 4.6798e-01 4.6798e-01 [ 4.6798e-01 ] 5.3202e-01
 6.687e+00 4.6752e-01 4.6752e-01 [ 4.6752e-01 ] 5.3248e-01
 6.800e+00 4.6708e-01 4.6708e-01 [ 4.6708e-01 ] 5.3292e-01
 6.913e+00 4.6665e-01 4.6665e-01 [ 4.6665e-01 ] 5.3335e-01
 7.027e+00 4.6623e-01 4.6623e-01 [ 4.6623e-01 ] 5.3377e-01
 7.140e+00 4.6581e-01 4.6581e-01 [ 4.6581e-01 ] 5.3419e-01
 7.253e+00 4.6541e-01 4.6541e-01 [ 4.6541e-01 ] 5.3459e-01
 7.367e+00 4.6501e-01 4.6501e-01 [ 4.6501e-01 ] 5.3499e-01
 7.480e+00 4.6461e-01 4.6461e-01 [ 4.6461e-01 ] 5.3539e-01
 7.593e+00 4.6423e-01 4.6423e-01 [ 4.6423e-01 ] 5.3577e-01
