100 1.44543e+00 1.69725e+00 -1.80699e+00 9.58414e+00 -1.13911e+01 2.45880e+00 2.63915e-07 3.75494e-04 2.33486e-02
200 1.44540e+00 1.69723e+00 -1.80700e+00 9.58406e+00 -1.13911e+01 2.45879e+00 1.28985e-07 6.53524e-04 2.28054e-02
300 1.44531e+00 1.69718e+00 -1.80706e+00 9.58398e+00 -1.13910e+01 2.45881e+00 1.11492e-06 2.29320e-03 1.88683e-02
400 1.44539e+00 1.69719e+00 -1.80700e+00 9.58414e+00 -1.13911e+01 2.45882e+00 1.84289e-07 2.67568e-04 1.64481e-02
500 1.44539e+00 1.69719e+00 -1.80700e+00 9.58418e+00 -1.13912e+01 2.45883e+00 8.29127e-08 1.78382e-04 1.81803e-02
600 1.44540e+00 1.69719e+00 -1.80700e+00 9.58420e+00 -1.13912e+01 2.45883e+00 3.01701e-08 3.72851e-05 1.71955e-02
700 1.44540e+00 1.69719e+00 -1.80701e+00 9.58421e+00 -1.13912e+01 2.45883e+00 3.76666e-08 4.13052e-05 1.71497e-02
800 1.44540e+00 1.69719e+00 -1.80701e+00 9.58421e+00 -1.13912e+01 2.45884e+00 9.97256e-09 1.21662e-05 1.64839e-02
900 1.44540e+00 1.69719e+00 -1.80701e+00 9.58421e+00 -1.13912e+01 2.45884e+00 2.90463e-08 2.60920e-05 1.54943e-02
1000 1.44540e+00 1.69719e+00 -1.80701e+00 9.58422e+00 -1.13912e+01 2.45884e+00 3.99093e-09 9.01030e-06 1.50123e-02
1100 1.44540e+00 1.69718e+00 -1.80701e+00 9.58422e+00 -1.13912e+01 2.45885e+00 1.75305e-08 2.02285e-05 1.37513e-02
1200 1.44540e+00 1.69718e+00 -1.80700e+00 9.58422e+00 -1.13912e+01 2.45885e+00 6.75943e-10 7.80456e-06 1.33795e-02
1300 1.44540e+00 1.69717e+00 -1.80700e+00 9.58422e+00 -1.13912e+01 2.45885e+00 1.06603e-08 1.79567e-05 1.21637e-02
1400 1.44540e+00 1.69717e+00 -1.80700e+00 9.58422e+00 -1.13912e+01 2.45885e+00 1.47495e-09 7.62134e-06 1.18615e-02
1500 1.44540e+00 1.69716e+00 -1.80699e+00 9.58422e+00 -1.13912e+01 2.45886e+00 5.53202e-09 1.78309e-05 1.07827e-02
1600 1.44540e+00 1.69715e+00 -1.80699e+00 9.58422e+00 -1.13912e+01 2.45886e+00 3.19722e-09 7.43535e-06 1.05290e-02
