[ -5.6046e-01 -5.6046e-01 ] -6.70222e-01 7.40302e-01 0.00000e+00
[ -5.6449e-01 -5.6449e-01 ] -6.76503e-01 7.45465e-01 0.00000e+00
[ -5.7140e-01 -5.7140e-01 ] -6.87335e-01 7.54334e-01 0.00000e+00
[ -5.7939e-01 -5.7939e-01 ] -6.99955e-01 7.64641e-01 0.00000e+00
[ -5.8675e-01 -5.8675e-01 ] -7.11670e-01 7.74183e-01 0.00000e+00
[ -5.9244e-01 -5.9244e-01 ] -7.20769e-01 7.81579e-01 0.00000e+00
[ -5.9622e-01 -5.9622e-01 ] -7.26837e-01 7.86505e-01 0.00000e+00
[ -5.9846e-01 -5.9846e-01 ] -7.30440e-01 7.89431e-01 0.00000e+00
[ -5.9977e-01 -5.9977e-01 ] -7.32529e-01 7.91130e-01 0.00000e+00
[ -6.0065e-01 -6.0065e-01 ] -7.33950e-01 7.92287e-01 0.00000e+00
[ -6.0146e-01 -6.0146e-01 ] -7.35237e-01 7.93334e-01 0.00000e+00
[ -6.0233e-01 -6.0233e-01 ] -7.36632e-01 7.94469e-01 0.00000e+00
[ -6.0330e-01 -6.0330e-01 ] -7.38199e-01 7.95741e-01 0.00000e+00
[ -6.0437e-01 -6.0437e-01 ] -7.39926e-01 7.97140e-01 0.00000e+00
[ -6.0552e-01 -6.0552e-01 ] -7.41786e-01 7.98646e-01 0.00000e+00
[ -6.0674e-01 -6.0674e-01 ] -7.43764e-01 8.00247e-01 0.00000e+00
[ -6.0803e-01 -6.0803e-01 ] -7.45858e-01 8.01940e-01 0.00000e+00
[ -6.0939e-01 -6.0939e-01 ] -7.48074e-01 8.03730e-01 0.00000e+00
[ -6.1084e-01 -6.1084e-01 ] -7.50422e-01 8.05625e-01 0.00000e+00
[ -6.1236e-01 -6.1236e-01 ] -7.52913e-01 8.07634e-01 0.00000e+00
[ -6.1397e-01 -6.1397e-01 ] -7.55554e-01 8.09763e-01 0.00000e+00
[ -6.1568e-01 -6.1568e-01 ] -7.58353e-01 8.12017e-01 0.00000e+00
[ -6.1748e-01 -6.1748e-01 ] -7.61314e-01 8.14400e-01 0.00000e+00
[ -6.1938e-01 -6.1938e-01 ] -7.64441e-01 8.16914e-01 0.00000e+00
[ -6.2138e-01 -6.2138e-01 ] -7.67733e-01 8.19559e-01 0.00000e+00
[ -6.2347e-01 -6.2347e-01 ] -7.71192e-01 8.22335e-01 0.00000e+00
[ -6.2566e-01 -6.2566e-01 ] -7.74815e-01 8.25241e-01 0.00000e+00
[ -6.2793e-01 -6.2793e-01 ] -7.78599e-01 8.28272e-01 0.00000e+00
[ -6.3030e-01 -6.3030e-01 ] -7.82539e-01 8.31425e-01 0.00000e+00
[ -6.3275e-01 -6.3275e-01 ] -7.86627e-01 8.34694e-01 0.00000e+00
[ -6.3527e-01 -6.3527e-01 ] -7.90853e-01 8.38068e-01 0.00000e+00
[ -6.3786e-01 -6.3786e-01 ] -7.95203e-01 8.41539e-01 0.00000e+00
[ -6.4050e-01 -6.4050e-01 ] -7.99663e-01 8.45092e-01 0.00000e+00
[ -6.4319e-01 -6.4319e-01 ] -8.04211e-01 8.48712e-01 0.00000e+00
[ -6.4591e-01 -6.4591e-01 ] -8.08825e-01 8.52379e-01 0.00000e+00
[ -6.4864e-01 -6.4864e-01 ] -8.13476e-01 8.56072e-01 0.00000e+00
[ -6.5137e-01 -6.5137e-01 ] -8.18133e-01 8.59764e-01 0.00000e+00
[ -6.5406e-01 -6.5406e-01 ] -8.22758e-01 8.63427e-01 0.00000e+00
[ -6.5671e-01 -6.5671e-01 ] -8.27312e-01 8.67028e-01 0.00000e+00
[ -6.5928e-01 -6.5928e-01 ] -8.31748e-01 8.70532e-01 0.00000e+00
[ -6.6175e-01 -6.6175e-01 ] -8.36019e-01 8.73901e-01 0.00000e+00
[ -6.6408e-01 -6.6408e-01 ] -8.40073e-01 8.77095e-01 0.00000e+00
[ -6.6625e-01 -6.6625e-01 ] -8.43856e-01 8.80073e-01 0.00000e+00
[ -6.6823e-01 -6.6823e-01 ] -8.47316e-01 8.82794e-01 0.00000e+00
[ -6.6999e-01 -6.6999e-01 ] -8.50399e-01 8.85216e-01 0.00000e+00
[ -6.7151e-01 -6.7151e-01 ] -8.53056e-01 8.87302e-01 0.00000e+00
[ -6.7275e-01 -6.7275e-01 ] -8.55242e-01 8.89016e-01 0.00000e+00
[ -6.7370e-01 -6.7370e-01 ] -8.56918e-01 8.90330e-01 0.00000e+00
[ -6.7434e-01 -6.7434e-01 ] -8.58053e-01 8.91219e-01 0.00000e+00
[ -6.7467e-01 -6.7467e-01 ] -8.58626e-01 8.91668e-01 0.00000e+00
