 0.000e+00 0.0000e+00 0.0000e+00 [ 0.0000e+00 ] 1.0000e+00
 1.133e-01 6.0325e-02 6.0325e-02 [ 6.0325e-02 ] 9.3967e-01
 2.267e-01 1.1424e-01 1.1424e-01 [ 1.1424e-01 ] 8.8576e-01
 3.400e-01 1.7144e-01 1.7144e-01 [ 1.7144e-01 ] 8.2856e-01
 4.533e-01 2.2772e-01 2.2772e-01 [ 2.2772e-01 ] 7.7228e-01
 5.667e-01 2.8187e-01 2.8187e-01 [ 2.8187e-01 ] 7.1813e-01
 6.800e-01 3.3261e-01 3.3261e-01 [ 3.3261e-01 ] 6.6739e-01
 7.933e-01 3.7879e-01 3.7879e-01 [ 3.7879e-01 ] 6.2121e-01
 9.067e-01 4.1962e-01 4.1962e-01 [ 4.1962e-01 ] 5.8038e-01
 1.020e+00 4.5469e-01 4.5469e-01 [ 4.5469e-01 ] 5.4531e-01
 1.133e+00 4.8405e-01 4.8405e-01 [ 4.8405e-01 ] 5.1595e-01
 1.247e+00 5.0807e-01 5.0807e-01 [ 5.0807e-01 ] 4.9193e-01
 1.360e+00 5.2735e-01 5.2735e-01 [ 5.2735e-01 ] 4.7265e-01
 1.473e+00 5.4258e-01 5.4258e-01 [ 5.4258e-01 ] 4.5742e-01
 1.587e+00 5.5446e-01 5.5446e-01 [ 5.5446e-01 ] 4.4554e-01
 1.700e+00 5.6366e-01 5.6366e-01 [ 5.6366e-01 ] 4.3634e-01
 1.813e+00 5.7072e-01 5.7072e-01 [ 5.7072e-01 ] 4.2928e-01
 1.927e+00 5.7613e-01 5.7613e-01 [ 5.7613e-01 ] 4.2387e-01
 2.040e+00 5.8027e-01 5.8027e-01 [ 5.8027e-01 ] 4.1973e-01
 2.153e+00 5.8344e-01 5.8344e-01 [ 5.8344e-01 ] 4.1656e-01
 2.267e+00 5.8586e-01 5.8586e-01 [ 5.8586e-01 ] 4.1414e-01
 2.380e+00 5.8771e-01 5.8771e-01 [ 5.8771e-01 ] 4.1229e-01
 2.493e+00 5.8914e-01 5.8914e-01 [ 5.8914e-01 ] 4.1086e-01
 2.607e+00 5.9024e-01 5.9024e-01 [ 5.9024e-01 ] 4.0976e-01
 2.720e+00 5.9110e-01 5.9110e-01 [ 5.9110e-01 ] 4.0890e-01
 2.833e+00 5.9176e-01 5.9176e-01 [ 5.9176e-01 ] 4.0824e-01
 2.947e+00 5.9227e-01 5.9227e-01 [ 5.9227e-01 ] 4.0773e-01
 3.060e+00 5.9266e-01 5.9266e-01 [ 5.9266e-01 ] 4.0734e-01
 3.173e+00 5.9296e-01 5.9296e-01 [ 5.9296e-01 ] 4.0704e-01
 3.287e+00 5.9319e-01 5.9319e-01 [ 5.9319e-01 ] 4.0681e-01
 3.400e+00 5.9336e-01 5.9336e-01 [ 5.9336e-01 ] 4.0664e-01
 3.513e+00 5.9347e-01 5.9347e-01 [ 5.9347e-01 ] 4.0653e-01
 3.627e+00 5.9355e-01 5.9355e-01 [ 5.9355e-01 ] 4.0645e-01
 3.740e+00 5.9359e-01 5.9359e-01 [ 5.9359e-01 ] 4.0641e-01
 3.853e+00 5.9359e-01 5.9359e-01 [ 5.9359e-01 ] 4.0641e-01
 3.967e+00 5.9358e-01 5.9358e-01 [ 5.9358e-01 ] 4.0642e-01
 4.080e+00 5.9353e-01 5.9353e-01 [ 5.9353e-01 ] 4.0647e-01
 4.193e+00 5.9347e-01 5.9347e-01 [ 5.9347e-01 ] 4.0653e-01
 4.307e+00 5.9338e-01 5.9338e-01 [ 5.9338e-01 ] 4.0662e-01
 4.420e+00 5.9328e-01 5.9328e-01 [ 5.9328e-01 ] 4.0672e-01
 4.533e+00 5.9316e-01 5.9316e-01 [ 5.9316e-01 ] 4.0684e-01
 4.647e+00 5.9303e-01 5.9303e-01 [ 5.9303e-01 ] 4.0697e-01
 4.760e+00 5.9288e-01 5.9288e-01 [ 5.9288e-01 ] 4.0712e-01
 4.873e+00 5.9272e-01 5.9272e-01 [ 5.9272e-01 ] 4.0728e-01
 4.987e+00 5.9255e-01 5.9255e-01 [ 5.9255e-01 ] 4.0745e-01
 5.100e+00 5.9236e-01 5.9236e-01 [ 5.9236e-01 ] 4.0764e-01
 5.213e+00 5.9216e-01 5.9216e-01 [ 5.9216e-01 ] 4.0784e-01
 5.327e+00 5.9195e-01 5.9195e-01 [ 5.9195e-01 ] 4.0805e-01
 5.440e+00 5.9174e-01 5.9174e-01 [ 5.9174e-01 ] 4.0826e-01
 5.553e+00 5.9151e-01 5.9151e-01 [ 5.9151e-01 ] 4.0849e-01
 5.667e+00 5.9127e-01 5.9127e-01 [ 5.9127e-01 ] 4.0873e-01
 5.780e+00 5.9102e-01 5.9102e-01 [ 5.9102e-01 ] 4.0898e-01
 5.893e+00 5.9076e-01 5.9076e-01 [ 5.9076e-01 ] 4.0924e-01
 6.007e+00 5.9050e-01 5.9050e-01 [ 5.9050e-01 ] 4.0950e-01
 6.120e+00 5.9022e-01 5.9022e-01 [ 5.9022e-01 ] 4.0978e-01
 6.233e+00 5.8994e-01 5.8994e-01 [ 5.8994e-01 ] 4.1006e-01
 6.347e+00 5.8965e-01 5.8965e-01 [ 5.8965e-01 ] 4.1035e-01
 6.460e+00 5.8936e-01 5.8936e-01 [ 5.8936e-01 ] 4.1064e-01
 6.573e+00 5.8905e-01 5.8905e-01 [ 5.8905e-01 ] 4.1095e-01
 6.687e+00 5.8874e-01 5.8874e-01 [ 5.8874e-01 ] 4.1126e-01
