[ -5.0000e-01 ] [ -1.0000e+00 ] -1.00000e+00 1.00000e+00 0.00000e+00
[ -4.9057e-01 ] [ -9.2501e-01 ] -8.59447e-01 9.25008e-01 0.00000e+00
[ -4.6862e-01 ] [ -8.5360e-01 ] -7.38575e-01 8.53598e-01 0.00000e+00
[ -4.3721e-01 ] [ -7.8030e-01 ] -6.23392e-01 7.80299e-01 0.00000e+00
[ -4.0645e-01 ] [ -7.2017e-01 ] -5.33890e-01 7.20171e-01 0.00000e+00
[ -3.8178e-01 ] [ -6.7636e-01 ] -4.70936e-01 6.76358e-01 0.00000e+00
[ -3.6428e-01 ] [ -6.4692e-01 ] -4.29555e-01 6.46918e-01 0.00000e+00
[ -3.5270e-01 ] [ -6.2802e-01 ] -4.03347e-01 6.28021e-01 0.00000e+00
[ -3.4526e-01 ] [ -6.1611e-01 ] -3.86954e-01 6.16105e-01 0.00000e+00
[ -3.4050e-01 ] [ -6.0857e-01 ] -3.76646e-01 6.08574e-01 0.00000e+00
[ -3.3743e-01 ] [ -6.0374e-01 ] -3.70055e-01 6.03745e-01 0.00000e+00
[ -3.3542e-01 ] [ -6.0058e-01 ] -3.65749e-01 6.00583e-01 0.00000e+00
[ -3.3406e-01 ] [ -5.9847e-01 ] -3.62875e-01 5.98470e-01 0.00000e+00
[ -3.3315e-01 ] [ -5.9704e-01 ] -3.60927e-01 5.97036e-01 0.00000e+00
[ -3.3252e-01 ] [ -5.9606e-01 ] -3.59602e-01 5.96060e-01 0.00000e+00
[ -3.3210e-01 ] [ -5.9540e-01 ] -3.58712e-01 5.95405e-01 0.00000e+00
[ -3.3183e-01 ] [ -5.9498e-01 ] -3.58140e-01 5.94984e-01 0.00000e+00
[ -3.3167e-01 ] [ -5.9474e-01 ] -3.57809e-01 5.94740e-01 0.00000e+00
[ -3.3160e-01 ] [ -5.9464e-01 ] -3.57667e-01 5.94635e-01 0.00000e+00
[ -3.3161e-01 ] [ -5.9464e-01 ] -3.57678e-01 5.94643e-01 0.00000e+00
[ -3.3167e-01 ] [ -5.9474e-01 ] -3.57816e-01 5.94745e-01 0.00000e+00
[ -3.3179e-01 ] [ -5.9492e-01 ] -3.58060e-01 5.94925e-01 0.00000e+00
[ -3.3195e-01 ] [ -5.9517e-01 ] -3.58396e-01 5.95172e-01 0.00000e+00
[ -3.3215e-01 ] [ -5.9548e-01 ] -3.58812e-01 5.95479e-01 0.00000e+00
[ -3.3238e-01 ] [ -5.9584e-01 ] -3.59298e-01 5.95837e-01 0.00000e+00
[ -3.3264e-01 ] [ -5.9624e-01 ] -3.59848e-01 5.96242e-01 0.00000e+00
[ -3.3292e-01 ] [ -5.9669e-01 ] -3.60454e-01 5.96688e-01 0.00000e+00
