 0.000e+00 0.0000e+00 [ 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 ] 1.0000e+00
 1.133e-01 1.8523e-03 [ 1.7424e-03 1.4090e-05 2.5285e-05 5.3112e-05 1.7186e-05 ] 9.9815e-01
 2.267e-01 3.8347e-03 [ 3.4053e-03 4.6178e-05 1.0170e-04 2.1316e-04 6.7509e-05 ] 9.9617e-01
 3.400e-01 5.7924e-03 [ 4.8112e-03 1.1690e-04 2.3092e-04 4.8228e-04 1.4936e-04 ] 9.9421e-01
 4.533e-01 7.8155e-03 [ 6.0692e-03 2.0193e-04 4.1576e-04 8.6400e-04 2.6137e-04 ] 9.9218e-01
 5.667e-01 9.9288e-03 [ 7.1779e-03 3.1992e-04 6.6020e-04 1.3633e-03 4.0244e-04 ] 9.9007e-01
 6.800e-01 1.2162e-02 [ 8.1603e-03 4.6701e-04 9.6945e-04 1.9866e-03 5.7166e-04 ] 9.8784e-01
 7.933e-01 1.4546e-02 [ 9.0318e-03 6.4402e-04 1.3501e-03 2.7418e-03 7.6836e-04 ] 9.8545e-01
 9.067e-01 1.7112e-02 [ 9.8040e-03 8.5421e-04 1.8100e-03 3.6385e-03 9.9209e-04 ] 9.8289e-01
 1.020e+00 1.9894e-02 [ 1.0489e-02 1.1002e-03 2.3588e-03 4.6877e-03 1.2426e-03 ] 9.8011e-01
 1.133e+00 2.2931e-02 [ 1.1096e-02 1.3849e-03 3.0076e-03 5.9024e-03 1.5198e-03 ] 9.7707e-01
 1.247e+00 2.6262e-02 [ 1.1634e-02 1.7115e-03 3.7694e-03 7.2972e-03 1.8238e-03 ] 9.7374e-01
 1.360e+00 2.9930e-02 [ 1.2113e-02 2.0839e-03 4.6595e-03 8.8887e-03 2.1550e-03 ] 9.7007e-01
 1.473e+00 3.3985e-02 [ 1.2539e-02 2.5063e-03 5.6951e-03 1.0695e-02 2.5138e-03 ] 9.6601e-01
 1.587e+00 3.8478e-02 [ 1.2918e-02 2.9835e-03 6.8960e-03 1.2738e-02 2.9009e-03 ] 9.6152e-01
 1.700e+00 4.3466e-02 [ 1.3255e-02 3.5205e-03 8.2846e-03 1.5039e-02 3.3171e-03 ] 9.5653e-01
 1.813e+00 4.9011e-02 [ 1.3557e-02 4.1231e-03 9.8860e-03 1.7623e-02 3.7634e-03 ] 9.5099e-01
 1.927e+00 5.5178e-02 [ 1.3828e-02 4.7973e-03 1.1728e-02 2.0516e-02 4.2408e-03 ] 9.4482e-01
