[ 1.2322e+00 1.2322e+00 1.2322e+00 ] [ -1.0000e+00 ] -1.00000e+00 1.00000e+00 -1.46440e+00
[ 1.2230e+00 1.2230e+00 1.2230e+00 ] [ -1.0023e+00 ] -9.95360e-01 1.00230e+00 -1.46440e+00
[ 1.2160e+00 1.2160e+00 1.2160e+00 ] [ -1.0043e+00 ] -9.91282e-01 1.00430e+00 -1.46670e+00
[ 1.2112e+00 1.2112e+00 1.2112e+00 ] [ -1.0060e+00 ] -9.87782e-01 1.00600e+00 -1.47084e+00
[ 1.2080e+00 1.2080e+00 1.2080e+00 ] [ -1.0075e+00 ] -9.84707e-01 1.00747e+00 -1.47644e+00
[ 1.2060e+00 1.2060e+00 1.2060e+00 ] [ -1.0088e+00 ] -9.81988e-01 1.00876e+00 -1.48316e+00
[ 1.2051e+00 1.2051e+00 1.2051e+00 ] [ -1.0099e+00 ] -9.79573e-01 1.00990e+00 -1.49072e+00
[ 1.2051e+00 1.2051e+00 1.2051e+00 ] [ -1.0109e+00 ] -9.77427e-01 1.01091e+00 -1.49888e+00
[ 1.2056e+00 1.2056e+00 1.2056e+00 ] [ -1.0118e+00 ] -9.75523e-01 1.01179e+00 -1.50741e+00
[ 1.2068e+00 1.2068e+00 1.2068e+00 ] [ -1.0126e+00 ] -9.73840e-01 1.01257e+00 -1.51614e+00
[ 1.2083e+00 1.2083e+00 1.2083e+00 ] [ -1.0133e+00 ] -9.72362e-01 1.01325e+00 -1.52490e+00
[ 1.2102e+00 1.2102e+00 1.2102e+00 ] [ -1.0138e+00 ] -9.71075e-01 1.01384e+00 -1.53355e+00
[ 1.2123e+00 1.2123e+00 1.2123e+00 ] [ -1.0143e+00 ] -9.69966e-01 1.01435e+00 -1.54199e+00
[ 1.2145e+00 1.2145e+00 1.2145e+00 ] [ -1.0148e+00 ] -9.69022e-01 1.01478e+00 -1.55012e+00
[ 1.2169e+00 1.2169e+00 1.2169e+00 ] [ -1.0151e+00 ] -9.68232e-01 1.01514e+00 -1.55785e+00
[ 1.2193e+00 1.2193e+00 1.2193e+00 ] [ -1.0154e+00 ] -9.67584e-01 1.01543e+00 -1.56513e+00
[ 1.2217e+00 1.2217e+00 1.2217e+00 ] [ -1.0157e+00 ] -9.67065e-01 1.01566e+00 -1.57191e+00
[ 1.2241e+00 1.2241e+00 1.2241e+00 ] [ -1.0158e+00 ] -9.66664e-01 1.01584e+00 -1.57816e+00
