[ 1.2215e+00 1.2215e+00 1.2215e+00 1.2215e+00 1.2215e+00 1.2215e+00 ] -1.00000e+00 1.00000e+00 -1.92879e+00
[ 1.1386e+00 1.1386e+00 1.1386e+00 1.1386e+00 1.1386e+00 1.1386e+00 ] -9.54803e-01 1.01888e+00 -1.92879e+00
[ 1.0639e+00 1.0639e+00 1.0639e+00 1.0639e+00 1.0639e+00 1.0639e+00 ] -9.10197e-01 1.03474e+00 -1.93296e+00
[ 1.0093e+00 1.0093e+00 1.0093e+00 1.0093e+00 1.0093e+00 1.0093e+00 ] -8.74174e-01 1.04561e+00 -1.94087e+00
[ 9.5975e-01 9.5975e-01 9.5975e-01 9.5975e-01 9.5975e-01 9.5975e-01 ] -8.38401e-01 1.05477e+00 -1.95220e+00
[ 9.1008e-01 9.1008e-01 9.1008e-01 9.1008e-01 9.1008e-01 9.1008e-01 ] -7.99342e-01 1.06296e+00 -1.96666e+00
[ 8.5667e-01 8.5667e-01 8.5667e-01 8.5667e-01 8.5667e-01 8.5667e-01 ] -7.53611e-01 1.07026e+00 -1.98398e+00
[ 7.9745e-01 7.9745e-01 7.9745e-01 7.9745e-01 7.9745e-01 7.9745e-01 ] -6.97853e-01 1.07597e+00 -2.00383e+00
[ 7.3234e-01 7.3234e-01 7.3234e-01 7.3234e-01 7.3234e-01 7.3234e-01 ] -6.28865e-01 1.07844e+00 -2.02586e+00
[ 6.6392e-01 6.6392e-01 6.6392e-01 6.6392e-01 6.6392e-01 6.6392e-01 ] -5.44007e-01 1.07497e+00 -2.04965e+00
[ 5.9769e-01 5.9769e-01 5.9769e-01 5.9769e-01 5.9769e-01 5.9769e-01 ] -4.41989e-01 1.06209e+00 -2.07469e+00
[ 5.4124e-01 5.4124e-01 5.4124e-01 5.4124e-01 5.4124e-01 5.4124e-01 ] -3.23939e-01 1.03644e+00 -2.10047e+00
[ 5.0195e-01 5.0195e-01 5.0195e-01 5.0195e-01 5.0195e-01 5.0195e-01 ] -1.94416e-01 9.96517e-01 -2.12642e+00
[ 4.8384e-01 4.8384e-01 4.8384e-01 4.8384e-01 4.8384e-01 4.8384e-01 ] -6.15960e-02 9.44281e-01 -2.15203e+00
[ 4.8544e-01 4.8544e-01 4.8544e-01 4.8544e-01 4.8544e-01 4.8544e-01 ] 6.41395e-02 8.85575e-01 -2.17682e+00
[ 5.0056e-01 5.0056e-01 5.0056e-01 5.0056e-01 5.0056e-01 5.0056e-01 ] 1.73121e-01 8.28249e-01 -2.20046e+00
[ 5.2155e-01 5.2155e-01 5.2155e-01 5.2155e-01 5.2155e-01 5.2155e-01 ] 2.59346e-01 7.79087e-01 -2.22268e+00
[ 5.4241e-01 5.4241e-01 5.4241e-01 5.4241e-01 5.4241e-01 5.4241e-01 ] 3.21642e-01 7.41647e-01 -2.24337e+00
[ 5.5998e-01 5.5998e-01 5.5998e-01 5.5998e-01 5.5998e-01 5.5998e-01 ] 3.62655e-01 7.16174e-01 -2.26246e+00
[ 5.7343e-01 5.7343e-01 5.7343e-01 5.7343e-01 5.7343e-01 5.7343e-01 ] 3.86846e-01 7.00854e-01 -2.27996e+00
[ 5.8316e-01 5.8316e-01 5.8316e-01 5.8316e-01 5.8316e-01 5.8316e-01 ] 3.98818e-01 6.93194e-01 -2.29592e+00
[ 5.9000e-01 5.9000e-01 5.9000e-01 5.9000e-01 5.9000e-01 5.9000e-01 ] 4.02446e-01 6.90862e-01 -2.31043e+00
[ 5.9474e-01 5.9474e-01 5.9474e-01 5.9474e-01 5.9474e-01 5.9474e-01 ] 4.00649e-01 6.92017e-01 -2.32357e+00
[ 5.9803e-01 5.9803e-01 5.9803e-01 5.9803e-01 5.9803e-01 5.9803e-01 ] 3.95486e-01 6.95331e-01 -2.33544e+00
[ 6.0032e-01 6.0032e-01 6.0032e-01 6.0032e-01 6.0032e-01 6.0032e-01 ] 3.88354e-01 6.99892e-01 -2.34614e+00
[ 6.0193e-01 6.0193e-01 6.0193e-01 6.0193e-01 6.0193e-01 6.0193e-01 ] 3.80175e-01 7.05100e-01 -2.35577e+00
[ 6.0309e-01 6.0309e-01 6.0309e-01 6.0309e-01 6.0309e-01 6.0309e-01 ] 3.71550e-01 7.10566e-01 -2.36442e+00
[ 6.0392e-01 6.0392e-01 6.0392e-01 6.0392e-01 6.0392e-01 6.0392e-01 ] 3.62861e-01 7.16044e-01 -2.37217e+00
[ 6.0453e-01 6.0453e-01 6.0453e-01 6.0453e-01 6.0453e-01 6.0453e-01 ] 3.54349e-01 7.21384e-01 -2.37912e+00
[ 6.0498e-01 6.0498e-01 6.0498e-01 6.0498e-01 6.0498e-01 6.0498e-01 ] 3.46160e-01 7.26495e-01 -2.38533e+00
[ 6.0532e-01 6.0532e-01 6.0532e-01 6.0532e-01 6.0532e-01 6.0532e-01 ] 3.38379e-01 7.31329e-01 -2.39088e+00
[ 6.0556e-01 6.0556e-01 6.0556e-01 6.0556e-01 6.0556e-01 6.0556e-01 ] 3.31051e-01 7.35860e-01 -2.39583e+00
[ 6.0574e-01 6.0574e-01 6.0574e-01 6.0574e-01 6.0574e-01 6.0574e-01 ] 3.24193e-01 7.40082e-01 -2.40024e+00
[ 6.0586e-01 6.0586e-01 6.0586e-01 6.0586e-01 6.0586e-01 6.0586e-01 ] 3.17806e-01 7.43997e-01 -2.40416e+00
[ 6.0595e-01 6.0595e-01 6.0595e-01 6.0595e-01 6.0595e-01 6.0595e-01 ] 3.11879e-01 7.47616e-01 -2.40764e+00
[ 6.0599e-01 6.0599e-01 6.0599e-01 6.0599e-01 6.0599e-01 6.0599e-01 ] 3.06396e-01 7.50952e-01 -2.41074e+00
[ 6.0601e-01 6.0601e-01 6.0601e-01 6.0601e-01 6.0601e-01 6.0601e-01 ] 3.01333e-01 7.54022e-01 -2.41347e+00
[ 6.0601e-01 6.0601e-01 6.0601e-01 6.0601e-01 6.0601e-01 6.0601e-01 ] 2.96667e-01 7.56842e-01 -2.41589e+00
[ 6.0598e-01 6.0598e-01 6.0598e-01 6.0598e-01 6.0598e-01 6.0598e-01 ] 2.92373e-01 7.59431e-01 -2.41803e+00
[ 6.0593e-01 6.0593e-01 6.0593e-01 6.0593e-01 6.0593e-01 6.0593e-01 ] 2.88423e-01 7.61804e-01 -2.41991e+00
[ 6.0587e-01 6.0587e-01 6.0587e-01 6.0587e-01 6.0587e-01 6.0587e-01 ] 2.84794e-01 7.63980e-01 -2.42157e+00
[ 6.0580e-01 6.0580e-01 6.0580e-01 6.0580e-01 6.0580e-01 6.0580e-01 ] 2.81459e-01 7.65975e-01 -2.42302e+00
[ 6.0571e-01 6.0571e-01 6.0571e-01 6.0571e-01 6.0571e-01 6.0571e-01 ] 2.78395e-01 7.67803e-01 -2.42429e+00
[ 6.0562e-01 6.0562e-01 6.0562e-01 6.0562e-01 6.0562e-01 6.0562e-01 ] 2.75579e-01 7.69481e-01 -2.42539e+00
[ 6.0551e-01 6.0551e-01 6.0551e-01 6.0551e-01 6.0551e-01 6.0551e-01 ] 2.72989e-01 7.71020e-01 -2.42635e+00
