 0.000e+00 0.0000e+00 [ 0.0000e+00 ] 1.0000e+00
 1.133e-01 4.8715e-02 [ 4.8715e-02 ] 9.5129e-01
 2.267e-01 9.5249e-02 [ 9.5249e-02 ] 9.0475e-01
 3.400e-01 1.3401e-01 [ 1.3401e-01 ] 8.6599e-01
 4.533e-01 1.6955e-01 [ 1.6955e-01 ] 8.3045e-01
 5.667e-01 2.0294e-01 [ 2.0294e-01 ] 7.9706e-01
 6.800e-01 2.3481e-01 [ 2.3481e-01 ] 7.6519e-01
 7.933e-01 2.6548e-01 [ 2.6548e-01 ] 7.3452e-01
 9.067e-01 2.9498e-01 [ 2.9498e-01 ] 7.0502e-01
 1.020e+00 3.2321e-01 [ 3.2321e-01 ] 6.7679e-01
 1.133e+00 3.4996e-01 [ 3.4996e-01 ] 6.5004e-01
 1.247e+00 3.7496e-01 [ 3.7496e-01 ] 6.2504e-01
 1.360e+00 3.9796e-01 [ 3.9796e-01 ] 6.0204e-01
 1.473e+00 4.1875e-01 [ 4.1875e-01 ] 5.8125e-01
 1.587e+00 4.3720e-01 [ 4.3720e-01 ] 5.6280e-01
 1.700e+00 4.5327e-01 [ 4.5327e-01 ] 5.4673e-01
 1.813e+00 4.6697e-01 [ 4.6697e-01 ] 5.3303e-01
 1.927e+00 4.7841e-01 [ 4.7841e-01 ] 5.2159e-01
 2.040e+00 4.8775e-01 [ 4.8775e-01 ] 5.1225e-01
 2.153e+00 4.9519e-01 [ 4.9519e-01 ] 5.0481e-01
 2.267e+00 5.0092e-01 [ 5.0092e-01 ] 4.9908e-01
 2.380e+00 5.0517e-01 [ 5.0517e-01 ] 4.9483e-01
 2.493e+00 5.0814e-01 [ 5.0814e-01 ] 4.9186e-01
 2.607e+00 5.1002e-01 [ 5.1002e-01 ] 4.8998e-01
 2.720e+00 5.1100e-01 [ 5.1100e-01 ] 4.8900e-01
 2.833e+00 5.1123e-01 [ 5.1123e-01 ] 4.8877e-01
 2.947e+00 5.1085e-01 [ 5.1085e-01 ] 4.8915e-01
 3.060e+00 5.0997e-01 [ 5.0997e-01 ] 4.9003e-01
 3.173e+00 5.0870e-01 [ 5.0870e-01 ] 4.9130e-01
 3.287e+00 5.0713e-01 [ 5.0713e-01 ] 4.9287e-01
 3.400e+00 5.0533e-01 [ 5.0533e-01 ] 4.9467e-01
 3.513e+00 5.0336e-01 [ 5.0336e-01 ] 4.9664e-01
 3.627e+00 5.0128e-01 [ 5.0128e-01 ] 4.9872e-01
 3.740e+00 4.9912e-01 [ 4.9912e-01 ] 5.0088e-01
 3.853e+00 4.9692e-01 [ 4.9692e-01 ] 5.0308e-01
 3.967e+00 4.9471e-01 [ 4.9471e-01 ] 5.0529e-01
 4.080e+00 4.9252e-01 [ 4.9252e-01 ] 5.0748e-01
 4.193e+00 4.9036e-01 [ 4.9036e-01 ] 5.0964e-01
 4.307e+00 4.8825e-01 [ 4.8825e-01 ] 5.1176e-01
 4.420e+00 4.8619e-01 [ 4.8619e-01 ] 5.1381e-01
 4.533e+00 4.8421e-01 [ 4.8421e-01 ] 5.1579e-01
 4.647e+00 4.8231e-01 [ 4.8231e-01 ] 5.1769e-01
 4.760e+00 4.8049e-01 [ 4.8049e-01 ] 5.1951e-01
 4.873e+00 4.7875e-01 [ 4.7875e-01 ] 5.2125e-01
 4.987e+00 4.7710e-01 [ 4.7710e-01 ] 5.2290e-01
 5.100e+00 4.7553e-01 [ 4.7553e-01 ] 5.2447e-01
 5.213e+00 4.7405e-01 [ 4.7405e-01 ] 5.2595e-01
 5.327e+00 4.7265e-01 [ 4.7265e-01 ] 5.2735e-01
 5.440e+00 4.7134e-01 [ 4.7134e-01 ] 5.2866e-01
 5.553e+00 4.7011e-01 [ 4.7011e-01 ] 5.2989e-01
 5.667e+00 4.6895e-01 [ 4.6895e-01 ] 5.3105e-01
 5.780e+00 4.6787e-01 [ 4.6787e-01 ] 5.3213e-01
 5.893e+00 4.6686e-01 [ 4.6686e-01 ] 5.3314e-01
 6.007e+00 4.6591e-01 [ 4.6591e-01 ] 5.3409e-01
 6.120e+00 4.6503e-01 [ 4.6503e-01 ] 5.3497e-01
 6.233e+00 4.6420e-01 [ 4.6420e-01 ] 5.3580e-01
 6.347e+00 4.6343e-01 [ 4.6343e-01 ] 5.3657e-01
 6.460e+00 4.6271e-01 [ 4.6271e-01 ] 5.3729e-01
 6.573e+00 4.6203e-01 [ 4.6203e-01 ] 5.3797e-01
