[ 9.6289e-01 ] -1.00000e+00 1.00000e+00 1.89397e+00
[ 8.9018e-01 ] -9.52771e-01 1.01274e+00 1.89397e+00
[ 8.1400e-01 ] -8.97863e-01 1.02409e+00 1.89802e+00
[ 7.5132e-01 ] -8.47165e-01 1.03141e+00 1.90564e+00
[ 6.8941e-01 ] -7.91025e-01 1.03618e+00 1.91646e+00
[ 6.2623e-01 ] -7.25841e-01 1.03757e+00 1.93006e+00
[ 5.6215e-01 ] -6.48621e-01 1.03379e+00 1.94602e+00
[ 5.0011e-01 ] -5.57405e-01 1.02233e+00 1.96388e+00
[ 4.4516e-01 ] -4.51967e-01 1.00046e+00 1.98315e+00
[ 4.0314e-01 ] -3.34618e-01 9.66317e-01 2.00329e+00
[ 3.7845e-01 ] -2.10656e-01 9.20270e-01 2.02381e+00
[ 3.7195e-01 ] -8.78953e-02 8.65714e-01 2.04422e+00
[ 3.8033e-01 ] 2.50322e-02 8.08547e-01 2.06415e+00
[ 3.9764e-01 ] 1.21083e-01 7.55212e-01 2.08329e+00
[ 4.1788e-01 ] 1.96627e-01 7.10497e-01 2.10143e+00
[ 4.3681e-01 ] 2.51732e-01 6.76456e-01 2.11844e+00
[ 4.5243e-01 ] 2.89072e-01 6.52744e-01 2.13427e+00
[ 4.6438e-01 ] 3.12421e-01 6.37661e-01 2.14891e+00
[ 4.7308e-01 ] 3.25516e-01 6.29118e-01 2.16239e+00
[ 4.7927e-01 ] 3.31480e-01 6.25208e-01 2.17475e+00
[ 4.8361e-01 ] 3.32690e-01 6.24413e-01 2.18606e+00
[ 4.8664e-01 ] 3.30847e-01 6.25624e-01 2.19639e+00
[ 4.8877e-01 ] 3.27127e-01 6.28063e-01 2.20579e+00
[ 4.9029e-01 ] 3.22321e-01 6.31208e-01 2.21435e+00
[ 4.9137e-01 ] 3.16955e-01 6.34710e-01 2.22213e+00
[ 4.9216e-01 ] 3.11369e-01 6.38345e-01 2.22918e+00
[ 4.9273e-01 ] 3.05782e-01 6.41969e-01 2.23558e+00
[ 4.9316e-01 ] 3.00331e-01 6.45495e-01 2.24138e+00
[ 4.9348e-01 ] 2.95100e-01 6.48869e-01 2.24663e+00
[ 4.9372e-01 ] 2.90133e-01 6.52062e-01 2.25137e+00
[ 4.9390e-01 ] 2.85455e-01 6.55062e-01 2.25566e+00
[ 4.9403e-01 ] 2.81073e-01 6.57866e-01 2.25953e+00
[ 4.9412e-01 ] 2.76985e-01 6.60475e-01 2.26303e+00
[ 4.9419e-01 ] 2.73180e-01 6.62898e-01 2.26618e+00
[ 4.9422e-01 ] 2.69647e-01 6.65143e-01 2.26902e+00
[ 4.9424e-01 ] 2.66371e-01 6.67221e-01 2.27157e+00
[ 4.9423e-01 ] 2.63334e-01 6.69143e-01 2.27387e+00
[ 4.9421e-01 ] 2.60522e-01 6.70920e-01 2.27593e+00
[ 4.9418e-01 ] 2.57917e-01 6.72564e-01 2.27778e+00
[ 4.9413e-01 ] 2.55504e-01 6.74084e-01 2.27944e+00
[ 4.9407e-01 ] 2.53267e-01 6.75492e-01 2.28092e+00
[ 4.9400e-01 ] 2.51191e-01 6.76796e-01 2.28224e+00
[ 4.9392e-01 ] 2.49263e-01 6.78006e-01 2.28342e+00
[ 4.9383e-01 ] 2.47470e-01 6.79130e-01 2.28447e+00
[ 4.9374e-01 ] 2.45800e-01 6.80176e-01 2.28540e+00
[ 4.9363e-01 ] 2.44241e-01 6.81151e-01 2.28622e+00
[ 4.9352e-01 ] 2.42784e-01 6.82062e-01 2.28695e+00
[ 4.9341e-01 ] 2.41418e-01 6.82915e-01 2.28759e+00
[ 4.9328e-01 ] 2.40136e-01 6.83716e-01 2.28815e+00
[ 4.9315e-01 ] 2.38928e-01 6.84469e-01 2.28863e+00
[ 4.9302e-01 ] 2.37788e-01 6.85179e-01 2.28905e+00
[ 4.9288e-01 ] 2.36709e-01 6.85852e-01 2.28941e+00
[ 4.9274e-01 ] 2.35683e-01 6.86490e-01 2.28971e+00
[ 4.9259e-01 ] 2.34707e-01 6.87097e-01 2.28997e+00
[ 4.9243e-01 ] 2.33774e-01 6.87677e-01 2.29018e+00
[ 4.9228e-01 ] 2.32879e-01 6.88233e-01 2.29034e+00
[ 4.9211e-01 ] 2.32019e-01 6.88767e-01 2.29047e+00
[ 4.9195e-01 ] 2.31190e-01 6.89281e-01 2.29057e+00
[ 4.9178e-01 ] 2.30387e-01 6.89779e-01 2.29064e+00
[ 4.9160e-01 ] 2.29609e-01 6.90262e-01 2.29067e+00
[ 4.9143e-01 ] 2.28851e-01 6.90732e-01 2.29069e+00
[ 4.9124e-01 ] 2.28111e-01 6.91190e-01 2.29067e+00
[ 4.9106e-01 ] 2.27386e-01 6.91639e-01 2.29064e+00
[ 4.9087e-01 ] 2.26675e-01 6.92079e-01 2.29058e+00
[ 4.9068e-01 ] 2.25976e-01 6.92512e-01 2.29051e+00
[ 4.9049e-01 ] 2.25286e-01 6.92938e-01 2.29042e+00
[ 4.9029e-01 ] 2.24605e-01 6.93359e-01 2.29032e+00
[ 4.9009e-01 ] 2.23930e-01 6.93776e-01 2.29020e+00
[ 4.8988e-01 ] 2.23260e-01 6.94190e-01 2.29006e+00
[ 4.8968e-01 ] 2.22594e-01 6.94601e-01 2.28992e+00
[ 4.8947e-01 ] 2.21932e-01 6.95010e-01 2.28976e+00
[ 4.8925e-01 ] 2.21271e-01 6.95417e-01 2.28959e+00
[ 4.8904e-01 ] 2.20612e-01 6.95824e-01 2.28942e+00
[ 4.8882e-01 ] 2.19952e-01 6.96230e-01 2.28923e+00
[ 4.8860e-01 ] 2.19293e-01 6.96636e-01 2.28903e+00
[ 4.8837e-01 ] 2.18633e-01 6.97043e-01 2.28883e+00
[ 4.8815e-01 ] 2.17970e-01 6.97451e-01 2.28862e+00
