[ 6.8191e-01 ] -1.00000e+00 1.00000e+00 -1.66261e+00
[ 6.2611e-01 ] -9.51366e-01 1.00358e+00 -1.66261e+00
[ 5.7533e-01 ] -9.01716e-01 1.00469e+00 -1.66566e+00
[ 5.3678e-01 ] -8.59144e-01 1.00367e+00 -1.67135e+00
[ 5.0367e-01 ] -8.17974e-01 1.00104e+00 -1.67933e+00
[ 4.7428e-01 ] -7.76702e-01 9.96838e-01 -1.68928e+00
[ 4.4767e-01 ] -7.34253e-01 9.90957e-01 -1.70094e+00
[ 4.2345e-01 ] -6.89936e-01 9.83196e-01 -1.71401e+00
[ 4.0162e-01 ] -6.43434e-01 9.73350e-01 -1.72825e+00
[ 3.8244e-01 ] -5.94818e-01 9.61277e-01 -1.74337e+00
[ 3.6630e-01 ] -5.44538e-01 9.46968e-01 -1.75913e+00
[ 3.5354e-01 ] -4.93405e-01 9.30607e-01 -1.77528e+00
[ 3.4436e-01 ] -4.42516e-01 9.12603e-01 -1.79158e+00
[ 3.3872e-01 ] -3.93136e-01 8.93573e-01 -1.80781e+00
[ 3.3632e-01 ] -3.46552e-01 8.74278e-01 -1.82378e+00
[ 3.3662e-01 ] -3.03910e-01 8.55526e-01 -1.83931e+00
[ 3.3897e-01 ] -2.66091e-01 8.38059e-01 -1.85428e+00
[ 3.4270e-01 ] -2.33626e-01 8.22462e-01 -1.86857e+00
[ 3.4720e-01 ] -2.06691e-01 8.09111e-01 -1.88209e+00
[ 3.5198e-01 ] -1.85145e-01 7.98171e-01 -1.89480e+00
[ 3.5670e-01 ] -1.68606e-01 7.89620e-01 -1.90665e+00
[ 3.6112e-01 ] -1.56545e-01 7.83301e-01 -1.91764e+00
[ 3.6513e-01 ] -1.48356e-01 7.78972e-01 -1.92777e+00
[ 3.6869e-01 ] -1.43428e-01 7.76351e-01 -1.93705e+00
[ 3.7180e-01 ] -1.41179e-01 7.75152e-01 -1.94551e+00
[ 3.7449e-01 ] -1.41086e-01 7.75102e-01 -1.95317e+00
[ 3.7680e-01 ] -1.42695e-01 7.75961e-01 -1.96009e+00
[ 3.7879e-01 ] -1.45615e-01 7.77516e-01 -1.96629e+00
[ 3.8048e-01 ] -1.49527e-01 7.79593e-01 -1.97183e+00
