[ 5.7534e-01 3.3472e-01 1.0301e+00 5.4646e-01 1.0505e-01 ] -1.00000e+00 1.00000e+00 -5.35807e-01
[ 5.7191e-01 3.3155e-01 1.0259e+00 5.4313e-01 1.0258e-01 ] -9.98219e-01 1.00083e+00 -5.35807e-01
[ 5.6834e-01 3.2807e-01 1.0213e+00 5.3975e-01 1.0023e-01 ] -9.96244e-01 1.00173e+00 -5.36940e-01
[ 5.6530e-01 3.2490e-01 1.0173e+00 5.3693e-01 9.8457e-02 ] -9.94411e-01 1.00256e+00 -5.39173e-01
[ 5.6249e-01 3.2177e-01 1.0136e+00 5.3442e-01 9.7065e-02 ] -9.92585e-01 1.00339e+00 -5.42479e-01
[ 5.5991e-01 3.1868e-01 1.0100e+00 5.3219e-01 9.6035e-02 ] -9.90759e-01 1.00421e+00 -5.46831e-01
[ 5.5752e-01 3.1560e-01 1.0065e+00 5.3021e-01 9.5333e-02 ] -9.88918e-01 1.00503e+00 -5.52207e-01
[ 5.5529e-01 3.1251e-01 1.0032e+00 5.2844e-01 9.4937e-02 ] -9.87047e-01 1.00586e+00 -5.58587e-01
[ 5.5319e-01 3.0938e-01 9.9997e-01 5.2686e-01 9.4819e-02 ] -9.85135e-01 1.00671e+00 -5.65953e-01
[ 5.5118e-01 3.0618e-01 9.9676e-01 5.2544e-01 9.4956e-02 ] -9.83167e-01 1.00758e+00 -5.74288e-01
[ 5.4925e-01 3.0290e-01 9.9356e-01 5.2415e-01 9.5322e-02 ] -9.81130e-01 1.00849e+00 -5.83576e-01
[ 5.4736e-01 2.9949e-01 9.9033e-01 5.2295e-01 9.5892e-02 ] -9.79008e-01 1.00943e+00 -5.93805e-01
[ 5.4547e-01 2.9594e-01 9.8703e-01 5.2182e-01 9.6641e-02 ] -9.76787e-01 1.01042e+00 -6.04960e-01
[ 5.4356e-01 2.9223e-01 9.8362e-01 5.2072e-01 9.7543e-02 ] -9.74450e-01 1.01146e+00 -6.17031e-01
[ 5.4158e-01 2.8830e-01 9.8006e-01 5.1962e-01 9.8570e-02 ] -9.71981e-01 1.01257e+00 -6.30007e-01
[ 5.3951e-01 2.8415e-01 9.7631e-01 5.1848e-01 9.9695e-02 ] -9.69361e-01 1.01375e+00 -6.43875e-01
[ 5.3731e-01 2.7973e-01 9.7233e-01 5.1727e-01 1.0089e-01 ] -9.66571e-01 1.01502e+00 -6.58625e-01
[ 5.3494e-01 2.7501e-01 9.6806e-01 5.1594e-01 1.0212e-01 ] -9.63592e-01 1.01637e+00 -6.74246e-01
[ 5.3236e-01 2.6996e-01 9.6345e-01 5.1447e-01 1.0336e-01 ] -9.60400e-01 1.01783e+00 -6.90727e-01
[ 5.2953e-01 2.6453e-01 9.5846e-01 5.1280e-01 1.0457e-01 ] -9.56973e-01 1.01940e+00 -7.08054e-01
[ 5.2639e-01 2.5869e-01 9.5304e-01 5.1089e-01 1.0573e-01 ] -9.53287e-01 1.02109e+00 -7.26216e-01
[ 5.2292e-01 2.5240e-01 9.4711e-01 5.0870e-01 1.0678e-01 ] -9.49314e-01 1.02291e+00 -7.45197e-01
[ 5.1904e-01 2.4562e-01 9.4063e-01 5.0618e-01 1.0770e-01 ] -9.45027e-01 1.02488e+00 -7.64980e-01
[ 5.1472e-01 2.3829e-01 9.3353e-01 5.0327e-01 1.0844e-01 ] -9.40394e-01 1.02700e+00 -7.85548e-01
[ 5.0990e-01 2.3038e-01 9.2575e-01 4.9993e-01 1.0896e-01 ] -9.35385e-01 1.02930e+00 -8.06880e-01
[ 5.0453e-01 2.2184e-01 9.1722e-01 4.9610e-01 1.0922e-01 ] -9.29964e-01 1.03176e+00 -8.28952e-01
[ 4.9856e-01 2.1262e-01 9.0788e-01 4.9172e-01 1.0918e-01 ] -9.24097e-01 1.03442e+00 -8.51736e-01
[ 4.9191e-01 2.0267e-01 8.9765e-01 4.8674e-01 1.0878e-01 ] -9.17745e-01 1.03727e+00 -8.75203e-01
[ 4.8455e-01 1.9196e-01 8.8647e-01 4.8110e-01 1.0799e-01 ] -9.10870e-01 1.04033e+00 -8.99319e-01
[ 4.7642e-01 1.8043e-01 8.7427e-01 4.7476e-01 1.0676e-01 ] -9.03431e-01 1.04359e+00 -9.24044e-01
[ 4.6746e-01 1.6805e-01 8.6100e-01 4.6765e-01 1.0505e-01 ] -8.95387e-01 1.04708e+00 -9.49334e-01
[ 4.5763e-01 1.5479e-01 8.4659e-01 4.5973e-01 1.0282e-01 ] -8.86697e-01 1.05077e+00 -9.75140e-01
[ 4.4689e-01 1.4060e-01 8.3100e-01 4.5095e-01 1.0002e-01 ] -8.77319e-01 1.05469e+00 -1.00141e+00
[ 4.3520e-01 1.2549e-01 8.1419e-01 4.4129e-01 9.6638e-02 ] -8.67215e-01 1.05880e+00 -1.02807e+00
[ 4.2255e-01 1.0943e-01 7.9613e-01 4.3071e-01 9.2641e-02 ] -8.56346e-01 1.06312e+00 -1.05507e+00
[ 4.0892e-01 9.2441e-02 7.7680e-01 4.1920e-01 8.8014e-02 ] -8.44681e-01 1.06761e+00 -1.08233e+00
[ 3.9432e-01 7.4530e-02 7.5623e-01 4.0677e-01 8.2753e-02 ] -8.32193e-01 1.07226e+00 -1.10976e+00
[ 3.7878e-01 5.5741e-02 7.3444e-01 3.9343e-01 7.6866e-02 ] -8.18861e-01 1.07704e+00 -1.13727e+00
[ 3.6233e-01 3.6130e-02 7.1148e-01 3.7922e-01 7.0373e-02 ] -8.04676e-01 1.08190e+00 -1.16478e+00
[ 3.4504e-01 1.5780e-02 6.8744e-01 3.6419e-01 6.3311e-02 ] -7.89644e-01 1.08682e+00 -1.19217e+00
[ 3.2701e-01 -5.2043e-03 6.6244e-01 3.4844e-01 5.5733e-02 ] -7.73782e-01 1.09173e+00 -1.21933e+00
[ 3.0836e-01 -2.6694e-02 6.3662e-01 3.3207e-01 4.7710e-02 ] -7.57130e-01 1.09658e+00 -1.24615e+00
[ 2.8922e-01 -4.8533e-02 6.1018e-01 3.1520e-01 3.9328e-02 ] -7.39750e-01 1.10131e+00 -1.27250e+00
[ 2.6976e-01 -7.0543e-02 5.8332e-01 2.9801e-01 3.0691e-02 ] -7.21728e-01 1.10587e+00 -1.29825e+00
[ 2.5019e-01 -9.2523e-02 5.5630e-01 2.8066e-01 2.1914e-02 ] -7.03180e-01 1.11018e+00 -1.32326e+00
[ 2.3070e-01 -1.1425e-01 5.2939e-01 2.6335e-01 1.3125e-02 ] -6.84254e-01 1.11419e+00 -1.34740e+00
[ 2.1154e-01 -1.3550e-01 5.0289e-01 2.4630e-01 4.4573e-03 ] -6.65131e-01 1.11786e+00 -1.37053e+00
[ 1.9293e-01 -1.5603e-01 4.7711e-01 2.2972e-01 -3.9522e-03 ] -6.46024e-01 1.12112e+00 -1.39250e+00
[ 1.7512e-01 -1.7560e-01 4.5239e-01 2.1384e-01 -1.1970e-02 ] -6.27181e-01 1.12397e+00 -1.41318e+00
[ 1.5834e-01 -1.9396e-01 4.2904e-01 1.9889e-01 -1.9472e-02 ] -6.08879e-01 1.12638e+00 -1.43242e+00
[ 1.4283e-01 -2.1090e-01 4.0737e-01 1.8505e-01 -2.6345e-02 ] -5.91420e-01 1.12837e+00 -1.45010e+00
[ 1.2878e-01 -2.2622e-01 3.8769e-01 1.7253e-01 -3.2493e-02 ] -5.75120e-01 1.12995e+00 -1.46608e+00
[ 1.1638e-01 -2.3973e-01 3.7025e-01 1.6149e-01 -3.7837e-02 ] -5.60306e-01 1.13117e+00 -1.48026e+00
[ 1.0578e-01 -2.5129e-01 3.5529e-01 1.5208e-01 -4.2320e-02 ] -5.47293e-01 1.13207e+00 -1.49253e+00
[ 9.7129e-02 -2.6075e-01 3.4301e-01 1.4441e-01 -4.5899e-02 ] -5.36381e-01 1.13271e+00 -1.50279e+00
[ 9.0512e-02 -2.6804e-01 3.3358e-01 1.3857e-01 -4.8550e-02 ] -5.27832e-01 1.13316e+00 -1.51097e+00
[ 8.6006e-02 -2.7307e-01 3.2711e-01 1.3462e-01 -5.0257e-02 ] -5.21860e-01 1.13346e+00 -1.51701e+00
[ 8.3659e-02 -2.7581e-01 3.2368e-01 1.3261e-01 -5.1016e-02 ] -5.18619e-01 1.13365e+00 -1.52085e+00
[ 8.3495e-02 -2.7622e-01 3.2334e-01 1.3255e-01 -5.0823e-02 ] -5.18192e-01 1.13376e+00 -1.52248e+00
[ 8.5514e-02 -2.7432e-01 3.2608e-01 1.3445e-01 -4.9682e-02 ] -5.20586e-01 1.13379e+00 -1.52189e+00
[ 8.9695e-02 -2.7010e-01 3.3187e-01 1.3828e-01 -4.7596e-02 ] -5.25735e-01 1.13372e+00 -1.51908e+00
[ 9.5992e-02 -2.6363e-01 3.4063e-01 1.4402e-01 -4.4574e-02 ] -5.33498e-01 1.13351e+00 -1.51409e+00
[ 1.0434e-01 -2.5495e-01 3.5226e-01 1.5158e-01 -4.0633e-02 ] -5.43673e-01 1.13310e+00 -1.50695e+00
[ 1.1463e-01 -2.4418e-01 3.6659e-01 1.6089e-01 -3.5797e-02 ] -5.56006e-01 1.13244e+00 -1.49775e+00
[ 1.2674e-01 -2.3141e-01 3.8343e-01 1.7184e-01 -3.0110e-02 ] -5.70206e-01 1.13148e+00 -1.48654e+00
[ 1.4053e-01 -2.1681e-01 4.0255e-01 1.8427e-01 -2.3628e-02 ] -5.85958e-01 1.13014e+00 -1.47343e+00
[ 1.5580e-01 -2.0055e-01 4.2370e-01 1.9804e-01 -1.6429e-02 ] -6.02937e-01 1.12840e+00 -1.45851e+00
[ 1.7235e-01 -1.8282e-01 4.4657e-01 2.1295e-01 -8.6087e-03 ] -6.20825e-01 1.12623e+00 -1.44191e+00
[ 1.8997e-01 -1.6384e-01 4.7085e-01 2.2879e-01 -2.7885e-04 ] -6.39316e-01 1.12360e+00 -1.42373e+00
[ 2.0841e-01 -1.4386e-01 4.9624e-01 2.4535e-01 8.4349e-03 ] -6.58127e-01 1.12055e+00 -1.40412e+00
[ 2.2743e-01 -1.2310e-01 5.2239e-01 2.6240e-01 1.7398e-02 ] -6.77006e-01 1.11708e+00 -1.38319e+00
[ 2.4680e-01 -1.0181e-01 5.4899e-01 2.7972e-01 2.6473e-02 ] -6.95730e-01 1.11323e+00 -1.36109e+00
[ 2.6628e-01 -8.0224e-02 5.7575e-01 2.9709e-01 3.5521e-02 ] -7.14112e-01 1.10907e+00 -1.33795e+00
[ 2.8565e-01 -5.8564e-02 6.0237e-01 3.1432e-01 4.4413e-02 ] -7.31999e-01 1.10464e+00 -1.31390e+00
[ 3.0472e-01 -3.7035e-02 6.2860e-01 3.3121e-01 5.3028e-02 ] -7.49268e-01 1.10000e+00 -1.28907e+00
[ 3.2332e-01 -1.5819e-02 6.5422e-01 3.4760e-01 6.1258e-02 ] -7.65827e-01 1.09523e+00 -1.26358e+00
[ 3.4128e-01 4.9230e-03 6.7904e-01 3.6337e-01 6.9010e-02 ] -7.81608e-01 1.09037e+00 -1.23756e+00
[ 3.5850e-01 2.5057e-02 7.0290e-01 3.7838e-01 7.6210e-02 ] -7.96569e-01 1.08549e+00 -1.21112e+00
[ 3.7486e-01 4.4473e-02 7.2568e-01 3.9256e-01 8.2798e-02 ] -8.10687e-01 1.08065e+00 -1.18436e+00
[ 3.9031e-01 6.3084e-02 7.4729e-01 4.0584e-01 8.8734e-02 ] -8.23954e-01 1.07587e+00 -1.15739e+00
[ 4.0478e-01 8.0827e-02 7.6765e-01 4.1817e-01 9.3990e-02 ] -8.36377e-01 1.07121e+00 -1.13031e+00
[ 4.1825e-01 9.7660e-02 7.8675e-01 4.2954e-01 9.8555e-02 ] -8.47974e-01 1.06670e+00 -1.10319e+00
[ 4.3071e-01 1.1356e-01 8.0455e-01 4.3993e-01 1.0243e-01 ] -8.58768e-01 1.06235e+00 -1.07613e+00
[ 4.4217e-01 1.2851e-01 8.2108e-01 4.4936e-01 1.0562e-01 ] -8.68793e-01 1.05819e+00 -1.04918e+00
[ 4.5263e-01 1.4253e-01 8.3634e-01 4.5784e-01 1.0816e-01 ] -8.78084e-01 1.05424e+00 -1.02242e+00
[ 4.6214e-01 1.5562e-01 8.5038e-01 4.6541e-01 1.1006e-01 ] -8.86679e-01 1.05049e+00 -9.95898e-01
[ 4.7073e-01 1.6782e-01 8.6324e-01 4.7210e-01 1.1136e-01 ] -8.94618e-01 1.04696e+00 -9.69672e-01
[ 4.7844e-01 1.7915e-01 8.7497e-01 4.7797e-01 1.1210e-01 ] -9.01943e-01 1.04364e+00 -9.43786e-01
[ 4.8532e-01 1.8965e-01 8.8564e-01 4.8305e-01 1.1232e-01 ] -9.08694e-01 1.04053e+00 -9.18279e-01
[ 4.9142e-01 1.9937e-01 8.9529e-01 4.8741e-01 1.1205e-01 ] -9.14911e-01 1.03763e+00 -8.93184e-01
[ 4.9678e-01 2.0834e-01 9.0401e-01 4.9108e-01 1.1134e-01 ] -9.20631e-01 1.03493e+00 -8.68532e-01
[ 5.0148e-01 2.1660e-01 9.1184e-01 4.9413e-01 1.1023e-01 ] -9.25893e-01 1.03242e+00 -8.44347e-01
[ 5.0555e-01 2.2422e-01 9.1886e-01 4.9660e-01 1.0876e-01 ] -9.30731e-01 1.03010e+00 -8.20649e-01
[ 5.0904e-01 2.3121e-01 9.2512e-01 4.9855e-01 1.0697e-01 ] -9.35179e-01 1.02794e+00 -7.97455e-01
[ 5.1201e-01 2.3764e-01 9.3069e-01 5.0002e-01 1.0489e-01 ] -9.39267e-01 1.02595e+00 -7.74778e-01
[ 5.1450e-01 2.4354e-01 9.3562e-01 5.0105e-01 1.0256e-01 ] -9.43024e-01 1.02412e+00 -7.52626e-01
[ 5.1655e-01 2.4894e-01 9.3996e-01 5.0170e-01 1.0001e-01 ] -9.46479e-01 1.02242e+00 -7.31008e-01
[ 5.1821e-01 2.5390e-01 9.4378e-01 5.0200e-01 9.7279e-02 ] -9.49656e-01 1.02086e+00 -7.09928e-01
[ 5.1952e-01 2.5844e-01 9.4711e-01 5.0199e-01 9.4387e-02 ] -9.52578e-01 1.01943e+00 -6.89386e-01
[ 5.2050e-01 2.6259e-01 9.5000e-01 5.0170e-01 9.1364e-02 ] -9.55267e-01 1.01810e+00 -6.69385e-01
[ 5.2120e-01 2.6640e-01 9.5249e-01 5.0117e-01 8.8233e-02 ] -9.57743e-01 1.01689e+00 -6.49921e-01
[ 5.2165e-01 2.6988e-01 9.5463e-01 5.0042e-01 8.5015e-02 ] -9.60024e-01 1.01577e+00 -6.30990e-01
[ 5.2187e-01 2.7307e-01 9.5644e-01 4.9949e-01 8.1731e-02 ] -9.62127e-01 1.01474e+00 -6.12590e-01
[ 5.2189e-01 2.7598e-01 9.5796e-01 4.9840e-01 7.8399e-02 ] -9.64067e-01 1.01379e+00 -5.94712e-01
