[ -8.0000e-01 -1.3807e+00 ] -2.30000e+00 2.30000e+00
[ -1.6224e+00 -2.3736e+00 ] -7.75834e-01 1.94914e+00
[ -9.8801e-01 -1.9142e+00 ] 2.86045e-01 1.10098e+00
[ -9.1955e-01 -2.0165e+00 ] 3.73407e-01 1.02307e+00
[ -9.6560e-01 -2.2215e+00 ] 3.14870e-01 1.07537e+00
[ -1.0395e+00 -2.4330e+00 ] 2.18797e-01 1.16037e+00
[ -1.1373e+00 -2.6353e+00 ] 8.69890e-02 1.27515e+00
[ -1.2813e+00 -2.8362e+00 ] -1.20703e-01 1.45102e+00
[ -1.5638e+00 -3.1118e+00 ] -6.26587e-01 1.84518e+00
[ -1.6281e+00 -3.0953e+00 ] -1.56113e+00 2.34463e+00
[ -1.1479e+00 -2.4829e+00 ] -2.09718e+00 2.37253e+00
[ -8.7497e-01 -2.0703e+00 ] -2.26141e+00 2.31819e+00
[ -8.0000e-01 -8.0000e-01 ] -2.30000e+00 2.30000e+00
